연번,업소명,소재지,전화번호,업종
1, ㈜지이티,고양시 덕양구 통일로 1161-97(내유동),031-968-9955,폐기물처리업
2,의료법인명지의료재단,고양시 덕양구 화수로14번길 55 (화정동),031-810-5292,병원(종합 병원)
3,서울교통공사,고양시 덕양구 삼송로 300 (지축동),02-6110-7038,도시철도운송업
4,㈜명성,고양시 일산서구 원일로 101(일산동),031-913-8751,시내버스 운송업
5,신촌교통㈜,고양시 덕양구 덕은로 112 (덕은동),02-3158-3221,시내버스 운송업
6,(주)뉴덕흥기업,고양시 일산동구 공릉천로 126 (사리현동),031-964-0898,산업용 세탁업
7,대흥세차장 ,고양시 일산서구 일중로 57 (일산동),031-976-9108,자동차세차업
8,㈜원일석유 능곡주유소,고양시 덕양구 토당로 104 (토당동),031-972-7311,차량용 주유소 운영업
9,달인세차장,고양시 덕양구 원당로59번길 11-15 (주교동),,자동차세차업
10,국군고양병원,고양시 덕양구 혜음로 215 (벽제동),031-963-6657,병원(국방 행정(병원시설))
11,화인카센타,고양시 덕양구 지도로 61 (토당동),,자동차세차업
12,고려세차장,고양시 덕양구 고양대로1315번길 8 (주교동),031-965-9651,자동차세차업
13,세일세차장,고양시 덕양구 통일로 741 (관산동),031-963-5204,자동차세차업
14,한국지역난방공사 고양지사,고양시 일산동구 경의로 149,031-900-2641,지역난방공사
15,대한송유관공사,고양시 덕양구 중앙로 323 (강매동),031-973-0642,파이프라인 운송업
16,천성세차장,고양시 일산서구 일중로 37 (일산동),031-977-7956,자동차세차업
17,그린세차장,고양시 일산서구 경의로 823 (덕이동),,자동차세차업
18,싱글벙글주유소,고양시 일산동구 장항로 122-8 (백석동),031-902-5151,차량용 주유소 운영업
19,광명세차장,고양시 일산서구 고양대로 710 (일산동),031-975-9694,자동차세차업
20,고일주유소,고양시 일산동구 백마로 455 (풍동),031-902-6096,차량용 주유소 운영업
21,신성콘크리트공업㈜,고양시 일산동구 동국로 230 (식사동),031-904-2299,"비금속 광물제품 제조업(레미콘), 비금속 광물분쇄처리업"
22,㈜명성,고양시 일산서구 대화로 97 (대화동),031-913-8751,시내버스 운송업
23,명진세차장,고양시 일산동구 백마로 483 (풍동),031-902-5221,자동차세차업
24,신우에너지㈜ 풍동충전소,고양시 일산동구 식사동 1129,031-964-1984,차량용가스충전업
25,신덕이로주유소,고양시 일산서구 덕이로 36 (덕이동),031-918-5189,차량용 주유소 운영업
26,경일석유㈜ 신신주유소,고양시 일산동구 백마로 32 (장항동),031-903-5633,차량용 주유소 운영업
27,오토파워주유소,고양시 덕양구 고양대로 1464 (성사동),031-968-5131,차량용 주유소 운영업
28,한일세차장,고양시 일산서구 덕이로 42 (덕이동),031-917-8511,자동차세차업
29,일산오토세차장,고양시 일산서구 경의로 822 (덕이동),031-925-5100,자동차세차업
30,대흥세차장 ,"고양시 일산동구 중산로157번길 64, 1층 A동 (중산동)",031-976-2500,자동차세차업
31,한솔주유소,고양시 덕양구 통일로 1015 (관산동),031-962-5182,차량용 주유소 운영업
32,정상에너지㈜,고양시 덕양구 중앙로 312 (도내동),031-970-2066,차량용 주유소 운영업
33,KH에너지㈜직영KH기쁨주유소,고양시 일산동구 고양대로 1064 (식사동),031-969-0019,차량용 주유소 운영업
34,㈜명성,고양시 덕양구 유산길 46 (내유동),031-912-7031,시내버스 운송업
35,빅워시,고양시 덕양구 중앙로 667(토당동),031-979-5151,자동차세차업
36,버블셀프세차,고양시 일산서구 산현로 124 (일산동),,자동차세차업
37,대성석유㈜스타주유소,고양시 덕양구 은빛로 59 (화정동),031-968-7421,차량용 주유소 운영업
38,토당서비스,고양시 덕양구 중앙로 637 (토당동),031-979-5020,차량용 주유소 운영업
39,고양탁주합동제조장,고양시 덕양구 대주로 506 (주교동),031-962-6100,주정제조업
40,컴인워시HD일산장항점,고양시 일산동구 백마로 56 (장항동),031-904-5152,차량용 주유소 운영업
41,삼정셀프주유소일산지점,고양시 일산서구 탄중로 251 (탄현동),031-919-5104,차량용 주유소 운영업
42,일산오렌지충전소,고양시 일산동구 백마로 42  (장항동)  ,,차량용가스충전업
43,㈜명주 직영 탄현셀프주유소,고양시 일산서구 경의로 829 (덕이동),031-918-8071,차량용 주유소 운영업
44,신라카센터,고양시 덕양구 토당로 180 (토당동),031-972-4373,자동차세차업
45,동해운수㈜,고양시 일산서구 경의로 772 (대화동),031-913-6080,시내버스 운송업
46,덕양주유소,고양시 덕양구 충장로 142 (행신동),031-979-8426,차량용 주유소 운영업
47,㈜원흥주유소 고양동지점,고양시 덕양구 호국로 1789 (고양동),031-965-5189,차량용 주유소 운영업
48,디테일링카,고양시 덕양구 혜음로 116(고양동),,자동차세차업
49,(의)일산복음의료재단,고양시 일산동구 고양대로 760 (중산동),031-977-5000,병원(종합 병원)
50,국인사,고양시 일산동구 노첨길36번길 39 (장항동),031-902-4116,기타 인쇄업
51,그린셀프세차장,고양시 덕양구 통일로 33 (동산동),02-353-0411,자동차세차업
52,우주피엔씨㈜ 구도일주유소 우주,고양시 덕양구 호국로 1693 (벽제동),031-963-5191,차량용 주유소 운영업
53,에덴카센타,고양시 일산서구 경의로 867-1 (덕이동),031-918-4774,자동차세차업
54,㈜해진 구도일주유소 일산,고양시 일산동구 백마로 36 (장항동),031-904-7793,차량용 주유소 운영업
55,OK세차장,고양시 덕양구 고양대로 1335 (주교동),,자동차세차업
56,주식회사 제이씨네트웍,고양시 덕양구 호국로 730 (성사동),,차량용 주유소 운영업
57,씨앤에스유통㈜내유동주유소,고양시 덕양구 통일로 1275 (내유동),031-962-0606,차량용 주유소 운영업
58,에스제이(SJ)오일(주)일산주유소,고양시 일산서구 고양대로 535 (대화동),031-918-5154,차량용 주유소 운영업
59,유성주유소 화정점,고양시 덕양구 호국로 624 (화정동),031-964-0014,차량용 주유소 운영업
60,터틀프렌즈백마세차장,고양시 일산동구 백마로 435 (풍동),031-906-4412,자동차세차업
61,신도시충전소세차장,고양시 일산동구 경의로 234 (백석동),031-904-9022,차량용가스충전업
62,㈜로얄프로세스,고양시 일산서구 덕산로243번길 58-15 (덕이동),031-911-1501,기타 인쇄업
63,씨앤에스유통㈜ 신세계주유소,고양시 일산동구 호수로 453 (백석동),031-905-0210,차량용 주유소 운영업
64,일산고등학교,고양시 일산서구 원일로 53 (일산동),031-910-1176,고등학교(공업)
65,서울특별시 고양정신병원,고양시 덕양구 통일로1102번길 46 (내유동),031-969-0885,병원(일반 병원)
66,국립암센터,고양시 일산동구 일산로 323 (마두동),031-920-1994,병원(종합 병원)
67,㈜케이엘페트로 고양지점,고양시 덕양구 충장로 210 (화정동),031-938-5185,차량용 주유소 운영업
68,덕양제1주유소,"고양시 덕양구 서오릉로 832, 836 (성사동)",031-966-5194,차량용 주유소 운영업
69,인선이엔티㈜,고양시 일산동구 동국로 240 (식사동),031-969-1500,폐기물처리업
70,신아클리닉,고양시 일산동구 장대길 145-7 (장항동),,산업용 세탁업
71,자유로주유소,고양시 일산서구 이산포길 266 (법곳동),031-923-5186,차량용 주유소 운영업
72,인제대학교 일산백병원,고양시 일산서구 주화로 170 (대화동),031-910-7971,병원(종합 병원)
73,국민건강보험공단 일산병원,고양시 일산동구 일산로 100 (백석동),031-900-0073,병원(종합 병원)
74,스피드메이트 덕양화정점,고양시 덕양구 성신로 16 (화정동),031-970-8002,자동차종합수리업
75,태광상사㈜이산포주유소,고양시 일산서구 고양대로 114 (법곳동),031-919-7712,차량용 주유소 운영업
76,삼원체인,"고양시 일산동구 일산로 142 (백석동), 유니테크빌 807호",031-906-0851,기타 제품 제조업(귀금속장신구)
77,고양에너지 주식회사,고양시 덕양구 고양대로 1303 (주교동),031-965-0604,차량용 주유소 운영업
78,유정주유소,고양시 덕양구 호수로 104 (토당동),031-971-5187,차량용 주유소 운영업
79,우신교통㈜,고양시 일산동구 고봉로678번길 51 (설문동),031-977-0130,택시 운송업
80,신비손세차장,"고양시 일산동구 성현로599번길 28, 1층 (사리현동)",031-969-8166,자동차종합수리업
81,대화투카손세차,고양시 일산서구 대화로 49 (법곳동),031-917-4465,자동차종합수리업
82,사우디 제7주유소,고양시 일산동구 백마로 37 (장항동),031-902-1155,차량용 주유소 운영업
83,신우주유소,고양시 일산동구 성현로 177 (성석동),031-975-5193,차량용 주유소 운영업
84,북한산주유소,고양시 덕양구 북한산로 539 (효자동),02-384-4666,차량용 주유소 운영업
85,(주)농협하나로유통농협고양유통센타,고양시 일산서구 대화로 362 (대화동),031-910-9053,종합 소매업
86,한영문화사,고양시 일산동구 장대길 42-135 (장항동),031-903-1101,기타 인쇄업
87,㈜라인에너지 고양,고양시 덕양구 고양대로 1926 (동산동),02-385-5188,차량용 주유소 운영업
88,T-Station 정발산점,고양시 일산동구 대산로 15(정발산동),031-924-5345,자동차종합수리업
89,한성CMS손세차장,고양시 일산동구 고양대로 898 (풍동),031-905-3533,자동차세차업
90,유일세차장,고양시 일산서구 일중로 45 (일산동),031-976-8558,자동차세차업
