연도,음식료품(업체수),음식료품(종업원수),섬유의복(업체수),섬유의복(종업원수),종이인쇄(업체수),종이인쇄(종업원수),석유화학(업체수),석유화학(종업원수),비금속광물(업체수),비금속광물(종업원수),금속기계(업체수),금속기계(종업원수),전기전자(업체수),전기전자(종업원수),의료바이오(업체수),의료바이오(종업원수),기타(업체수),기타(종업원수),출처,기준일자
2009,28,696,38,2333,34,779,90,1544,21,335,22,434,143,2636,0,0,9,94,시정백서,2021-08-09
2010,24,704,36,1539,27,623,84,1567,22,358,126,1816,36,1336,0,0,10,88,시정백서,2021-08-09
2011,24,704,43,1578,30,633,85,1582,22,358,123,1791,36,1427,0,0,10,88,시정백서,2021-08-09
2012,24,704,43,1578,30,633,86,1584,22,358,124,1815,36,1428,0,0,10,109,시정백서,2021-08-09
2013,25,721,35,1974,33,663,99,1824,24,423,139,2383,27,698,0,0,11,107,시정백서,2021-08-09
2014,32,790,37,849,34,1375,92,1622,28,478,141,3293,39,1198,0,0,12,100,시정백서,2021-08-09
2015,38,1033,38,1403,36,700,97,1537,28,508,152,1749,43,1130,0,0,14,11,시정백서,2021-08-09
2016,36,1029,39,1174,38,709,100,1567,29,483,157,1803,44,1126,0,0,15,119,시정백서,2021-08-09
2017,114,3890,109,1139,51,1139,373,14820,66,966,1081,19560,205,5940,21,469,107,1232,시정백서,2021-08-09
2018,126,5131,111,3109,97,1453,387,14998,71,1039,904,12594,219,6246,14,240,285,8191,시정백서,2021-08-09
2019,132,5179,113,2957,99,1555,424,15363,71,1041,948,13041,234,6352,23,405,281,7506,시정백서,2021-08-09
2020,126,5112,135,3059,95,1495,398,15300,64,978,915,12465,221,5875,19,256,309,8895,시정백서,2021-08-09
