일련번호,수입연월,식품 및 산동물,음료 및 담배,비식용원재료(연료제외),광물성연료윤활유 및 관련물질,동식물성 유지 및 왁스,화학물 및 관련제품,재료별 제조제품,기계 및 운수장비,기타 제조제품,미분류 상품 및 취급물품,데이터기준일자
1,2023-01,105734,14942,133185,1384453,10764,79164,469688,449804,91837,0,2023-12-31
2,2023-02,87944,20093,112668,1404978,21633,102086,399263,478573,73721,4,2023-12-31
3,2023-03,99219,10995,137460,754612,10347,95062,444470,558785,97440,1,2023-12-31
4,2023-04,98645,16993,118531,842042,13384,84736,448869,492017,84837,0,2023-12-31
5,2023-05,103386,11576,122319,521426,13151,103853,467798,636723,102735,2,2023-12-31
6,2023-06,99666,15443,122360,627436,21853,99724,464759,468448,97419,2,2023-12-31
7,2023-07,99599,12806,114999,554675,8922,76373,412948,490992,91398,53,2023-12-31
8,2023-08,90507,11741,108468,668310,22611,78558,448741,532334,84101,0,2023-12-31
9,2023-09,95062,14990,109795,648738,9644,76269,361228,476243,104478,0,2023-12-31
10,2023-10,98895,18477,103906,471786,18133,77908,407097,518822,131850,3,2023-12-31
11,2023-11,112907,15650,111686,476899,13295,84825,415176,507890,125299,2,2023-12-31
12,2023-12,98784,8478,95994,1028848,30677,79630,443704,533425,109728,35,2023-12-31
13,2022-01,97849,10381,129577,1054409,13972,88367,384702,566627,94310,9,2023-12-31
14,2022-02,88528,10548,119086,787990,4363,74088,366042,516438,83558,6,2023-12-31
15,2022-03,119725,11873,158608,1154787,21416,111352,408049,609786,84596,154,2023-12-31
16,2022-04,108837,15282,152305,839857,8743,101260,375509,548078,86063,1,2023-12-31
17,2022-05,94119,11044,165136,681551,12904,121960,448606,511481,98342,47,2023-12-31
18,2022-06,99021,12804,146632,619315,21294,118008,379819,554499,84806,1,2023-12-31
19,2022-07,106864,10842,146857,937336,22380,128547,446342,499323,102635,22,2023-12-31
20,2022-08,114906,15798,139079,1869521,26978,132826,398733,529958,99421,33,2023-12-31
21,2022-09,108028,10179,129773,2127552,10778,110042,388196,440825,108490,0,2023-12-31
22,2022-10,94866,8632,143978,1372714,23901,99830,385129,499452,89705,1,2023-12-31
23,2022-11,105680,12063,143391,1550215,15536,103598,381376,594722,109099,3,2023-12-31
24,2022-12,113509,4637,118350,1263554,24177,113539,400175,527441,101839,5,2023-12-31
