일련번호,수출연월,식품 및 산동물,음료 및 담배,비식용원재료(연료제외),광물성연료윤활유 및 관련물질,동식물성 유지 및 왁스,화학물 및 관련제품,재료별 제조제품,기계 및 운수장비,기타 제조제품,미분류 상품 및 취급물품,데이터기준일자
1,2023-01,56017,31191,26071,8582,3968,49014,434522,2068146,200485,17,2023-12-31
2,2023-02,66922,37760,31609,7295,3839,63703,537443,2240215,47784,26,2023-12-31
3,2023-03,75342,39728,32100,10286,972,72065,517905,2168994,180754,625,2023-12-31
4,2023-04,70427,37538,30565,7457,4951,62085,484298,2556018,143689,14512,2023-12-31
5,2023-05,73704,42209,23697,8510,3206,65902,774533,2275740,59274,21201,2023-12-31
6,2023-06,68827,36559,28957,8581,3024,69045,776668,2964842,88252,12,2023-12-31
7,2023-07,49056,42074,22897,6556,3436,63629,449202,2702795,109735,4,2023-12-31
8,2023-08,57712,35924,25974,6278,2529,60880,433340,2494427,128773,5,2023-12-31
9,2023-09,59584,40216,28315,7379,13560,63490,474439,2316677,122670,0,2023-12-31
10,2023-10,61651,48293,26687,8117,3967,59880,401920,3428330,288562,8,2023-12-31
11,2023-11,65036,48358,25942,7817,9775,65980,445101,2439271,70503,,2023-12-31
12,2023-12,66795,25212,19321,7344,3373,65123,404319,4004536,199654,99,2023-12-31
13,2022-01,49777,35465,28529,5117,3073,67195,517373,2025376,61452,51,2023-12-31
14,2022-02,51429,38837,20739,7235,3307,60215,678402,2139817,50924,40,2023-12-31
15,2022-03,59313,49510,24732,8433,3407,75134,598515,2523015,53939,4,2023-12-31
16,2022-04,54043,48424,33161,6010,4363,67248,523627,1857927,54783,3,2023-12-31
17,2022-05,54135,43260,31484,6161,4118,94093,542864,2388970,75466,81,2023-12-31
18,2022-06,45210,45761,26561,7037,2538,71740,498500,1989152,45199,142,2023-12-31
19,2022-07,52477,47497,29690,6724,3321,68387,512384,3239990,76061,149,2023-12-31
20,2022-08,44266,45393,23659,5641,2576,62912,468789,1932224,63860,12,2023-12-31
21,2022-09,43341,42403,20921,7745,2370,63201,428778,1876391,62097,55,2023-12-31
22,2022-10,50760,44394,27301,6296,2416,59549,451785,1925950,361618,17,2023-12-31
23,2022-11,51255,44199,26503,7119,3087,60302,729403,2085522,73270,10,2023-12-31
24,2022-12,66857,25175,31554,8544,1533,66893,531010,2376193,217690,42,2023-12-31
