DETAIL_ID,EXHIBIT_ID,TYPE,NAME,VALUE,SUB_VALUE,OPEN_YN,REG_DT,REG_ID,UP_DT,UP_ID
14,5,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
15,5,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
24,8,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
25,8,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
28,10,E,국적,이집트,,Y,12-21-2015 00:00:00,superadmin,,
29,10,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
34,13,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
36,15,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
39,18,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
44,20,E,국적,스웨덴,,Y,12-21-2015 00:00:00,superadmin,,
45,20,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
50,23,E,국적,미국,,Y,12-21-2015 00:00:00,superadmin,,
51,23,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
54,25,E,국적,프랑스,,Y,12-21-2015 00:00:00,superadmin,,
55,25,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
61,28,E,제조연대,1985년,,Y,12-21-2015 00:00:00,superadmin,,
62,28,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
63,28,E,재질,철제,,Y,12-21-2015 00:00:00,superadmin,,
64,28,E,크기,13㎝×17㎝,,Y,12-21-2015 00:00:00,superadmin,,
67,30,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
73,33,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
74,33,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
78,35,E,제조연대,1555년,,Y,12-21-2015 00:00:00,superadmin,,
79,35,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
80,35,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
86,38,E,제조연대,2008년,,Y,12-21-2015 00:00:00,superadmin,,
87,38,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
90,40,E,제조연대,2008년,,Y,12-21-2015 00:00:00,superadmin,,
91,40,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
96,43,E,제조연대,2008년,,Y,12-21-2015 00:00:00,superadmin,,
97,43,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
100,45,E,제조연대,2008년,,Y,12-21-2015 00:00:00,superadmin,,
101,45,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
106,48,E,제조연대,2008년,,Y,12-21-2015 00:00:00,superadmin,,
107,48,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
110,50,E,제조연대,2008년,,Y,12-21-2015 00:00:00,superadmin,,
111,50,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
116,53,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
117,53,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
120,55,E,제조연대,1957년,,Y,12-21-2015 00:00:00,superadmin,,
121,55,E,국적,프랑스,,Y,12-21-2015 00:00:00,superadmin,,
128,60,E,제조연대,1966년,,Y,12-21-2015 00:00:00,superadmin,,
129,60,E,국적,중국,,Y,12-21-2015 00:00:00,superadmin,,
130,60,E,크기,55㎝×64㎝,,Y,12-21-2015 00:00:00,superadmin,,
139,63,E,제조연대,1969년,,Y,12-21-2015 00:00:00,superadmin,,
140,63,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
141,63,E,재질,제지,,Y,12-21-2015 00:00:00,superadmin,,
142,63,E,크기,26.4㎝×19.2㎝,,Y,12-21-2015 00:00:00,superadmin,,
146,65,E,제조연대,1850년,,Y,12-21-2015 00:00:00,superadmin,,
147,65,E,크기,34㎝×27㎝×26㎝,,Y,12-21-2015 00:00:00,superadmin,,
152,68,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
153,68,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
156,70,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
157,70,E,재질,목제,,Y,12-21-2015 00:00:00,superadmin,,
162,73,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
166,75,E,제조연대,1960년,,Y,12-21-2015 00:00:00,superadmin,,
167,75,E,국적,일본,,Y,12-21-2015 00:00:00,superadmin,,
168,75,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
176,78,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
177,78,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
179,80,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
180,80,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
185,83,E,국적,한국,,Y,12-21-2015 00:00:00,superadmin,,
186,83,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
191,85,E,국적,일본,,Y,12-21-2015 00:00:00,superadmin,,
192,85,E,재질,기타,,Y,12-21-2015 00:00:00,superadmin,,
199,88,E,제조연대,1962년,,Y,12-21-2015 00:00:00,superadmin,,
