일련번호,하천부존면적(제곱미터),하천부존량(세제곱미터),하천개발가능량(세제곱미터),육상부존면적(세제곱미터),육상부존량(세제곱미터),육상개발가능량(세제곱미터),육상허가채취실적(세제곱미터),산림부존면적(제곱미터),산림부존량(세제곱미터),산림개발가능량(세제곱미터),산림허가채취실적(세제곱미터),바다부존면적(제곱미터),바다부존량(세제곱미터),바다개발가능량(세제곱미터),바다허가채취실적(세제곱미터),보고서명
45,527494,3473000,598000,15194490.07,64406000,19234000,,1057000,81855000,57298000,,,,,,2012 한강하천수계(용인시) 골재자원조사 보고서
46,6208000,19284000,6637000,18923685,65826000,27043700,,1545000,105106000,73574000,,,,,,2012 한강하천수계(여주군) 골재자원조사
47,23660000,92373000,2675000,65230030,166378000,35149000,,470000,1996000000,1254000000,,,,,,2012 파주지역 골재자원조사 보고서
48,9178000,7383000,713000,94479228.86,35895000,13145000,,1278000,217015000,145727000,,,,,,2012 서천지역 골재자원조사 보고서
49,4412000,8965000,1301000,28825000,29601000,17770000,,298200,13703000,9583000,,,,,,2012 전남 담양지역 골재자원조사 보고서
50,998000,1974000,328000,13387000,25341000,15255000,,433000,8869000,6201000,,,,,,2012 전남 장성지역 골재자원조사 보고서
51,,,,,,,,,,,,,341957000,41632000,,2012 골재자원조사 보고서(남해 통영 서남부 EEZ 해역
52,67600,95283000,15936000,7890,29110000,13488000,,1390,76089000,53248000,,,,,,
53,22077000,35137000,13274000,,,,,,,,,,,,,경남(김천 구미 칠골 성주 고령 달성)지역 골재자원조사 보고서
54,,,,,,,,,,,,,2159536000,1627627000,,서해 어청도 서북부 EEZ 해역
40,4533100,491600,,20522563,36595700,18530700,,,42906000,30033900,,,,,,장흥지역 골재자원조사 보고서
41,13580000,96737000,5583000,47155000,161448000,41585000,,3840000,357566000,250280000,,,,,,
42,16569000,50546000,1960000,74069131,138295000,24089000,,4635000,475883000,333089000,,,,,,
43,3783937,15676000,1699000,71799813,132244000,60563000,,3189000,893459000,625407000,,,,,,
44,25886000,5416000,306000,35075000,66135000,37976000,,1221000,59943000,41948000,,,,,,전남 보성지역 골재자원조사 보고서
1,,,,24731284,196163648,46552615,,,1191655,133486,,,,,,대구지역 골재자원조사
2,,208205000,30498000,72878000,241166000,45136000,,,176926000,112913000,,,,,,
3,11496500,94715000,6625200,2336900,9203000,,,,103128000,72166000,,,,,,충청남도 부여지역 골재자원조사
4,28030000,45071000,,52444000,51061000,524000,,,184923000,116037000,,,,,,전남 무안지역 골재자원조사
5,6070000,5721000,372000,33760000,76127000,24407000,,,1617416000,,1090408000,,,,,
