조장석(퍼센트),백운모(퍼센트),석영(퍼센트),적철석(퍼센트),정장석(퍼센트),방해석(퍼센트),녹니석(퍼센트),시료일련번호
59.8,1,23.7,4.5,,,,2
74.7,7.2,12.5,5.6,,,,3
52.4,10.3,24.8,9.9,,2.6,,4
65.5,3.7,18.4,8.4,,4,,5
69,8.5,14.3,7,,12,,6
64.6,9.7,18.8,6.9,,,,7
72.4,3.1,13.5,6.4,,,,8
72.4,6.1,14.3,5,,,,9
71,3,19.6,6.4,,,,10
87,,8.1,4.9,,,,11
81.7,0,14.3,4,,,,12
75.3,3.8,20.9,,,,,13
78.8,2.6,13.9,4.7,,,,18
68.8,14,11,6.2,,,,22
60.7,7.6,22.3,9.4,,,,23
64.8,5.8,20.5,8.9,,,,24
73.29,4.4,15.41,6.9,,,,25
69.5,8.5,14.4,7.6,,,,26
89.1,,10.9,,,,,29
52.3,6.1,35.7,5.9,,,,30
61.2,10.5,16.3,9,,,,34
68.8,5.9,16.3,9,,,,35
57.6,14.4,17.2,7.8,,3.1,,46
53.6,12.3,16.5,12,,5.5,,47
60.7,15.1,15,6,,3.1,,48
55.2,19.1,15.9,7.7,,2,,49
62.1,17,12.4,6.8,,1.8,,50
59.4,15,15.1,8.2,,2.3,,52
56.5,14.3,18.9,6.5,,3.8,,53
65.1,13.2,10.5,7.5,,3.7,,55
61.9,16.4,15.1,5.4,,1.2,,56
69.3,10.5,12.5,6.6,,1.1,,57
59.4,17,14.6,6.9,,2.1,,58
69.4,11.6,11.4,6.3,,1.4,,59
62.2,17,12.4,6.8,,1.7,,60
58.4,14.7,15.4,7.9,,3.6,,61
80.2,9,10.8,,,,,62
61.7,12.9,16.6,8.8,,,,63
66.3,10.9,14.6,7.5,,0.8,,64
72.8,10.3,12.4,3.6,,0.8,,65
55.6,15.3,20.7,6.8,,1.6,,67
57.9,13.5,18.2,6,,4.4,,68
54.1,18.3,17.7,7.6,,2.3,,69
57.1,16.1,17.5,7,,2.3,,70
