시료일련번호,조사지역일련번호,시추일련번호,골재종류,위도,경도,주소,시료지점명
1,1,1,하천,34.8302583,126.5821056,전라남도 무안군 일로읍 청호리,무안하천-001
2,1,2,하천,34.8460583,126.6044444,전라남도 무안군 일로읍 의산리,무안하천-002
3,1,3,하천,34.9410889,126.6750861,전라남도 무안군 청계면 복룡리,무안하천-003
4,1,4,하천,34.9214861,126.6677583,전라남도 무안군 몽탄면 당호리,무안하천-004
5,1,5,하천,34.9463,126.5919833,전라남도 무안군 몽탄면 몽강리,무안하천-005
6,1,6,하천,34.9565472,126.5830556,전라남도 무안군 몽탄면 이산리,무안하천-006
7,1,7,하천,34.9932806,126.6246306,전라남도 무안군 몽탄면 사창리,무안하천-007
14,2,8,육상,34.9237583,126.4919194,전라남도 무안군 일로읍 죽산리,무안육상-001
15,2,9,육상,34.8849917,126.5321111,전라남도 무안군 삼향면 용포리,무안육상-002
16,2,10,육상,34.8636528,126.5362361,전라남도 무안군 일로읍 월암리,무안육상-003
17,2,11,육상,34.9305944,126.6532833,전라남도 무안군 일로읍 구정리,무안육상-004
18,2,12,육상,34.9761444,126.6245833,전라남도 무안군 일로읍 월암리,무안육상-005
19,2,13,육상,34.8806278,126.5969639,전라남도 무안군 일로읍 용산리,무안육상-006
20,2,14,육상,34.8793556,126.5461222,전라남도 무안군 일로읍 산정리,무안육상-007
21,2,15,육상,34.9365583,126.6029028,전라남도 무안군 몽탄면 당호리,무안육상-008
22,2,16,육상,35.0093833,126.5434889,전라남도 무안군 몽탄면 당호리,무안육상-009
23,2,17,육상,35.0749056,126.5611139,전라남도 무안군 몽탄면 구산리,무안육상-010
24,2,18,육상,35.0657083,126.5665028,전라남도 무안군 몽탄면 학산리,무안육상-011
25,2,19,육상,34.9297944,126.5551639,전라남도 무안군 청계면 청계리,무안육상-012
26,2,20,육상,35.0391139,126.4692694,전라남도 무안군 무안읍 평용리,무안육상-013
27,2,21,육상,35.0439139,126.4917694,전라남도 무안군 현경면 동산리,무안육상-014
28,2,22,육상,35.0475944,126.4330361,전라남도 무안군 망운면 목동리,무안육상-015
29,2,23,육상,35.1090944,126.5124444,전라남도 무안군 현경면 수양리,무안육상-016
30,2,24,육상,35.1216556,126.6305694,전라남도 무안군 무안읍 고절리,무안육상-017
31,2,25,육상,34.9650528,126.3645278,전라남도 무안군 운남면 연리,무안육상-018
32,2,26,육상,35.0558111,126.4173056,전라남도 무안군 운남면 내리,무안육상-019
33,2,27,육상,35.2090444,126.4021389,전라남도 무안군 해제면 양월리,무안육상-020
34,2,28,육상,35.1185361,126.3018694,전라남도 무안군 해제면 천장리,무안육상-021
35,2,29,육상,35.1329111,126.4121833,전라남도 무안군 해제면 양간리,무안육상-022
36,2,30,육상,35.2485528,126.4329889,전라남도 무안군 해제면 양매리,무안육상-023
37,2,31,육상,35.2074806,126.3228694,전라남도 무안군 해제면 석룡리,무안육상-024
46,5,34,하천,35.9627778,127.1891667,전라북도 완주군 삼례읍 해전리,완주하천-001
47,5,35,하천,35.9925,127.1372222,전라북도 완주군 삼례읍 하리,완주하천-002
48,5,36,하천,36.0291667,127.2391667,전라북도 완주군 삼례읍 ,완주하천-003
49,5,37,하천,35.9744444,127.2344444,전라북도 완주군 삼례읍 ,완주하천-004
50,5,38,하천,36.0255556,127.2044444,전라북도 완주군 삼례읍 ,완주하천-005
51,5,39,하천,35.9394444,127.2730556,전라북도 완주군 용진면 ,완주하천-006
52,5,40,하천,35.9883333,127.3005833,전라북도 완주군 고산면 읍내리,완주하천-007
53,5,41,하천,36.0352778,127.2152778,전라북도 완주군 용진면 ,완주하천-008
54,5,42,하천,35.99,127.2963889,전라북도 완주군 용진면 ,완주하천-009
55,5,43,하천,35.8625,127.2555556,전라북도 완주군 용진면 ,완주하천-010
56,6,44,육상,35.9913889,127.2219444,전라북도 완주군 삼례읍 어전리,완주육상-001
57,6,45,육상,36.0336111,127.0430556,전라북도 완주군 삼례읍 해전리,완주육상-002
58,6,46,육상,35.9719444,127.0863889,전라북도 완주군 삼례읍 하리,완주육상-003
59,6,47,육상,35.9347222,127.2138889,전라북도 완주군 삼례읍 하리,완주육상-004
60,6,48,육상,35.9508333,127.2341667,전라북도 완주군 삼례읍 ,완주육상-005
61,6,49,육상,36.0513889,127.2405556,전라북도 완주군 삼례읍 ,완주육상-006
62,6,50,육상,36.0561111,127.1488889,전라북도 완주군 삼례읍 ,완주육상-007
63,6,51,육상,36.0230556,127.1297222,전라북도 완주군 삼례읍 ,완주육상-008
64,6,52,육상,35.9265556,127.2288889,전라북도 완주군 삼례읍 ,완주육상-009
65,6,53,육상,35.9297222,127.1561111,전라북도 완주군 삼례읍 ,완주육상-010
66,6,54,육상,35.9994444,127.2133333,전라북도 완주군 봉동읍 고천리,완주육상-011
67,6,55,육상,35.9425,127.1469444,전라북도 완주군 봉동읍 고천리,완주육상-012
68,6,56,육상,36.0355556,127.2219444,전라북도 완주군 봉동읍 성덕리,완주육상-013
70,6,58,육상,35.9747222,127.2222222,전라북도 완주군 봉동읍 ,완주육상-015
71,6,59,육상,35.9580556,127.27,전라북도 완주군 봉동읍 구미리,완주육상-016
72,6,60,육상,36.0486111,127.1836111,전라북도 완주군 봉동읍 ,완주육상-017
73,6,61,육상,36.0458333,127.2763889,전라북도 완주군 봉동읍 ,완주육상-018
74,6,62,육상,36.0808333,127.1705556,전라북도 완주군 봉동읍 율소리,완주육상-019
75,6,63,육상,36.0836111,127.3211111,전라북도 완주군 고산면 ,완주육상-020
76,6,64,육상,35.9975,127.3044444,전라북도 완주군 고산면 남봉리,완주육상-021
77,6,65,육상,35.9975,127.3044444,전라북도 완주군 고산면 ,완주육상-022
78,6,66,육상,36.1169444,127.2502778,전라북도 완주군 고산면 오산리,완주육상-023
79,6,67,육상,36.0705556,127.2211111,전라북도 완주군 고산면 삼기리,완주육상-024
80,6,68,육상,36.0041667,127.3552778,전라북도 완주군 고산면 ,완주육상-025
81,6,69,육상,35.9475,127.2727778,전라북도 완주군 용진면 ,완주육상-026
82,6,70,육상,35.8641667,127.2286111,전라북도 완주군 용진면 ,완주육상-027
83,6,71,육상,36.0141667,127.2180556,전라북도 완주군 고산면 ,완주육상-028
84,6,72,육상,36.0227778,127.2461111,전라북도 완주군 고산면 오산리,완주육상-029
85,6,73,육상,35.8591667,127.1475,전라북도 완주군 이서면 ,완주육상-030
86,6,74,육상,35.8894444,127.0566667,전라북도 완주군 이서면 갈산리,완주육상-031
98,7,75,산림,36.0493,127.4874972,전라북도 완주군 운주면 고당리,CS-013
117,10,92,육상,36.4366667,127.2916667,충청남도 연기군 금남면 감성리,연기육상-002
118,10,93,육상,36.4491667,127.2833333,충청남도 연기군 금남면 도암리,연기육상-003
119,10,94,육상,36.4647222,127.2730556,충청남도 연기군 금남면 대평리,연기육상-004
120,10,95,육상,36.4808333,127.2641667,충청남도 연기군 남면 나성리,연기육상-005
121,10,96,육상,36.4761111,127.2858333,충청남도 연기군 금남면 호탄리,연기육상-006
122,10,97,육상,36.4983333,127.3147222,충청남도 연기군 금남면 반곡리,연기육상-007
123,10,98,육상,36.4825,127.2766667,충청남도 연기군 남면 송담리,연기육상-008
124,10,99,육상,36.4963889,127.2966667,충청남도 연기군 남면 양화리,연기육상-009
125,10,100,육상,36.5513889,127.2975,충청남도 연기군 서면 봉암리,연기육상-010
126,10,101,육상,36.5602778,127.3,충청남도 연기군 서면 월하리,연기육상-011
127,10,102,육상,36.5572222,127.3177778,충청남도 연기군 동면 송용리,연기육상-012
128,10,103,육상,36.4052778,127.3163889,충청남도 연기군 동면 예양리,연기육상-013
129,10,104,육상,36.5705556,127.2763889,충청남도 연기군 서면 쌍전리,연기육상-014
130,10,105,육상,36.6344444,127.2438889,충청남도 연기군 전동면 석곡리,연기육상-015
131,10,106,육상,36.6605556,127.2172222,충청남도 연기군 전동면 미곡리,연기육상-016
132,10,107,육상,36.7141667,127.155,충청남도 연기군 소정면 소정리,연기육상-017
133,9,77,하천,36.4608333,127.2694444,충청남도 연기군 금남면 성덕리,연기하천-001
134,9,78,하천,36.4641667,127.2633333,충청남도 연기군 금남면 대평리,연기하천-002
135,9,79,하천,36.4741667,127.2672222,충청남도 연기군 남면 나성리,연기하천-003
136,9,80,하천,36.4758333,127.2822222,충청남도 연기군 금남면 대평리,연기하천-004
137,9,81,하천,36.4988889,127.3069444,충청남도 연기군 금남면 반곡리,연기하천-005
138,9,82,하천,36.5141667,127.3602778,충청남도 연기군 금남면 부용리,연기하천-006
139,9,83,하천,36.4844444,127.2877778,충청남도 연기군 남면 진의리,연기하천-007
140,9,84,하천,36.5130556,127.3219444,충청남도 연기군 금남면 봉기리,연기하천-008
141,9,85,하천,36.5127778,127.3313889,충청남도 연기군 금남면 봉기리,연기하천-009
142,9,86,하천,36.5161111,127.3227778,충청남도 연기군 남면 월산리,연기하천-010
143,9,87,하천,36.54,127.2972222,충청남도 연기군 남면 보통리,연기하천-011
144,9,88,하천,36.5483333,127.5483333,충청남도 연기군 동면 문주리,연기하천-012
145,9,89,하천,36.565,127.3097222,충청남도 연기군 동면 송용리,연기하천-013
146,9,90,하천,36.5777778,127.3061111,충청남도 연기군 동면 예양리,연기하천-014
163,13,110,하천,36.4748056,127.1193889,충청남도 공주시 쌍신동 ,공주하천-001
164,13,111,하천,36.4682778,127.1043611,충청남도 공주시 우성면 옥성리,공주하천-002
165,13,112,하천,36.4530556,127.087,충청남도 공주시 웅진동 ,공주하천-003
