시료일련번호,SiO2(퍼센트),TiO2(퍼센트),Al2O3(퍼센트),Fe2O3(퍼센트),MgO(퍼센트),MnO(퍼센트),CaO(퍼센트),Na2O(퍼센트),K2O(퍼센트),P2O5(퍼센트),Cr2O3(퍼센트)
2,85.2,0.15,7.76,0.63,0.05,0.14,0.12,0.58,0.93,3.16,0.91
3,87.16,0.27,6.38,1.19,0.11,0.1,0.03,0.61,0.63,2.37,0.7
4,78.72,0.38,10.84,1.95,0.11,0.42,0.03,0.76,1.23,3.47,1.58
5,87.15,0.16,7.12,0.49,0.25,0.22,0.01,0.12,0.42,2.61,0.88
6,83.96,0.26,8.28,1.21,0.19,0.31,0.02,0.72,0.96,2.58,1.04
7,83.15,0.36,8.67,1.18,0.23,0.17,0.03,0.65,0.97,3.09,1.05
8,85.34,0.17,5.05,0.29,0.02,0.1,0.01,3.15,0.53,2.28,2.75
9,86.4,0.11,5.35,0.33,0.02,0.1,0.02,1.64,0.51,2.45,2.74
10,86.61,0.09,6.68,0.15,0.02,0.07,0.01,0.97,0.47,3.43,1.21
11,95.43,0.13,2.59,0.05,0.03,0.01,0.01,0.04,0.06,1.1,0.32
12,92.09,0.15,4.23,0.18,0.03,0.01,0.01,0.11,0.23,2.26,0.31
13,89.82,0.13,5.32,0.38,0.04,0.02,0.01,0.33,0.35,2.91,0.47
18,91.68,0.13,4.72,0,0.2,0.02,0.01,0.16,0.34,1.93,0.55
22,86.54,0.21,7.04,0.68,0.2,0.13,0.03,0.36,0.75,2.67,0.95
23,83.13,0.27,9.17,0.8,0.12,0.24,0.01,0.25,0.79,3.58,1.24
24,84.49,0.21,8.49,0.55,0.07,0.09,0.01,0.23,0.84,3.77,0.91
25,91.62,0.11,4.7,0.18,0.05,0.05,0.01,0.07,0.26,1.84,0.66
26,85.61,0.19,8.17,0.32,0.04,0.09,0.01,0.44,1.07,2.8,0.88
29,94.85,0.3,2.77,0,0.02,0,0.01,0.04,0.03,1.23,0.4
30,82.28,0.15,9.92,0,0.2,0.02,0.01,0.14,0.81,5.57,0.71
34,82.81,0.18,9.34,0.57,0.05,0.09,0.01,0.15,1.37,3.71,1.23
35,86.71,0.17,7.26,0.75,0.05,0.06,0.01,0.14,0.81,2.91,0.8
38,74.76,0.17,13.48,0,0,0.17,0.05,0.3,3.9,4.09,0.92
39,9.44,0.07,1.41,0,0,6.59,0.01,42.7,0.07,0.51,39.41
40,78.55,0.13,11.37,0,0,0.39,0.06,0.94,1,1.4,1.61
41,71.67,0.3,14.36,0,0,0.25,0.06,1.18,3.81,4.48,1.79
42,71.36,0.37,14.64,0,0,0.76,0.04,2.35,3.08,3.77,0.74
43,75.19,0.15,13.92,0,0,0.19,0.02,0.91,3.08,4.88,1.02
46,80.25,0.22,10.39,1.34,0.14,0.27,0.03,0.44,1.59,3.69,1.2
47,82.46,0.18,9.3,1.07,0.1,0.22,0.03,0.54,1.5,3.34,0.92
48,82.08,0.2,9.84,0.72,0.05,0.22,0.02,0.57,1.5,3.67,0.84
49,78.8,0.23,10.99,1.67,0.24,0.3,0.04,0.39,1.83,3.84,1.36
50,79.81,0.27,10.47,1.43,0.36,0.3,0.04,0.38,1.63,3.58,1.26
52,79.34,0.23,10.77,1.69,0.29,0.32,0.04,0.34,1.68,3.79,1.21
53,82.38,0.22,9.17,1.3,0.16,0.24,0.03,0.47,1.32,3.32,0.94
55,80.76,0.27,9.5,2.06,0.26,0.5,0.04,0.65,1.25,2.97,1.28
56,82.15,0.15,9.71,0.58,0.11,0.18,0.02,0.51,1.48,3.78,0.91
57,84.39,0.16,8.53,0.5,0.11,0.17,0.01,0.46,1.22,3.14,0.83
58,80.12,0.22,10.34,1.58,0.2,0.25,0.03,0.47,1.57,3.58,1.27
59,83.35,0.19,8.86,0.9,0.12,0.19,0.02,0.5,1.23,3.22,0.94
60,81.58,0.19,9.73,1.15,0.14,0.2,0.03,0.38,1.46,3.67,1.07
61,80.19,0.23,10.24,1.44,0.25,0.26,0.04,0.36,1.53,3.7,1.31
