연도,광종분류,광종,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남
2012,금속광,"금,은,동,연,아연",0,0,0,0,0,0,0,0,9,39,29,11,24,17,27,23
2012,금속광,"철,망간",0,0,0,0,0,0,0,0,8,5,1,0,0,0,1,0
2012,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,금속광,기타,1,0,0,6,0,0,4,0,0,11,0,7,37,1,20,19
2012,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,2,48,4,0,0,17,1,0
2012,비금속광,"규석,장석",0,0,0,1,0,0,0,0,32,81,64,42,31,30,43,11
2012,비금속광,석회석,0,0,0,0,0,0,0,0,0,676,212,16,9,23,48,0
2012,비금속광,"고령토,규조토",0,0,1,0,4,0,14,0,18,50,24,123,67,86,205,193
2012,비금속광,납석,0,1,0,0,0,0,2,0,0,4,11,0,0,28,25,5
2012,비금속광,활석,0,0,0,0,0,0,0,0,0,8,17,5,3,0,2,0
2012,비금속광,운모,0,0,0,0,0,0,0,0,4,17,27,17,1,0,10,1
2012,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,57,1,22,20,0
2012,비금속광,기타,0,0,0,0,0,0,11,0,0,7,3,4,0,1,37,2
2013,금속광,"금,은,동,연,아연",0,0,0,0,0,0,0,0,8,43,30,15,24,17,28,23
2013,금속광,"철,망간",0,0,0,0,0,0,0,0,8,5,1,0,0,0,0,0
2013,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,금속광,기타,1,0,0,5,0,0,4,0,0,11,0,6,36,1,8,19
2013,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,2,48,4,0,0,17,1,0
2013,비금속광,"규석,장석",0,0,0,1,0,0,0,0,31,81,64,38,31,30,43,11
2013,비금속광,석회석,0,0,0,0,0,0,0,0,0,678,210,15,8,23,48,0
2013,비금속광,"고령토,규조토",0,0,1,0,0,0,14,0,12,48,24,127,71,86,203,200
2013,비금속광,납석,0,1,0,0,0,0,2,0,0,5,11,0,0,27,26,5
2013,비금속광,활석,0,0,0,0,0,0,0,0,0,8,17,5,3,0,2,0
2013,비금속광,운모,0,0,0,0,0,0,0,0,4,15,4,17,2,0,8,1
2013,비금속광,규사,0,0,0,0,0,0,0,0,2,6,0,59,1,19,20,0
2013,비금속광,기타,0,0,0,0,0,0,11,0,0,6,26,4,0,1,47,3
2014,금속광,"금,은,동,연,아연",0,0,0,0,0,0,0,0,8,48,32,15,24,16,31,24
2014,금속광,"철,망간",0,0,0,0,0,0,0,0,8,14,1,0,0,0,0,0
2014,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,금속광,기타,1,0,0,5,0,0,4,0,0,11,1,3,34,1,19,19
2014,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,2,48,4,0,0,17,1,0
2014,비금속광,"규석,장석",0,0,0,1,0,0,0,0,28,83,62,38,31,30,40,11
2014,비금속광,석회석,0,0,0,0,0,0,0,0,0,675,203,15,7,25,49,0
2014,비금속광,"고령토,규조토",0,0,1,0,0,0,14,0,9,48,24,127,71,86,205,198
2014,비금속광,납석,0,1,0,0,0,0,2,0,0,5,11,0,0,24,26,5
2014,비금속광,활석,0,0,0,0,0,0,0,0,0,8,14,5,2,0,2,0
2014,비금속광,운모,0,0,0,0,0,0,0,0,2,15,27,17,1,0,6,1
2014,비금속광,규사,0,0,0,0,0,0,0,0,0,6,0,58,1,19,20,0
2014,비금속광,기타,0,0,0,0,0,0,11,0,0,6,2,3,0,1,40,3
2015,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,0,9,47,32,14,6,11,25,23
2015,금속광,"철,망간",0,0,0,0,0,0,0,0,7,14,1,0,0,0,0,0
2015,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,금속광,기타,1,0,0,5,0,0,4,0,0,11,1,3,38,1,16,18
2015,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,48,4,0,0,17,1,0
2015,비금속광,"규석,장석",0,0,0,0,0,0,0,0,30,76,58,29,16,28,37,7
2015,비금속광,석회석,0,0,0,0,0,0,0,0,0,669,204,15,8,23,43,0
2015,비금속광,"고령토,규조토",0,0,1,0,0,0,13,0,7,48,23,123,61,80,212,198
2015,비금속광,납석,0,1,0,0,0,0,2,0,0,5,11,0,0,23,26,5
2015,비금속광,활석,0,0,0,0,0,0,0,0,0,7,15,5,0,0,2,0
2015,비금속광,운모,0,0,0,0,0,0,0,0,3,16,26,11,6,0,3,1
2015,비금속광,규사,0,0,0,0,0,0,0,0,0,6,0,54,0,16,24,0
2015,비금속광,기타,0,0,0,0,0,0,11,0,0,5,2,1,0,1,43,3
2016,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,0,15,45,29,24,6,10,27,23
2016,금속광,"철,망간",0,0,0,0,0,0,0,0,7,14,1,0,0,0,0,0
2016,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,금속광,기타,1,0,0,2,0,0,4,0,0,10,2,4,38,1,16,18
2016,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,48,4,0,0,17,1,0
2016,비금속광,"규석,장석",0,0,0,1,0,0,0,0,25,75,59,29,25,28,36,7
2016,비금속광,석회석,0,0,0,0,0,0,0,0,0,682,226,15,7,23,31,0
2016,비금속광,"고령토,규조토",0,0,1,0,0,0,13,0,7,47,13,119,72,82,214,198
2016,비금속광,납석,0,1,0,0,0,0,2,0,0,7,11,0,0,23,22,5
2016,비금속광,활석,0,0,0,0,0,0,0,0,0,8,15,5,0,0,2,0
2016,비금속광,운모,0,0,0,0,0,0,0,0,3,14,26,6,1,0,2,1
2016,비금속광,규사,0,0,0,0,0,0,0,0,0,6,0,54,0,16,26,0
2016,비금속광,기타,0,0,0,0,0,0,11,0,0,5,3,1,1,1,41,3
2017,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,0,15,45,29,24,6,10,27,23
2017,금속광,"철,망간",0,0,0,0,0,0,0,0,7,14,1,0,0,0,0,0
2017,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,금속광,기타,1,0,0,2,0,0,4,0,0,10,2,4,38,1,16,18
2017,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,48,4,0,0,17,1,0
2017,비금속광,"규석,장석",0,0,0,1,0,0,0,0,25,75,59,29,25,28,36,7
2017,비금속광,석회석,0,0,0,0,0,0,0,0,0,682,226,15,7,23,31,0
2017,비금속광,"고령토,규조토",0,0,1,0,0,0,13,0,7,47,13,119,72,82,214,198
2017,비금속광,납석,0,1,0,0,0,0,2,0,0,7,11,0,0,23,22,5
2017,비금속광,활석,0,0,0,0,0,0,0,0,0,8,15,5,0,0,2,0
2017,비금속광,운모,0,0,0,0,0,0,0,0,3,14,26,6,1,0,2,1
2017,비금속광,규사,0,0,0,0,0,0,0,0,0,6,0,54,0,16,26,0
2017,비금속광,기타,0,0,0,0,0,0,11,0,0,5,3,1,1,1,41,3
2018,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,0,14,43,29,24,7,10,27,24
2018,금속광,"철,망간",0,0,0,0,0,0,0,0,7,14,1,0,0,0,0,0
2018,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,금속광,기타,1,0,0,2,0,0,4,0,0,10,2,4,37,1,16,0
2018,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,48,4,0,0,17,1,0
2018,비금속광,"규석,장석",0,0,0,1,0,0,0,0,26,68,59,27,27,29,35,7
2018,비금속광,석회석,0,0,0,0,0,0,0,0,0,690,235,17,7,23,31,0
2018,비금속광,"고령토,규조토",0,0,0,0,0,0,13,0,9,45,12,121,74,88,211,211
2018,비금속광,납석,0,1,0,0,0,0,2,0,0,7,11,0,0,23,22,5
2018,비금속광,활석,0,0,0,0,0,0,0,0,0,9,15,5,0,0,2,0
2018,비금속광,운모,0,0,0,0,0,0,0,0,3,8,22,6,1,0,2,1
2018,비금속광,규사,0,0,0,0,0,0,0,0,0,7,0,53,0,17,26,0
2018,비금속광,기타,0,0,0,0,0,0,10,0,0,5,3,0,1,1,41,0
2019,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,0,14,43,24,25,7,11,22,26
2019,금속광,"철,망간",0,0,0,0,0,0,0,0,7,14,1,0,0,0,0,0
2019,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,금속광,기타,1,0,0,0,0,0,4,0,0,10,1,2,37,1,19,0
2019,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,44,4,0,0,17,1,0
2019,비금속광,"규석,장석",0,0,0,1,0,0,0,0,25,68,58,28,28,29,34,7
2019,비금속광,석회석,0,0,0,0,0,0,0,0,0,688,236,16,8,23,33,0
2019,비금속광,"고령토,규조토",0,0,0,0,0,0,13,0,9,40,11,122,58,87,206,203
