연도,광종분류,광종,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남
2012,금속광,"금,은,동,연,아연",0,0,0,6,0,0,1,0,42,133,78,49,40,33,84,68
2012,금속광,"철,망간",0,0,0,1,0,0,0,0,15,43,4,0,3,0,5,3
2012,금속광,우라늄,0,0,0,0,0,6,0,0,2,0,21,17,0,0,17,0
2012,금속광,기타,1,0,0,7,0,0,4,0,4,46,17,14,37,4,28,29
2012,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,5,48,5,3,0,17,5,1
2012,비금속광,"규석,장석",0,0,1,9,2,0,0,0,95,151,113,106,82,49,66,19
2012,비금속광,석회석,0,0,0,0,0,0,0,0,8,760,235,23,12,29,81,0
2012,비금속광,"고령토,규조토",0,0,1,1,5,0,14,0,27,58,25,133,88,129,247,211
2012,비금속광,납석,0,1,0,0,0,0,2,0,1,10,15,0,1,29,29,6
2012,비금속광,활석,0,0,0,0,0,0,0,0,1,10,17,6,3,0,6,0
2012,비금속광,운모,0,0,0,0,0,0,0,0,5,29,33,36,1,0,24,1
2012,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,57,1,25,23,0
2012,비금속광,기타,0,0,0,0,0,0,11,0,2,11,7,6,2,1,55,2
2013,금속광,"금,은,동,연,아연",0,1,0,2,0,0,1,0,50,212,119,82,48,52,130,71
2013,금속광,"철,망간",0,0,0,1,0,0,2,0,13,60,6,5,3,0,4,3
2013,금속광,우라늄,0,0,0,0,0,6,0,0,2,0,19,14,0,0,0,0
2013,금속광,기타,1,0,0,7,0,0,4,0,4,54,27,12,36,2,16,25
2013,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,49,5,4,0,17,6,1
2013,비금속광,"규석,장석",0,0,1,11,2,0,0,0,96,183,124,96,95,53,74,20
2013,비금속광,석회석,0,0,0,1,0,0,0,0,10,845,266,25,21,28,99,0
2013,비금속광,"고령토,규조토",0,0,1,2,1,0,14,0,35,61,26,145,97,133,244,215
2013,비금속광,납석,0,1,0,0,0,0,2,0,1,11,14,0,1,30,32,6
2013,비금속광,활석,0,0,0,0,0,0,0,0,0,10,19,8,3,0,4,0
2013,비금속광,운모,0,0,0,0,0,0,0,0,5,30,33,37,2,0,22,1
2013,비금속광,규사,0,0,0,0,0,0,0,0,2,6,0,60,1,20,23,0
2013,비금속광,기타,0,0,0,0,0,0,11,0,1,12,6,13,1,1,71,3
2014,금속광,"금,은,동,연,아연",0,2,0,2,0,0,1,0,42,204,118,85,50,50,130,64
2014,금속광,"철,망간",0,0,0,0,0,0,2,0,13,59,9,5,3,0,2,2
2014,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,19,14,0,0,0,0
2014,금속광,기타,1,0,0,7,0,0,4,0,1,52,30,7,34,2,28,24
2014,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,8,52,5,7,0,17,6,1
2014,비금속광,"규석,장석",0,0,1,12,0,0,0,0,85,171,113,89,99,51,77,18
2014,비금속광,석회석,0,0,0,1,0,0,0,0,10,840,259,23,19,30,94,0
2014,비금속광,"고령토,규조토",0,0,1,2,1,0,14,0,30,62,26,146,93,128,234,210
2014,비금속광,납석,0,1,0,0,0,0,2,0,2,11,14,1,1,27,32,5
2014,비금속광,활석,0,0,0,0,0,0,0,0,0,12,17,9,2,0,2,0
2014,비금속광,운모,0,0,0,0,0,0,0,0,5,28,36,22,1,0,24,1
2014,비금속광,규사,0,0,0,0,0,0,0,0,0,6,0,59,1,20,22,0
2014,비금속광,기타,0,0,0,0,0,0,11,0,1,13,5,12,1,1,60,3
2015,금속광,"금,은,동,연,아연",0,3,0,2,0,0,0,0,34,161,105,79,24,40,105,47
2015,금속광,"철,망간",0,0,0,0,0,0,2,0,11,50,7,3,3,0,1,2
2015,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,19,11,0,0,0,0
2015,금속광,기타,1,0,0,6,0,0,4,0,1,29,26,6,38,1,25,18
2015,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,10,53,4,8,0,20,3,1
2015,비금속광,"규석,장석",0,0,1,10,0,0,0,0,81,148,89,70,70,50,69,13
2015,비금속광,석회석,0,0,0,1,0,0,0,0,5,814,258,19,19,26,73,0
2015,비금속광,"고령토,규조토",0,0,1,2,1,0,13,0,27,55,24,134,80,124,234,209
2015,비금속광,납석,0,1,0,0,0,0,2,0,1,10,11,1,1,25,32,5
2015,비금속광,활석,0,0,0,0,0,0,0,0,0,13,19,8,0,0,3,0
2015,비금속광,운모,0,0,0,0,0,0,0,0,5,22,35,14,6,0,22,1
2015,비금속광,규사,0,0,0,0,0,0,0,0,0,6,0,54,0,17,26,0
2015,비금속광,기타,0,0,0,0,0,0,11,0,0,7,5,5,1,1,57,3
2016,금속광,"금,은,동,연,아연",0,2,0,0,0,0,0,0,39,150,86,77,25,40,101,56
2016,금속광,"철,망간",0,0,0,0,0,0,2,0,11,50,2,3,3,0,1,2
2016,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,19,10,0,0,0,0
2016,금속광,기타,1,0,0,3,0,0,4,0,1,27,24,4,38,1,25,18
2016,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,10,52,7,9,0,20,4,2
2016,비금속광,"규석,장석",0,0,1,10,0,0,0,0,81,147,84,69,69,52,62,13
2016,비금속광,석회석,0,0,0,1,0,0,0,0,5,891,294,22,18,26,61,0
2016,비금속광,"고령토,규조토",0,0,1,2,1,0,13,0,17,54,14,128,87,121,238,208
2016,비금속광,납석,0,1,0,0,0,0,2,0,1,12,11,1,1,25,28,5
2016,비금속광,활석,0,0,0,0,0,0,0,0,0,12,19,6,0,0,3,0
2016,비금속광,운모,0,0,0,0,0,0,0,0,4,18,35,9,1,0,22,1
2016,비금속광,규사,0,0,0,0,0,0,0,0,0,6,0,54,0,16,26,0
2016,비금속광,기타,0,0,0,0,0,0,11,0,0,7,4,5,1,1,52,3
2017,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,0,39,155,95,76,26,48,113,60
2017,금속광,"철,망간",0,0,0,0,0,0,2,0,11,48,2,3,3,0,1,0
2017,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,21,10,0,0,0,0
2017,금속광,기타,1,0,0,3,0,0,4,0,1,30,23,4,37,1,25,0
2017,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,10,52,7,10,0,20,4,2
2017,비금속광,"규석,장석",0,0,1,8,0,0,0,0,81,143,82,66,71,55,58,12
2017,비금속광,석회석,0,0,0,1,0,0,0,0,5,914,301,27,18,26,68,0
2017,비금속광,"고령토,규조토",0,0,0,2,1,0,13,0,18,51,13,131,87,134,236,222
2017,비금속광,납석,0,1,0,0,0,0,2,0,1,12,11,1,1,25,28,5
2017,비금속광,활석,0,0,0,0,0,0,0,0,0,11,19,6,0,0,3,0
2017,비금속광,운모,0,0,0,0,0,0,0,0,5,12,32,9,1,0,21,1
2017,비금속광,규사,0,0,0,0,0,0,0,0,0,7,0,53,0,17,26,0
