연도,광종분류,광종,건수
2012,금속,"금,은,동,연,아연",921
2012,금속,"철,망간",58
2012,금속,"텅스텐,몰리브덴",14
2012,금속,기타금속,84
2012,비금속,"석탄,흑연",99
2012,비금속,석회석,294
2012,비금속,"규석,장석",293
2012,비금속,"고령토,규조토",577
2012,비금속,활석,25
2012,비금속,형석,25
2012,비금속,운모,51
2012,비금속,기타비금속,41
2012,사광,규사,26
2012,사광,"사금,사철",55
2013,금속,"금,은,동,연,아연",658
2013,금속,"철,망간",53
2013,금속,"텅스텐,몰리브덴",13
2013,금속,기타금속,22
2013,비금속,"석탄,흑연",54
2013,비금속,석회석,193
2013,비금속,"규석,장석",245
2013,비금속,"고령토,규조토",614
2013,비금속,활석,28
2013,비금속,형석,27
2013,비금속,운모,25
2013,비금속,기타비금속,62
2013,사광,규사,19
2013,사광,"사금,사철",46
2014,금속,"금,은,동,연,아연",660
2014,금속,"철,망간",16
2014,금속,"텅스텐,몰리브덴",2
2014,금속,기타금속,44
2014,비금속,"석탄,흑연",63
2014,비금속,석회석,158
2014,비금속,"규석,장석",316
2014,비금속,"고령토,규조토",585
2014,비금속,활석,26
2014,비금속,형석,1
2014,비금속,운모,31
2014,비금속,기타비금속,32
2014,사광,규사,45
2014,사광,"사금,사철",42
2015,금속,"금,은,동,연,아연",700
2015,금속,"철,망간",13
2015,금속,"텅스텐,몰리브덴",3
2015,금속,기타금속,94
2015,비금속,"석탄,흑연",90
2015,비금속,석회석,425
2015,비금속,"규석,장석",553
2015,비금속,"고령토,규조토",260
2015,비금속,활석,20
2015,비금속,형석,3
2015,비금속,운모,38
2015,비금속,기타비금속,21
2015,사광,규사,42
2015,사광,"사금,사철",32
2016,금속,"금,은,동,연,아연",911
2016,금속,"철,망간",24
2016,금속,"텅스텐,몰리브덴",3
2016,금속,기타금속,133
2016,비금속,"석탄,흑연",68
2016,비금속,석회석,345
2016,비금속,"규석,장석",519
2016,비금속,"고령토,규조토",329
2016,비금속,활석,23
2016,비금속,형석,6
2016,비금속,운모,36
2016,비금속,기타비금속,20
2016,사광,규사,107
2016,사광,"사금,사철",47
2017,금속,"금,은,동,연,아연",971
2017,금속,"철,망간",10
2017,금속,"텅스텐,몰리브덴",6
2017,금속,기타금속,71
