연도,낙반붕락_재해자,낙반붕락_사망자,운반_재해자,운반_사망자,화약_재해자,화약_사망자,가스_재해자,가스_사망자,출수_재해자,출수_사망자,추락-전석_재해자,추락-전석_사망자,기계-전기_재해자,기계-전기_사망자,기타_재해자,기타_사망자
1980,1648,115,1983,24,99,9,37,4,31,12,1006,13,227,7,1621,3
1981,1694,120,1926,45,84,9,71,13,31,20,1076,11,206,7,1618,1
1982,1581,123,1631,19,73,12,16,16,10,3,941,15,205,4,1527,7
1983,1474,111,1443,20,89,12,23,11,20,2,823,14,215,3,1508,17
1984,1499,120,1708,22,86,12,52,20,14,3,920,6,170,5,1571,5
1985,1547,118,1801,20,101,16,36,14,33,16,898,15,191,4,1754,2
1986,1600,117,1822,29,102,13,23,11,36,9,1026,5,229,5,1793,4
1987,1525,130,1703,24,96,9,21,7,37,8,1003,4,208,2,1785,7
1988,1511,120,1557,12,102,8,16,11,28,11,955,4,229,3,1769,4
1989,1594,81,1381,15,85,5,21,9,21,5,815,6,183,5,1348,6
1990,1496,77,1062,16,62,10,17,6,13,7,480,7,166,3,902,4
1991,1118,48,791,16,74,3,30,6,16,7,338,3,107,6,670,1
1992,732,38,540,17,51,7,17,5,16,9,250,5,88,3,448,6
1993,534,35,403,12,26,0,24,8,9,5,185,5,58,1,293,2
1994,314,25,229,10,18,0,22,10,9,3,118,2,37,3,187,0
1995,171,16,154,5,6,1,2,1,6,2,63,2,25,0,113,2
1996,108,11,70,2,9,1,0,0,15,15,43,1,26,0,92,1
1997,110,4,82,7,7,2,15,7,1,0,36,1,28,1,63,3
1998,61,5,65,4,3,0,0,0,3,1,46,1,26,4,39,0
1999,59,4,49,2,6,2,6,3,0,0,17,4,16,2,26,0
2000,50,7,42,1,2,2,1,0,2,0,20,1,22,1,38,0
2001,49,13,38,2,6,3,1,1,0,0,13,1,19,1,23,0
2002,35,4,21,1,4,1,5,4,5,5,9,2,7,0,13,0
2003,30,8,17,1,1,0,16,2,0,0,6,0,5,0,4,0
2004,30,5,23,3,3,1,1,0,0,0,4,0,5,0,6,0
2005,11,1,14,1,4,1,0,0,0,0,3,0,4,1,9,1
2006,16,0,11,0,2,0,0,0,0,0,2,1,3,0,9,0
2007,28,2,28,1,4,0,0,0,0,0,8,0,7,1,10,2
2008,25,2,14,2,2,0,0,0,0,0,8,0,5,0,5,0
2009,18,4,16,2,4,0,0,0,0,0,11,3,6,1,9,0
2010,12,2,13,1,0,0,2,1,0,0,10,1,7,1,13,1
2011,18,3,4,0,1,0,0,0,0,0,8,0,10,1,7,1
2012,32,5,11,1,1,0,5,2,0,0,5,1,3,0,3,0
2013,20,2,17,4,0,0,0,0,0,0,9,0,6,0,5,0
2014,12,0,7,3,0,0,0,0,0,0,3,1,6,0,6,0
2015,10,2,7,1,0,0,0,0,0,0,8,0,3,0,4,1
2016,13,3,7,1,8,1,0,0,0,0,3,0,5,1,4,0
2017,7,1,6,2,3,0,6,1,0,0,2,0,2,0,5,0
2018,8,1,3,1,8,4,0,0,0,0,8,0,6,1,4,0
2019,6,0,5,0,1,0,5,1,0,0,9,2,11,1,2,0
2020,8,3,1,0,1,0,1,0,1,0,2,1,6,1,3,1
2021,5,1,3,0,0,0,0,0,0,0,4,0,8,0,4,2
2022,5,1,2,0,0,0,2,1,3,1,7,1,10,0,5,0
2023,4,1,2,0,0,0,0,0,0,0,2,0,6,0,8,0
2024,5,0,5,1,0,0,0,0,2,1,1,1,7,0,8,0
