연도(누적),석유-가스,석유-가스_진행사업,석유-가스_진행사업_생산,석유-가스_진행사업_개발,석유-가스_진행사업_탐사(조사),석유-가스_종료사업,일반광물,일반광물_진행사업,일반광물_종료사업
2006,166,83,26,9,48,83,203,135,68
2007,209,123,34,12,77,86,246,163,83
2008,244,155,43,14,98,89,317,219,98
2009,275,169,51,17,101,106,376,271,105
2010,301,180,53,27,100,121,419,289,130
2011,341,198,69,25,104,143,449,306,143
2012,359,201,80,29,92,158,482,330,152
2013,367,193,78,29,86,174,507,342,165
2014,372,182,74,28,80,190,523,349,174
2015,376,166,78,25,63,210,529,338,191
2016,378,141,81,19,41,237,537,339,198
2017,380,131,79,12,40,249,538,322,216
2018,380,122,73,11,38,258,544,316,228
2019,383,119,70,11,38,264,547,308,239
2020,386,118,69,10,39,268,549,301,248
2021,388,110,62,10,38,278,551,291,260
2022,391,105,56,10,39,286,553,289,264
2023,391,100,55,10,35,291,555,287,268
2024,955,98,53,10,35,295,275,116,275
