연번,업소명,도로명주소,위도,경도,업종,사업자등록번호
1,㈜코푸렉스,인천광역시 미추홀구 염전로128번길 23,37.47858317,126.6566057,고무및플라스틱제품제조,131-81-09473
2,한경금속공업사,인천광역시 미추홀구 석정로337번길 39,37.46946538,126.6726788,조립금속제품제조,
3,㈜주안시범공단,인천광역시 미추홀구 주염로 58,37.47026207,126.6837701,조립금속제품제조,
4,부국사료㈜,인천광역시 미추홀구 독배로251번길 60,37.44372107,126.6456049,음료식품제조,
5,㈜강원(레미콘),인천광역시 미추홀구 매소홀로 248,37.444423,126.6509498,비금속광물제조,
6,(주)강원아스콘,인천광역시 미추홀구 매소홀로 248,37.444423,126.6509498,비금속광물제조,
7,우정산업,인천광역시 미추홀구 염전로 134 (7호),37.47893678,126.6573089,도장및기타피막처리업,
8,동영전자,인천광역시 미추홀구 주염로 58 시범공단 140,37.47026207,126.6837701,제조,131-18-77768
9,㈜이오텍,인천광역시 미추홀구 주염로 58시범공단 350호,37.47026207,126.6837701,제조,
10,태원자동차중기공업사,인천광역시 미추홀구 아암대로253번길 50,37.4400143,126.636814,자동차정비(중기자동차),121-14-17372
11,모든카,인천광역시 미추홀구 아암대로227번길 34-2,37.44128217,126.6344958,자동차종합수리업,121-14-89987
