단지명,회사명,공장대표주소,업종명,데이터기준일자
강진마량농공단지,(유)대승전력,전라남도 강진군 마량면 마량공단길 27-3,배전반 및 전기 자동제어반 제조업,2025-09-08
개별입지,(유)동양실업,전라남도 강진군 강진읍 금릉6길 30,"금속 문, 창, 셔터 및 관련제품 제조업 외 10종",2025-09-08
개별입지,(유)만덕광업,전라남도 강진군 도암면 월하2길 206,비금속광물 분쇄물 생산업,2025-09-08
개별입지,(유)지향물산,전라남도 강진군 성전면 예향로 635,기타채소가공및저장처리업,2025-09-08
개별입지,(유)호남식품,전라남도 강진군 마량면 마량리 1000번지,수산동물 건조 및 염장품 제조업,2025-09-08
강진마량농공단지,(주)강진마린,전라남도 강진군 마량면 마량리 1000-5번지,합성수지선 건조업,2025-09-08
개별입지,(주)남도농산,전라남도 강진군 작천면 홍교로 173-12,복합비료 및 기타 화학비료 제조업 외 1종,2025-09-08
개별입지,(주)남양,전라남도 강진군 칠량면 송로리 산 100번지,기타 구조용 금속제품 제조업,2025-09-08
개별입지,(주)남일레미콘,전라남도 강진군 도암면 백도로 2049,레미콘 제조업,2025-09-08
강진환경산업단지,(주)다온폴리텍,"전라남도 강진군 성전면 강진산단로 197-10, (주)다온폴리텍",합성수지 및 기타 플라스틱 물질 제조업,2025-09-08
강진마량농공단지,(주)대동산업,"전라남도 강진군 마량면 마량공단길 27-10, 경량철골조 강판지붕 건물 공장 1동(농공단지내) (마량면)",기타 구조용 금속제품 제조업 외 7종,2025-09-08
개별입지,(주)대동산업(강진읍지점),전라남도 강진군 강진읍 송계로 382-7,기타 구조용 금속제품 제조업 외 9종,2025-09-08
개별입지,(주)대원아스콘,전라남도 강진군 성전면 별뫼로 132,그 외 기타 콘크리트 제품 및 유사제품 제조업,2025-09-08
개별입지,(주)대원환경산업,전라남도 강진군 작천면 사문로 309,아스팔트 콘크리트 및 혼합제품 제조업,2025-09-08
개별입지,(주)대한유리,전라남도 강진군 강진읍 강진공단길 42-14,안전유리 제조업 외 1종,2025-09-08
개별입지,(주)덕성,전라남도 강진군 성전면 솔치로 412-10,김치류 제조업 외 1종,2025-09-08
개별입지,(주)동남레미콘,전라남도 강진군 칠량면 청자로 744 (주식회사동남아스콘),레미콘 제조업,2025-09-08
