연번,업종코드,업종,업체수,종사자수
1,C10,식료품,430,2452
2,C11,음료,27,185
3,C12,담배 제조업,0,0
4,C13,섬유제품(의복 제외),60,398
5,C14,"의복, 의복액세서리 및 모피제품",59,397
6,C15,"가죽, 가방 및 신발",2,2
7,C16,목재 및 나무제품(가구제외),38,223
8,C17,"펄프, 종이 및 종이제품",38,276
9,C18,인쇄 및 기록매체 복제업,28,105
10,C19,"코크스, 연탄 및 석유정유제품",3,15
11,C20,화학물질 및 화학제품(의약품 제외),84,803
12,C21,의료용 물질 및 의약품,2,12
13,C22,고무제품 및 플라스틱제품,59,423
14,C23,비금속 광물제품,113,1235
15,C24,1차 금속,15,97
16,C25,금속가공제품(기계 및 가구 제외),176,1157
17,C26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비",37,330
18,C27,"의료, 정밀, 광학기기 및 시계",21,359
19,C28,전기장비,88,1091
20,C29,기타 기계 및 장비,92,568
21,C30,자동차 및 트레일러,59,816
22,C31,기타 운송장비,7,33
23,C32,가구,26,103
24,C33,기타제품,86,485
25,C34,산업용 기계 및 장비수리업,5,20
