기관코드,대분류,중분류,소분류,세분류,속명,종명,명칭,이명,자료수집번호(통합),자료세부분류번호,수량,사진분류,규격,상태,수집방법,현 상태,데이터기준일자
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,감진곱슬이,해당없음,JFNM-22277,JFNM-AL-1033,1,해조류,2,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,왜잎송진내,해당없음,JFNM-22218,JFNM-AL-974,1,해조류,3,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,돌가사리,해당없음,JFNM-22230,JFNM-AL-986,1,해조류,4,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,꽃지누아리,해당없음,JFNM-22247,JFNM-AL-1003,1,해조류,4,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,부챗말,해당없음,JFNM-22278,JFNM-AL-1034,1,해조류,5,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,털엇가지풀,해당없음,JFNM-22213,JFNM-AL-969,1,해조류,6,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,구멍갈파래,해당없음,JFNM-22168,JFNM-AL-924,1,해조류,7,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,납작흐늘풀,해당없음,JFNM-22279,JFNM-AL-1035,1,해조류,7,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,겹가지개서실,해당없음,JFNM-22288,JFNM-AL-1044,1,해조류,7,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,개그물바탕말,해당없음,JFNM-22178,JFNM-AL-934,1,해조류,8,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,개그물바탕말,해당없음,JFNM-22179,JFNM-AL-935,1,해조류,8,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,개그물바탕말,해당없음,JFNM-22180,JFNM-AL-936,1,해조류,8,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,개그물바탕말,해당없음,JFNM-22276,JFNM-AL-1032,1,해조류,8.5,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,방사무늬김,해당없음,JFNM-22205,JFNM-AL-961,1,해조류,9,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,나무꼴애기산호발,해당없음,JFNM-22210,JFNM-AL-966,1,해조류,9,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,꼬시래기,해당없음,JFNM-22234,JFNM-AL-990,1,해조류,9,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,애기마디잘록이,해당없음,JFNM-22275,JFNM-AL-1031,1,해조류,9,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,잎파래,해당없음,JFNM-22164,JFNM-AL-920,1,해조류,10,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,꿩꼬리플,해당없음,JFNM-22219,JFNM-AL-975,1,해조류,10,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,꿩꼬리플,해당없음,JFNM-22220,JFNM-AL-976,1,해조류,10,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,민자루땀어,해당없음,JFNM-22221,JFNM-AL-977,1,해조류,10,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,주머니끈적이,해당없음,JFNM-22261,JFNM-AL-1017,1,해조류,10,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,갈래잎바위주걱,해당없음,JFNM-22280,JFNM-AL-1036,1,해조류,10,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,참곱슬이,해당없음,JFNM-22285,JFNM-AL-1041,1,해조류,10,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,감진곱슬이,해당없음,JFNM-22253,JFNM-AL-1009,1,해조류,12,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,가시왕지누아리,해당없음,JFNM-22281,JFNM-AL-1037,1,해조류,12,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,참지누아리,해당없음,JFNM-22282,JFNM-AL-1038,1,해조류,14.5,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,감태,해당없음,JFNM-22287,JFNM-AL-1043,1,해조류,15,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,톳,해당없음,JFNM-22197,JFNM-AL-953,1,해조류,16,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,패,해당없음,JFNM-22274,JFNM-AL-1030,1,해조류,16,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,큰대마다말,해당없음,JFNM-22169,JFNM-AL-925,1,해조류,18,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,큰대마다말,해당없음,JFNM-22170,JFNM-AL-926,1,해조류,18,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,큰대마다말,해당없음,JFNM-22171,JFNM-AL-927,1,해조류,18,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,큰대마다말,해당없음,JFNM-22172,JFNM-AL-928,1,해조류,18,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,미역,해당없음,JFNM-22286,JFNM-AL-1042,1,해조류,18.5,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,애기정각,해당없음,JFNM-22173,JFNM-AL-929,1,해조류,19,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,쌍발이모자반,해당없음,JFNM-22198,JFNM-AL-954,1,해조류,20,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,괭생이모자반,해당없음,JFNM-22200,JFNM-AL-956,1,해조류,22,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,담배입산말,해당없음,JFNM-22193,JFNM-AL-949,1,해조류,33,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,비를대모자반,해당없음,JFNM-22199,JFNM-AL-955,1,해조류,33,건조,기증,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22321,JFNM-AL-1077,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22322,JFNM-AL-1078,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22323,JFNM-AL-1079,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22324,JFNM-AL-1080,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22325,JFNM-AL-1081,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22326,JFNM-AL-1082,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22327,JFNM-AL-1083,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22328,JFNM-AL-1084,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22329,JFNM-AL-1085,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22330,JFNM-AL-1086,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22331,JFNM-AL-1087,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22332,JFNM-AL-1088,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22333,JFNM-AL-1089,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22334,JFNM-AL-1090,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,다시마,해당없음,JFNM-22335,JFNM-AL-1091,1,해조류,70,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,미역,해당없음,JFNM-22316,JFNM-AL-1072,1,해조류,100,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,미역,해당없음,JFNM-22317,JFNM-AL-1073,1,해조류,100,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,미역,해당없음,JFNM-22318,JFNM-AL-1074,1,해조류,100,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,미역,해당없음,JFNM-22319,JFNM-AL-1075,1,해조류,100,건조,자체,해양수장고,2016-09-30
JFNM,식물,해조류,해당없음,해당없음,해당없음,해당없음,미역,해당없음,JFNM-22320,JFNM-AL-1076,1,해조류,100,건조,자체,해양수장고,2016-09-30
JFNM,지질,암석,화성암,현무암,해당없음,해당없음,화산탄,해당없음,JFNM-23206,JFNM-RO-726,1,암석,2410,중,자체,광식물수장고,2016-09-30
JFNM,지질,암석,화성암,현무암,해당없음,해당없음,동굴내의 암석,해당없음,JFNM-22507,JFNM-RO-27,1,암석,해당없음 ,중,자체,광식물수장고,2016-09-30
JFNM,지질,암석,화성암,현무암,해당없음,해당없음,석유모래,해당없음,JFNM-23334,JFNM-RO-854,1,암석,해당없음 ,상,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,암갈색토양,해당없음,JFNM-23411,JFNM-FO-1,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,암갈색토양,해당없음,JFNM-23412,JFNM-FO-2,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,흑색토양,해당없음,JFNM-23413,JFNM-FO-3,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,흑색토양,해당없음,JFNM-23414,JFNM-FO-4,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,고산지토양,해당없음,JFNM-23415,JFNM-FO-5,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,고산지토양,해당없음,JFNM-23416,JFNM-FO-6,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,농암갈색토양,해당없음,JFNM-23417,JFNM-FO-7,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,토양,토양,토양,해당없음,해당없음,농암갈색토양,해당없음,JFNM-23418,JFNM-FO-8,1,토양,해당없음 ,하,자체,광식물수장고,2016-09-30
JFNM,지질,화석,무척추,해당없음,해당없음,해당없음,패류화석(서귀포층),해당없음,JFNM-23448,JFNM-SO-4,1,화석,해당없음 ,중,자체,광식물수장고,2016-09-30
JFNM,지질,화석,무척추,해당없음,해당없음,해당없음,패류화석(서귀포층),해당없음,JFNM-23449,JFNM-SO-5,1,화석,해당없음 ,중,자체,광식물수장고,2016-09-30
JFNM,지질,화석,무척추,해당없음,해당없음,해당없음,패류화석(서귀포층),해당없음,JFNM-23450,JFNM-SO-6,1,화석,해당없음 ,중,자체,광식물수장고,2016-09-30
JFNM,지질,화석,무척추,해당없음,해당없음,해당없음,패류화석(서귀포층),해당없음,JFNM-23451,JFNM-SO-7,1,화석,해당없음 ,중,자체,광식물수장고,2016-09-30
JFNM,지질,화석,무척추,해당없음,해당없음,해당없음,패류화석(서귀포층),해당없음,JFNM-23452,JFNM-SO-8,1,화석,해당없음 ,중,자체,광식물수장고,2016-09-30
JFNM,지질,화석,무척추,해당없음,해당없음,해당없음,패류화석(서귀포층),해당없음,JFNM-23453,JFNM-SO-9,1,화석,해당없음 ,중,자체,광식물수장고,2016-09-30
JFNM,지질,화석,무척추,해당없음,해당없음,해당없음,패류화석(서귀포층),해당없음,JFNM-23454,JFNM-SO-10,1,화석,해당없음 ,중,자체,광식물수장고,2016-09-30
