사료,구분,사료종류,업체명,주소,데이터기준일자
배합,양축용,양축용 배합사료,(재) 이시돌농촌산업개발협회 사료공장,제주특별자치도 제주시 한림읍 한림해안로 180,2025-02-28
배합,섬유질,섬유질 배합사료,제주축산농협 섬유질사료공장,제주특별자치도 제주시 한림읍 한창로 1015,2025-02-28
보조,비타민제+혼합제,비타민제+혼합제,(주)건풍바이오,제주특별자치도 제주시 한림읍 금능농공길 62,2025-02-28
단미,식물성,섬유질류,주식회사 일해,제주특별자치도 제주시 조천읍 함와로 321,2025-02-28
배합,양축용,양축용 배합사료,주식회사 팜스코 제주공장,제주특별자치도 제주시 화남로 52 (화북일동),2025-02-28
보조,미생물제,유익균,펌-리서치,제주특별자치도 제주시 애월읍 장전로 171,2025-02-28
보조,비타민제,비타민제,시그마바이오켐,제주특별자치도 제주시 한림읍 일주서로 5256,2025-02-28
보조,미생물제,유익균+유익효모+합제,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9,2025-02-28
단미,동물성,단백질류,(주)화송산업,제주특별자치도 서귀포시 대정읍 일주서로3000번길 155-13,2025-02-28
보조,미생물제,유익균,지티글로벌(주),제주특별자치도 제주시 애월읍 엄수로 63,2025-02-28
단미,식물성,섬유질류,제주특별자치도개발공사(감귤복합처리가공공장),제주특별자치도 서귀포시 남원읍 서성로 684-22,2025-02-28
단미,식물성,섬유질류,제주특별자치도개발공사(제2감귤공장),제주특별자치도 제주시 한림읍 월림7길 58,2025-02-28
보조,추출제,합제,펌-리서치(주),제주특별자치도 제주시 애월읍 장전로 171,2025-02-28
단미,식물성,섬유질류,롯데칠성음료 (주) 제주공장,제주특별자치도 서귀포시 남원읍 일주동로 7908,2025-02-28
보조,혼합제,혼합제,주식회사 제동팜,제주특별자치도 제주시 청풍남8길 62-1 (화북이동),2025-02-28
보조,비타민제,비타민제,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9,2025-02-28
보조,규산염제,규산염제,주식회사 송이산업,제주특별자치도 제주시 한림읍 명상로 106-7,2025-02-28
단미,동물성,유지류,(주)한라산업,제주특별자치도 제주시 한림읍 금능농공길 48-20,2025-02-28
배합,양축용,양축용 배합사료,제주양돈축산업협동조합 청정배합사료공장,제주특별자치도 제주시 한림읍 금능농공길 111,2025-02-28
단미,식물성,섬유질류,남해상사,제주특별자치도 서귀포시 성산읍 일주동로 5419,2025-02-28
보조,미생물제,유익균+합제,고원주식회사,제주특별자치도 서귀포시 도순남로 97 (도순동),2025-02-28
배합,그 밖의 동물·어류용,수산동물,대봉엘에프영어조합법인,제주특별자치도 서귀포시 표선면 민속해안로 243,2025-02-28
단미,동물성,단백질류,주식회사 돈마유통,제주특별자치도 제주시 주르레길 1 (노형동),2025-02-28
배합,그 밖의 동물·어류용,수산동물,어업회사법인 해강 주식회사,제주특별자치도 서귀포시 대정읍 일주서로3000번길 137-16,2025-02-28
단미,혼합성,혼합제,강아지와 고양이의 구멍가게,제주특별자치도 서귀포시 일주동로 8720 (서홍동),2025-02-28
보조,혼합제,혼합제,이지바이오텍,제주특별자치도 제주시 애월읍 광성로 194,2025-02-28
보조,비타민제,비타민제,이지바이오텍,제주특별자치도 제주시 애월읍 광성로 194,2025-02-28
배합,섬유질,섬유질 배합사료,서귀포시 축산업협동조합 TMF 조사료 유통센터,제주특별자치도 서귀포시 남원읍 서성로914번길 148-55,2025-02-28
