순번,시설명,시도,시군,읍면동,리,지번
1,금왕(금계),경기,양평군,양동면,계정리,881-3번지
2,여수(팔보),경기,여주시,금사면,상호리,29-2번지
3,삼보,경기,화성시,봉담읍,내리,351-2번지
4,영중,경기,포천시,영중면,금주리,126-1번지
5,용석,경기,포천시,창수면,운사리,27번지
6,포천,경기,포천시,영북면,야미리,산93-2
7,"제2연화(직내골, 댐골)",강원,삼척시,가곡면,풍곡리,"산128,53번지"
8,옥계,강원,강릉시,옥계면,산계리,764번지
9,고명,강원,고성군,현내면,명파리,484번지
10,동명,강원,정선군,임계면,봉산리,89번지
11,함창,강원,정선군,화얌면,석곡리,1272번지
12,낙동,강원,정선군,남면,낙동리,산64-3번지
13,원동,강원,태백시,원동,,34번지
14,동보(2지역),강원,고성군,현내면,명파리,산292번지
15,송천,강원,강릉시,연곡면,삼산리,1170번지
16,상동,강원,영월군,상동읍,내덕리,94-3번지
17,길곡,강원,홍천군,남면,화전리,236번지
18,거풍,충북,옥천군,청성면,거포리,산58번지
19,유진,충북,단양군,적성면,하원곡리,산22번지
20,문백(유창),충북,진천군,문백면,구곡리,543번지
21,월류,충북,영동군,황간면,원촌리,126번지
22,조일,충북,단양군,적성면,상원곡리,168번지
23,덕곡,충남,공주시,유구읍,덕고리,299-3번지
24,대영,충남,예산군,광시면,서초정리,400-1번지
25,임천덕영,충남,부여군,장암면,지토리,775번지
26,구봉,충남,청양군,남양면,구룡리,436번지
27,전의양덕,세종,세종시,전의면,양곡리,388번지
28,천보,충남,천안시,입장면,기로리,8-1번지
29,청양(2지역),충남,청양군,장평면,화산리,산41-21번지
30,산막,경북,봉화군,재산면,갈산리,산582-15번지
31,쌍전,경북,울진군,서면,쌍전리,산152번지
32,진곡,경북,봉화군,봉성면,우곡리,714-2번지
33,옥동,경북,의성군,옥산면,감계리,7번지
34,금장,경북,울진군,온정면,선구리,산164번지
35,달성,대구,달성군,가창면,상원리,472번지
36,고로(석산),경북,군위군,고로면,석산리,13번지
37,금정,경북,울진군,춘양면,우구치리,산1-19번지
38,토현,경북,의성군,사곡면,토현리,산69번지
39,서점(나지역),경북,영덕군,달산면,매일리,396-1번지
40,도구(도곡),경북,영덕군,축산면,축산리,산185-6번지
41,일월,경북,영양군,일월면,용화리,337번지
42,다덕,경북,봉화군,봉성면,우곡리,533번지
43,양곡,경북,봉화군,명호면,양곡리,541-1번지
44,풍정,경북,봉화군,법전면,풍정리,산151-5번지
45,붓든,경북,봉화군,법전면,법전리,711번지
46,동아,경남,거제시,하청면,덕곡리,838번지
47,일광,부산,기장군,일광면,원리,"192,산95-8번지"
48,구룡,경남,창원시,북면,고암리,260번지
49,성지삼아,경남,고성군,삼산면,미룡리,208번지
50,삼산제일,경남,고성군,삼산면,병산리,631-1번지
51,대두,전북,정읍시,덕천면,하학리,산118-3번지
52,전주일,전북,완주군,운주면,장선리,산74-1번지
53,덕음,전남,나주시,공산면,신곡리,123번지
54,명봉,전남,보성군,노동면,명봉리,226-2번지
55,전보,전남,보성군,문덕면,봉정리,582번지
56,영대,전남,장수군,산서면,오산리,8-1번지
57,구운동(양구동),경남,밀양시,무안면,마흘리,"5,산267번지"
58,군북,경남,함안군,군북면,오곡리,산1019-1번지
59,다락,경북,성주군,수륜면,송계1리,460-1번지
60,고성,경북,고성군,상리면,부포리,843-22번지
