시설명,시도,시군,읍면동,리,지번,전용면적(제곱미터),소유구분
금왕(금계),경기,양평,양동면,계정리,897-3번지,226,국유지
금왕(금계),경기,양평,양동면,계정리,산215번지,626,국유지
금왕(금계),경기,양평,양동면,계정리,산227-1번지,414,국유지
금왕(금계),경기,양평,양동면,계정리,산229번지,343,국유지
금왕(금계),경기,양평,양동면,계정리,산243번지,560,국유지
여수(팔보),경기,여주,금사면,상호리,58-1번지,1489,국유지
여수(팔보),경기,여주,금사면,상호리,199번지,171,국유지
여수(팔보),경기,여주,금사면,상호리,201번지,173,국유지
삼보,경기,화성,봉담읍,상리,341-1번지,1316,국유지
삼보,경기,화성,봉담읍,상리,345-1번지,615,국유지
삼보,경기,화성,봉담읍,상리,345-2번지,3154,국유지
삼보,경기,화성,봉담읍,상리,산103-2번지,298,국유지
삼보,경기,화성,봉담읍,내리,353번지,631,국유지
삼보,경기,화성,봉담읍,내리,357-1번지,1455,국유지
삼보,경기,화성,봉담읍,내리,357-5번지,1326,국유지
삼보,경기,화성,봉담읍,내리,357-6번지,678,국유지
삼보,경기,화성,봉담읍,내리,843번지,1640,국유지
삼보,경기,화성,봉담읍,내리,844번지,54,국유지
삼보,경기,화성,봉담읍,내리,산154번지,102,국유지
포천,경기,포천,영북면,야미리,25-1번지,498,국유지
용석,경기,포천,창수면,운산리,27번지,1837,법인
제2연화(직내골),강원,삼척,가곡면,풍곡리,709번지,312,국유지
제2연화(직내골),강원,삼척,가곡면,풍곡리,822번지,210,국유지
제2연화(직내골),강원,삼척,가곡면,풍곡리,823번지,1667,국유지
제2연화(직내골),강원,삼척,가곡면,풍곡리,산59번지,859,군유지
제2연화(직내골),강원,삼척,가곡면,풍곡리,산128번지,119355,국유지
제2연화(댐골),강원,삼척,가곡면,풍곡리,산128번지,59983,국유지
옥계,강원,강릉,옥계면,산계리,산449번지,19,개인
옥계,강원,강릉,옥계면,산계리,1644-3번지,152,국유지
동명,강원,정선,임계면,봉산리,70-1번지,799,국유지
동명,강원,정선,임계면,낙천리,산50번지,6834,국유지
동명,강원,정선,임계면,낙천리,산53번지,1439,군유지
동명,강원,정선,임계면,낙천리,산54번지,917,군유지
동명,강원,정선,임계면,용산리,산154번지,1232,개인
동명,강원,정선,임계면,용산리,산154-1번지,1070,국유지
함창,강원,정선,화암면,석곡리,1250-1번지,887,국유지
함창,강원,정선,화암면,석곡리,산433번지,773,국유지
낙동,강원,정선,남면,낙동리,산64-3번지,1160,군유지
낙동,강원,정선,남면,낙동리,산83-6번지,2007,군유지
낙동,강원,정선,남면,낙동리,산83-2번지,1100,국유지
낙동,강원,정선,남면,낙동리,386-2번지,667,국유지
원동,강원,태백,원동,,293-18번지,1362,국유지
동보,강원,고성,현내면,명파리,산292번지,5539,국유지
송천,강원,강릉,연곡면,삼산리,산1-1번지,137,국유지
송천,강원,강릉,연곡면,삼산리,산194번지,42,군유지
상동,강원,영월,상동읍,천평리,292-1번지,457,공단
상동,강원,영월,상동읍,천평리,293-1번지,871,공단
상동,강원,영월,상동읍,천평리,294-1번지,166,공단
상동,강원,영월,상동읍,천평리,294-2번지,2188,공단
상동,강원,영월,상동읍,천평리,433-1번지,124,국유지
상동,강원,영월,상동읍,천평리,433-2번지,1819,국유지
상동,강원,영월,상동읍,천평리,433-3번지,10882,국유지
상동,강원,영월,상동읍,천평리,434번지,220,국유지
상동,강원,영월,상동읍,천평리,435-1번지,34,국유지
상동,강원,영월,상동읍,천평리,435-2번지,521,국유지
상동,강원,영월,상동읍,천평리,산21-1번지,143,공단
상동,강원,영월,상동읍,내덕리,87번지,48,공단
상동,강원,영월,상동읍,내덕리,90번지,11,공단
상동,강원,영월,상동읍,내덕리,91번지,325,공단
상동,강원,영월,상동읍,내덕리,92번지,4822,공단
상동,강원,영월,상동읍,내덕리,93-1번지,2397,국유지
상동,강원,영월,상동읍,내덕리,94-1번지,9064,공단
상동,강원,영월,상동읍,내덕리,656번지,17178,국유지
상동,강원,영월,상동읍,내덕리,89번지,902,공단
상동,강원,영월,상동읍,내덕리,93번지,2701,공단
상동,강원,영월,상동읍,내덕리,94-2번지,288,국유지
상동,강원,영월,상동읍,내덕리,94-3번지,5527,공단
상동,강원,영월,상동읍,내덕리,95번지,397,공단
상동,강원,영월,상동읍,내덕리,산14번지,1423,국유지
상동,강원,영월,상동읍,내덕리,산15번지,2813,국유지
상동,강원,영월,상동읍,내덕리,산16-1번지,8827,국유지
길곡,강원,홍천,남면,화전리,산298-1번지,147,국유지
거풍,충북,옥천,청성면,거포리,825번지,133,국유지
거풍,충북,옥천,청성면,거포리,704-2번지,,군유지
유진,충북,단양,적성면,하원곡리,산22번지,1092,군유지
문백(유창),충북,진천,문백면,구곡리,602-7번지,,국유지
조일,충북,단양,적성면,상원곡리,441번지,89,국유지
조일,충북,단양,적성면,상원곡리,453번지,12,국유지
조일,충북,단양,적성면,상원곡리,산14번지,534,국유지
조일,충북,단양,적성면,상원곡리,산14-1번지,65,개인
무극,충북,음성,금왕읍,용계리,59-4번지,144,국유지
전의양덕,세종,,전의면,양곡리,384-1번지,852,국유지
전의양덕,세종,,전의면,양곡리,384-3번지,43,국유지
전의양덕,세종,,전의면,양곡리,385-1번지,276,국유지
전의양덕,세종,,전의면,양곡리,385-3번지,660,국유지
전의양덕,세종,,전의면,양곡리,387-5번지,169,국유지
전의양덕,세종,,전의면,양곡리,387-6번지,554,국유지
전의양덕,세종,,전의면,양곡리,390-5번지,128,국유지
전의양덕,세종,,전의면,양곡리,394-1번지,72,국유지
전의양덕,세종,,전의면,양곡리,394-5번지,29,국유지
전의양덕,세종,,전의면,양곡리,387-3번지,264,국유지
대영,충남,예산,광시면,서초정리,400-1번지,5383,국유지
대영,충남,예산,광시면,서초정리,405번지,203,국유지
대영,충남,예산,광시면,서초정리,1119-11번지,19828,국유지
대영,충남,예산,광시면,서초정리,1120번지,1568,국유지
대영,충남,예산,광시면,서초정리,1215번지,580,국유지
대영,충남,예산,광시면,서초정리,1315번지,7458,국유지
임천덕영,충남,부여,장암면,지토리,72번지,14,국유지
임천덕영,충남,부여,장암면,지토리,1085번지,11,국유지
임천덕영,충남,부여,장암면,지토리,110-7번지,3,군유지
임천덕영,충남,부여,장암면,지토리,965번지,13,국유지
덕곡,충남,공주,유구읍,덕곡리,산6-26번지,224,법인
구봉,충남,청양,남양면,구룡리,452-2번지,88,국유지
구봉,충남,청양,남양면,구룡리,452-1번지,69,국유지
구봉,충남,청양,남양면,구룡리,436번지,235,국유지
구봉,충남,청양,남양면,구룡리,438-4번지,137,국유지
구봉,충남,청양,남양면,구룡리,437-4번지,157,국유지
구봉,충남,청양,남양면,구룡리,363-20번지,59,국유지
구봉,충남,청양,남양면,구룡리,산50-2번지,578,국유지
구봉,충남,청양,남양면,구룡리,산52-1번지,147,국유지
구봉,충남,청양,남양면,구룡리,435-4번지,27,국유지
구봉,충남,청양,남양면,구룡리,555번지,248,국유지
천보,충남,천안,입장면,기로리,354-1번지,182,국유지
천보,충남,천안,입장면,기로리,354-3번지,62,국유지
