구 분,개 소,폐석_광미유실방지,지반침하방지,오염수질개선,토양개량복원,소음먼지방지,폐시설물철거,산림토지복구,사후관리운영,계(백만원)
1980-2006,3152,137502,48375,79187,0,34453,16361,87655,31783,435316
2007,183,23638,2740,6233,4178,6464,1395,5926,11573,62147
2008,295,23481,5686,8534,15640,10665,725,9780,20012,94523
2009,219,12037,3685,4009,18673,2070,3122,13250,17228,74074
2010,256,14166,12478,3252,23227,7101,1716,3588,13498,79026
2011,266,14189,8641,9452,27024,7480,3073,1995,10146,82000
2012,270,6803,6797,13941,31591,10195,851,3701,8121,82000
2013,287,12609,5030,15041,31562,10646,2714,2311,8087,88000
2014,278,5717,2769,10997,40679,7685,2282,1553,10318,82000
2015,249,4195,1765,12496,48157,6871,878,2056,10296,86714
2016,231,2479,2574,17459,39829,5956,51,1648,10004,80000
2017,239,2808,2363,22785,35560,3952,516,4866,8667,81517
2018,221,3067,2614,16375,26105,3924,156,2760,8977,63978
2019,235,5859,1884,19582,25307,9693,889,340,14835,78389
2020,241,2599,2666,21727,19677,9338,39,1031,13703,70780
2021,216,4595,2604,18655,15247,8034,108,2226,14015,65484
2022,200,3459,2730,21034,7747,11678,319,2581,14505,64053
2023,208,8316,1907,16268,16669,11605,108,1424,17385,73682
2024,216,11633,2024,13879,16213,20354,160,2076,21661,88000
