╠╓а╬,╠Б╟ё,©╧цЬ╟║╟щ(╢ч╥╞_еФ),╪Ж╠ч╬ха╓х╜аЖ╪Ж,╫цюЕюЭ╦ааЖг╔
╢одл,2026-06-12,8496.365865,36.612563,9.318842
╢одл,2027-10-01,8496.365865,6.237791,51.025273
╢одл,2008-09-19,8496.365865,50.133714,50.239201
╢одл,2008-01-01,15247.80665,8.827929,84.359138
╢одл,2017-12-15,8496.365865,6.237791,1.980874
╢одл,2020-01-15,17301.00054,6.237791,62.699778
╢одл,2019-09-26,8496.588763,25.979271,71.281926
╢одл,2024-11-09,8496.365865,11.417216,61.38828
╢одл,2027-10-01,8496.81573,6.237791,66.342311
╢одл,2019-03-01,8496.365865,6.237791,43.693659
╢одл,2022-09-10,16461.69174,6.237791,79.131178
╢одл,2012-06-29,8496.365865,6.237791,0.857918
╢одл,2009-02-03,13031.57904,6.237791,41.109595
╢одл,2027-10-01,8496.4064,6.237791,12.114231
╢одл,2015-11-02,8496.365865,6.237791,23.186913
╢одл,2018-11-09,8496.365865,6.237791,44.976043
╢одл,2013-03-18,8496.459083,6.237791,9.293263
╢одл,2018-10-10,8496.365865,60.057804,28.552727
╢одл,2019-10-29,8496.447681,6.237791,17.426025
╢одл,2015-05-13,8496.451869,6.237791,20.460362
╢одл,2023-07-16,8496.447602,6.237791,0.857918
╢одл,2025-05-07,16962.113,60.674102,61.838292
╢одл,2008-01-01,8496.365865,35.084636,89.523494
╢одл,2027-10-01,8496.365865,6.237791,39.542351
╢одл,2018-02-10,8496.365865,6.237791,52.319845
╢одл,2022-08-27,17226.45209,48.339388,41.014494
╢одл,2014-01-15,8496.365865,6.237791,0.857918
╢одл,2014-04-01,8496.365865,29.576874,58.178166
╢одл,2011-04-04,8496.365865,8.834652,38.402075
╢одл,2027-10-01,8496.365865,6.237791,50.088858
╢одл,2008-10-29,8496.566627,36.307828,27.388664
╢одл,2019-05-31,8496.365865,6.237791,69.048641
╢одл,2010-03-17,8496.365865,6.237791,93.265863
