광종,기간,예측가격(달러_톤),수급안정화지수,시장전망지표
동,2011-11-09,3379.621699,64.066123,43.819289
동,2016-06-29,3379.621699,64.065381,8.969699
동,2008-01-01,5838.793873,64.065638,8.9479
동,2018-06-24,3380.024217,64.06224,41.236644
동,2009-11-18,3379.697239,64.063524,30.688883
동,2014-07-02,3380.062505,64.066338,88.168669
동,2008-01-01,3380.112763,63.16777,31.628125
동,2023-09-17,3379.845618,40.27393,45.434987
동,2015-02-21,3379.621699,72.782476,46.293641
동,2016-06-03,3380.059112,51.532622,11.930588
동,2017-11-03,3379.763911,64.068354,94.413134
동,2009-03-05,3379.901147,64.068173,9.176594
동,2008-01-01,8468.44749,64.071039,20.339455
동,2008-01-01,3379.857543,64.069446,74.907885
동,2023-06-19,3380.029002,9.134713,29.707256
동,2012-02-20,5271.204143,64.061988,45.858503
동,2008-01-01,9396.172277,64.070128,61.134434
동,2008-01-01,3379.826172,64.064346,65.833277
동,2008-01-01,3379.78466,72.952103,41.899487
동,2013-10-07,3379.836033,27.425856,92.93753
동,2010-12-01,7626.371512,64.070158,15.27141
동,2023-01-19,3379.677879,81.8136,15.688515
동,2020-05-27,3379.636901,64.063326,59.104278
동,2010-09-24,3379.621699,64.064504,8.079946
동,2019-06-29,3379.895863,64.065529,94.447558
동,2023-06-17,6512.231819,64.069611,93.270364
동,2009-10-06,9621.386664,64.062513,46.83443
동,2008-01-01,6621.61909,48.947905,2.841759
동,2009-02-18,6605.776066,41.865488,70.027646
동,2024-03-27,7158.293262,64.063693,38.853355
동,2016-02-29,9456.462875,60.965148,65.971776
동,2008-01-01,3380.082859,64.059442,94.447558
동,2021-09-23,5836.855404,64.063872,7.385276
동,2009-12-09,3379.766345,90.517829,37.039077
동,2008-11-08,9673.580036,64.068336,12.526277
동,2018-10-10,5830.857812,64.071626,74.245643
동,2024-02-08,9556.376506,64.071431,39.066415
동,2015-01-16,3379.972247,64.060173,15.155315
동,2011-05-12,9317.810432,40.563442,29.89831
동,2008-01-01,3379.998776,11.095812,77.393001
동,2014-10-24,6995.382114,64.064538,2.841759
동,2008-01-07,3379.918664,64.067705,8.695667
동,2016-06-29,9234.84151,90.517829,28.443931
동,2008-01-01,6021.805971,64.068557,90.732037
동,2008-03-11,3380.135371,72.033801,5.335496
동,2019-03-18,3379.621699,45.678571,18.734099
동,2009-08-11,9946.656016,64.060525,72.038619
동,2027-05-10,3379.741508,13.848747,48.993658
동,2008-08-27,9088.640296,13.32971,73.760165
동,2026-02-09,3380.000521,64.062872,26.672521
동,2026-11-29,7264.070367,64.059254,90.515191
동,2009-06-21,3379.628873,64.071394,76.399398
동,2018-02-24,3379.686497,64.067445,39.094326
동,2014-10-03,3379.621699,68.43976,41.671182
동,2011-06-29,3379.621699,64.070235,22.311566
동,2008-01-01,3379.7237,64.059872,92.810266
동,2014-12-24,8456.101068,64.068686,54.200146
동,2026-09-09,3379.621699,12.007526,62.005531
동,2008-01-01,3379.871242,64.064844,44.043289
동,2022-11-17,3379.836608,64.067954,42.083042
동,2008-01-01,8346.316545,75.680626,44.833138
동,2018-01-28,3379.621699,64.060614,61.209046
동,2008-01-01,3379.743272,64.065798,76.163761
동,2018-03-01,3379.621699,42.022474,7.81221
동,2008-01-01,3380.103269,68.056723,49.589433
동,2011-08-14,3379.88036,64.070274,87.09302
동,2019-07-31,4717.035749,61.304129,46.282044
동,2016-03-27,3379.621699,11.603817,38.872401
동,2008-01-01,7178.370955,41.040111,12.542077
동,2017-08-20,3379.621699,14.16017,31.995187
동,2017-04-15,3379.621699,21.977714,55.277002
동,2012-02-29,3380.059921,64.062391,80.36945
동,2024-12-05,3379.621699,90.517829,38.60974
동,2021-09-03,3379.757851,24.358765,46.3289
동,2008-01-01,3379.942182,64.060495,55.528285
동,2012-12-21,3379.982085,38.595237,86.737706
동,2015-10-16,3380.106336,20.414209,86.811428
동,2008-01-01,3379.621699,64.068792,55.077386
동,2014-01-04,3379.69499,74.739263,19.732352
동,2019-06-13,3380.115649,75.862492,42.145884
동,2008-01-01,7676.114179,64.067247,90.490535
동,2008-01-01,6142.739251,64.067261,61.665385
동,2010-12-30,3380.066044,41.814165,2.841759
동,2016-08-10,3379.665192,90.517829,38.857141
동,2017-11-14,3379.621699,64.067063,38.53285
동,2008-01-01,6208.583472,64.071286,16.719372
동,2017-06-28,3379.621699,64.067458,92.551037
동,2008-08-09,3379.621699,64.068351,41.31159
동,2017-03-26,3379.625997,80.548357,10.083058
동,2024-07-29,3379.959618,64.066451,76.266952
동,2008-01-01,7762.812993,64.064114,9.347734
동,2008-01-01,3379.822663,7.499749,64.874522
동,2024-11-18,3380.036378,41.640015,49.597847
동,2008-01-01,9946.656016,45.751639,2.841759
동,2014-04-14,9946.656016,27.033358,3.730475
동,2012-03-28,3379.956311,64.06471,2.841759
동,2008-01-01,3379.929466,57.479849,76.555915
동,2009-11-22,7089.529655,64.06792,85.54361
동,2019-08-07,3379.621699,64.068997,8.114516
동,2013-01-07,6126.825988,64.066141,52.266771
동,2014-09-08,7926.237977,64.069528,80.162684
동,2008-01-01,9556.971553,42.214763,10.235463
동,2021-02-22,8905.525798,64.064972,55.158587
동,2021-12-16,3379.939557,64.069336,10.222438
동,2019-04-16,3380.014818,64.059134,52.375956
동,2015-02-05,3379.621699,64.063857,8.991449
동,2016-08-31,3379.621699,27.115407,75.534851
동,2020-11-14,3379.814335,64.071769,42.75041
동,2008-01-01,3380.132949,29.723559,46.137085
동,2013-11-20,3379.703218,64.068474,74.866001
동,2012-11-17,4694.874772,64.06098,52.957743
동,2018-07-01,3379.9723,64.064728,11.833543
동,2010-08-04,3379.746934,64.067961,88.053607
동,2015-01-24,3379.920904,13.225856,50.517617
동,2008-01-01,3379.621699,64.060226,20.202069
동,2019-06-04,8432.224902,52.327602,94.447558
동,2011-12-20,3380.098362,64.06919,92.215055
동,2017-01-30,3379.621699,42.098567,66.534423
동,2027-10-01,3379.693325,55.86096,45.540003
동,2015-10-23,9053.611332,64.060259,18.686808
동,2008-01-01,3379.621699,64.063473,6.227819
동,2013-04-13,3379.896344,66.145393,79.486382
동,2017-06-16,3379.621699,64.064664,42.435403
동,2021-08-27,6125.761273,64.066531,11.687928
동,2016-01-07,3379.621699,61.312918,49.505417
동,2011-02-27,5560.300787,64.067441,9.115968
동,2024-06-03,5437.93117,28.279683,71.997137
동,2016-07-16,8356.861225,7.499749,29.218568
동,2015-07-22,5364.838355,64.071439,8.273059
동,2017-12-03,3379.621699,42.12259,9.254358
동,2017-05-02,3379.621699,64.059008,75.394827
동,2008-01-01,9667.802036,8.484714,10.471299
동,2010-03-23,3379.841427,64.060405,92.797101
동,2010-10-17,3379.897961,64.06124,50.025728
동,2008-01-01,3380.060285,64.070929,94.447558
동,2010-06-12,6590.722052,75.92834,19.458136
동,2008-01-01,3379.621699,76.725824,8.710112
동,2013-01-24,9698.828507,81.382451,89.627574
동,2009-04-05,3380.134537,64.063799,15.313962
동,2020-02-28,9556.258341,64.060764,31.193383
동,2017-12-30,7881.917503,64.059237,28.02042
동,2009-11-11,3379.621699,37.221238,61.519841
동,2012-11-26,7942.480859,64.065703,86.75877
동,2008-01-01,9206.990532,64.06497,18.259475
동,2010-11-03,7770.139842,60.061033,24.086933
동,2017-03-18,3379.879758,40.063338,25.211779
동,2015-06-27,9251.835006,64.062154,43.939964
동,2015-12-10,3379.621699,64.059098,77.241083
동,2019-09-21,5841.701904,64.064468,11.979125
동,2008-01-01,3379.641672,75.659419,29.780762
동,2008-04-14,8756.318096,64.063655,9.08263
동,2009-01-19,3380.091435,55.812645,8.400792
동,2010-08-07,3379.779086,64.063336,72.66319
동,2015-10-12,9015.726452,64.070284,20.21555
동,2009-08-13,3379.621699,47.660576,7.642155
동,2008-01-01,9946.656016,64.067931,7.25548
동,2015-07-07,3379.802362,64.063091,8.681216
동,2009-02-04,3379.681777,9.775795,38.00879
동,2011-02-12,3379.621699,64.059637,45.918949
동,2011-01-19,6224.239534,41.993942,77.116559
동,2019-01-09,3380.103007,64.063229,66.901221
동,2008-01-01,6062.724803,64.061038,43.791268
동,2015-03-03,3379.621699,44.694545,90.465879
동,2011-04-28,7943.848692,64.067309,38.673063
동,2018-05-13,3379.688238,45.830587,2.841759
동,2014-12-21,3380.133403,41.781169,88.106555
동,2014-10-22,3379.954915,64.069397,27.858167
동,2009-10-18,9308.6283,64.063238,46.086718
동,2025-01-26,3379.631524,64.068855,20.134688
동,2021-04-30,3379.621699,17.246027,42.624231
동,2008-01-01,8042.710226,64.063692,77.411992
동,2023-05-09,3379.784763,64.058895,88.640082
동,2009-02-28,9528.330919,64.070478,31.028029
동,2008-10-31,3380.011293,67.461087,19.515736
동,2008-01-01,7173.29148,52.279331,30.557171
동,2011-02-03,3379.921352,64.062581,2.841759
동,2021-11-30,3380.115147,64.061347,5.045428
동,2010-09-12,3380.068039,64.060301,80.576219
동,2008-12-08,4660.166586,64.064965,39.238248
동,2008-05-06,3379.668705,64.068834,41.633766
동,2016-09-17,7081.889589,64.059984,2.841759
동,2008-05-28,8224.291501,64.06901,2.841759
동,2011-07-28,3379.621699,64.059804,43.24274
동,2009-11-01,3379.794022,38.443928,37.457047
동,2008-01-01,3380.041561,64.067329,42.26853
동,2019-10-02,3379.621699,22.781831,53.387181
동,2012-07-20,3379.823419,64.070434,30.49455
동,2008-01-01,3379.918436,64.058841,43.672119
동,2017-11-29,3379.82684,64.071855,42.763538
동,2014-12-20,3379.621699,29.11643,37.677193
동,2008-01-01,9628.261052,64.066298,75.666515
동,2009-10-19,3379.66935,64.060386,88.091025
동,2013-12-30,3380.073069,64.066362,38.456192
동,2008-01-01,7179.347981,64.069393,64.767312
동,2026-02-27,3379.956655,10.707503,46.714129
동,2012-10-25,3379.678673,65.290954,46.178263
동,2008-01-01,7009.598737,7.499749,4.127613
동,2015-04-08,7013.619054,64.068113,20.03145
동,2009-03-19,3379.621699,64.07187,42.936069
동,2013-12-24,8503.285092,41.555662,9.138219
동,2024-02-26,7321.506464,64.06849,70.630742
동,2019-01-29,3379.771099,64.067065,79.50245
동,2008-01-01,3379.621699,7.499749,38.700083
동,2009-12-27,7742.43553,64.068831,74.991633
동,2008-01-01,5986.456738,64.068616,41.624362
동,2012-07-17,3562.213436,64.058919,44.087253
동,2023-03-14,3379.746578,64.062113,6.072304
동,2019-10-27,3379.708281,64.067289,91.599417
동,2013-11-24,7769.076507,64.06823,44.88945
동,2008-01-01,3379.85318,7.499749,66.219004
동,2008-01-01,3379.838061,64.068085,61.434759
동,2013-04-09,7765.144709,64.070573,72.280849
동,2016-12-18,9557.261386,64.068366,30.336359
동,2008-01-01,3379.8562,64.060582,52.043767
동,2023-10-24,3379.621699,29.755758,6.216109
동,2010-10-30,4847.740633,64.069468,38.659553
동,2013-06-26,3380.039849,13.53732,91.817321
동,2009-10-28,3379.881952,75.744294,37.694537
동,2008-01-01,7287.013382,43.158146,4.452987
동,2009-12-08,3380.089629,64.069028,6.239537
동,2012-03-22,3379.96072,64.061575,76.338708
동,2008-01-01,3379.92301,73.493451,56.82973
동,2016-05-18,3380.119899,64.067331,7.445209
동,2010-01-26,8289.457954,64.069391,64.988388
동,2015-06-05,8996.770246,61.583018,63.11943
동,2016-07-20,3380.023113,64.071478,2.841759
동,2008-01-01,9336.177858,64.06109,72.396299
동,2010-06-02,5951.105463,64.070848,30.592836
동,2020-10-28,7910.872239,72.485571,42.855536
동,2014-04-14,3379.734924,72.527979,42.348006
동,2008-01-01,3380.10561,41.721952,2.841759
동,2013-06-04,6887.622441,64.066337,67.752634
동,2019-05-21,3379.78581,64.065931,42.439145
동,2022-10-23,3379.621699,64.059985,41.088876
동,2013-01-30,5713.985995,82.316862,84.495785
동,2017-09-06,3379.621699,64.059248,5.101332
동,2008-01-01,3379.890284,61.308527,5.141084
동,2016-09-19,3380.014851,47.918277,66.064101
동,2019-10-15,3379.780348,64.066585,2.841759
동,2014-08-11,9697.121961,64.059906,87.02116
동,2023-05-22,3379.672877,64.061121,37.914762
동,2012-11-23,9946.656016,30.070379,9.067996
동,2020-05-06,5312.839349,77.180334,53.434872
동,2016-07-10,3379.621699,71.460326,93.168171
동,2008-01-01,9111.981526,64.067562,46.326627
동,2021-06-16,3379.621699,76.525552,14.114641
동,2013-12-06,3379.621699,64.060357,2.841759
동,2011-05-02,3379.949815,64.068808,10.248508
동,2008-09-20,5830.546413,64.059102,19.501196
동,2008-01-01,3379.905959,41.055488,27.722852
동,2008-01-01,3379.888981,8.375533,63.567356
동,2013-05-01,9946.656016,41.239812,87.871881
동,2008-01-01,3380.074413,18.355652,91.677076
동,2015-01-19,3379.655316,64.071398,67.15709
동,2019-10-16,3380.040039,61.317347,87.868078
동,2021-08-09,3379.621699,41.029864,45.986031
동,2008-01-01,3379.998838,64.062173,15.011364
동,2009-06-15,8982.542334,64.065198,43.772592
동,2012-04-24,9946.656016,77.950056,30.601736
동,2025-03-03,3380.02713,64.064852,46.053194
동,2013-07-14,6067.257306,70.811108,12.266951
동,2008-01-01,3379.935708,64.064252,19.881878
동,2020-06-23,3379.621699,47.91607,42.158422
동,2015-02-15,3380.014147,64.070047,8.860784
동,2008-01-01,9076.984773,64.066893,23.096196
동,2013-04-16,3379.621699,64.070569,8.059887
동,2019-09-18,3379.962948,64.06523,89.54275
동,2009-07-22,3379.954944,45.39562,42.10821
동,2015-05-25,7143.012806,40.556851,55.35245
동,2010-04-28,3379.835654,26.61546,66.156525
동,2008-01-01,3379.85469,47.942551,82.461655
동,2008-01-01,3379.918629,64.062512,13.800941
동,2008-01-01,3379.703821,72.909705,38.634519
동,2015-05-23,3379.621699,64.066916,32.709028
동,2014-11-06,3380.092403,64.068687,94.447558
동,2016-02-01,3379.650986,64.071065,4.710491
동,2008-06-07,3379.621699,38.292619,49.513105
동,2012-05-15,3380.091741,64.06229,90.537713
동,2019-04-06,5136.919326,64.059819,53.461545
동,2013-08-27,3379.714698,64.060773,61.784762
동,2022-07-06,3379.958408,61.299719,2.841759
동,2012-06-01,5281.406027,58.640599,5.163871
동,2012-12-03,5703.769268,64.069934,67.244154
동,2022-06-04,4703.739212,64.069863,87.948012
동,2008-01-01,3379.65497,64.066777,41.284154
동,2016-04-06,3379.780225,64.063063,82.868008
동,2020-09-03,3379.621699,28.493191,29.230232
동,2010-09-05,3380.076845,42.060521,71.902569
동,2010-08-20,3379.97937,64.063275,37.233373
동,2008-04-24,7226.720448,64.0673,73.87589
동,2026-10-17,3379.944977,64.598086,72.239057
동,2017-04-12,3379.936188,8.95031,46.473611
동,2008-01-01,3380.081584,61.29091,40.891527
동,2012-09-26,5341.727408,64.062361,84.61221
동,2012-02-14,3379.83796,65.223688,55.4529
동,2014-09-16,3380.111741,64.065445,30.940138
동,2008-01-01,3379.821826,64.06475,2.841759
동,2015-10-07,3379.963345,64.061144,2.841759
동,2008-01-01,9407.549602,7.499749,21.253818
동,2024-02-17,3379.621699,64.062823,19.065057
동,2008-01-01,3379.621699,64.060289,74.427929
동,2011-04-21,3379.621699,64.062728,50.658401
동,2014-07-23,3380.064888,8.534765,19.371265
동,2019-03-09,3379.894557,64.063285,91.929524
동,2018-06-28,7001.162408,23.183864,52.18486
동,2024-06-21,9946.656016,64.062208,31.460023
동,2011-04-17,3379.621699,75.55332,30.484721
동,2020-10-25,3379.846713,64.061393,86.547366
동,2021-03-23,3379.998538,64.061456,24.921811
동,2014-10-09,3380.116976,64.064843,41.675852
동,2015-10-08,3380.007537,64.071052,69.776523
동,2025-03-01,3379.621699,64.071951,27.338511
동,2010-03-18,9030.270962,64.059062,5.077377
동,2015-01-30,3379.781379,55.190277,88.184196
동,2020-05-24,3379.918056,8.733498,61.153059
동,2020-07-27,3379.621699,9.742612,2.841759
동,2011-09-11,7981.716165,64.059063,19.304393
동,2008-01-01,3379.647111,40.57002,9.110352
동,2017-02-02,3379.621699,64.07062,19.393527
동,2016-11-04,7050.676248,8.442316,33.886978
동,2012-05-02,9382.191877,12.814856,18.359301
동,2016-07-16,3379.85784,14.264016,61.635597
동,2010-08-01,3379.6913,64.067767,2.841759
동,2010-03-19,3380.03644,64.063494,48.385354
동,2018-11-18,3379.813172,69.051332,72.818949
