堡辆,扁埃,抗螟啊拜(崔矾_懦肺弊伐),荐鞭救沥拳瘤荐,矫厘困氰瘤荐
府片,2019-01-02,35.188989,1.505657,11.838717
府片,2026-05-07,507.623088,69.626163,1.620097
府片,2009-11-02,35.191216,20.021752,1.620097
府片,2008-01-01,35.188209,1.503179,12.124651
府片,2023-03-28,39.667336,1.503742,10.976363
府片,2021-07-27,35.186118,1.503179,68.138666
府片,2023-06-03,491.03064,75.430259,12.406592
府片,2012-12-04,35.185281,1.503179,43.952696
府片,2016-02-22,35.189953,5.174445,1.620097
府片,2016-07-28,35.754055,70.698244,73.589741
府片,2022-10-19,30.009878,13.929608,50.890549
府片,2009-03-30,35.190538,12.282072,75.758831
府片,2018-11-23,35.187454,12.574404,65.063175
府片,2021-02-25,35.185707,11.802577,9.047006
府片,2011-03-11,35.191423,70.571428,1.620097
府片,2018-12-05,35.188242,50.127335,74.052305
府片,2025-05-17,35.18996,75.68885,12.428159
府片,2025-09-14,35.188142,69.072996,4.626673
府片,2027-10-01,35.189774,1.504434,71.841575
府片,2012-09-08,36.086862,40.476024,76.897567
府片,2021-03-07,35.920614,1.503179,4.549864
府片,2021-08-28,35.185874,1.503179,1.620097
府片,2015-12-30,93.416771,1.503179,12.406303
府片,2023-10-25,35.830179,4.509937,8.07926
府片,2015-04-30,132.224864,26.815909,71.766198
府片,2018-01-08,35.189007,1.503179,1.620097
府片,2019-04-24,35.190252,1.503179,52.836557
府片,2026-04-30,35.192097,1.503932,1.620097
府片,2017-03-22,35.186049,1.503179,1.620097
府片,2027-10-01,31.334266,13.837927,76.092331
府片,2008-01-01,40.431118,48.799772,5.946628
府片,2017-10-10,35.191317,40.56375,48.983964
府片,2013-12-15,35.192554,1.503179,1.620097
府片,2026-04-30,35.187238,1.504921,1.620097
府片,2027-10-01,35.187747,1.503179,73.183305
府片,2013-02-28,35.192324,1.50491,8.952983
府片,2017-07-22,44.292048,1.50648,1.620097
府片,2020-08-24,230.096931,1.503179,34.345276
府片,2022-04-11,121.367483,32.659648,53.332648
府片,2017-05-26,110.520961,1.506849,1.620097
府片,2027-10-01,35.191185,68.364375,1.620097
府片,2017-01-03,35.190092,1.503179,1.620097
府片,2016-07-07,35.190061,1.503664,12.117169
府片,2025-11-22,35.191514,53.874021,81.849215
府片,2019-01-26,35.188732,45.749244,9.954795
府片,2010-01-31,35.191333,5.957905,5.482245
府片,2016-04-29,35.185127,1.503179,4.601079
府片,2023-02-22,36.671666,1.503179,1.620097
府片,2027-10-01,118.52073,1.503179,66.102946
府片,2023-09-08,40.400795,31.697287,8.712165
府片,2020-04-25,35.186621,69.847318,52.529279
府片,2024-07-21,35.18793,1.503179,12.049746
府片,2025-06-05,35.188627,68.531178,31.815132
府片,2027-02-24,68.394307,52.512464,25.731814
府片,2023-08-07,39.811648,1.503179,1.620097
府片,2023-01-05,35.764745,1.505826,66.35844
府片,2011-06-20,35.831371,62.487759,1.620097
府片,2015-01-28,36.103489,21.065421,81.849215
府片,2014-09-11,35.191448,1.503179,81.849215
府片,2018-11-01,35.189423,49.077503,1.620097
府片,2027-10-01,35.189943,1.503179,65.850961
府片,2021-10-02,50.145787,6.102304,1.620097
府片,2025-01-08,38.816759,27.94955,1.620097
府片,2020-09-27,35.190523,1.503179,1.620097
府片,2021-08-26,35.186737,1.503179,76.262108
府片,2020-02-03,35.192034,68.480736,71.691461
府片,2021-10-29,132.288152,4.490138,11.472793
府片,2027-01-26,118.342763,13.378187,44.946826
府片,2015-09-09,35.190431,1.503179,12.307937
府片,2016-09-16,35.190731,46.928014,6.461084
府片,2025-11-01,127.868678,29.323816,1.620097
府片,2022-11-04,30.191997,5.049551,1.620097
府片,2018-04-25,34.202903,66.404344,8.682567
府片,2008-01-01,83.270512,74.143673,77.961093
府片,2015-06-13,34.129435,1.505351,73.726203
府片,2018-08-13,35.190027,13.780114,12.596857
府片,2022-03-27,35.18713,1.503179,1.620097
府片,2027-08-11,35.189548,1.503179,4.53736
府片,2023-02-28,160.501579,8.267088,1.620097
府片,2027-07-19,35.191671,1.503179,67.267804
府片,2022-10-30,35.185907,1.504677,4.536845
府片,2009-05-30,67.21574,1.503179,1.620097
府片,2019-11-09,507.623088,1.503179,23.751892
府片,2026-12-19,185.105458,5.08192,1.620097
府片,2022-07-26,35.192573,4.224453,1.620097
府片,2014-06-22,107.208048,1.503696,10.952507
府片,2027-08-21,40.262308,47.220138,1.620097
府片,2020-11-27,127.863119,62.223408,79.54174
府片,2014-05-07,38.863156,1.503179,1.620097
府片,2011-09-02,35.185274,1.503604,1.620097
府片,2026-05-07,35.189931,69.689346,1.620097
府片,2008-01-01,33.018043,71.344908,1.620097
府片,2017-08-19,129.831137,48.416689,13.475468
府片,2027-10-01,35.190084,70.679649,77.912281
府片,2025-02-08,35.340512,28.634167,5.961655
府片,2023-01-17,40.552487,74.104769,12.03785
府片,2023-07-31,35.187712,49.570219,1.620097
府片,2023-06-17,35.187711,3.093181,5.445629
府片,2023-08-02,35.187953,72.79067,1.620097
府片,2027-10-01,35.190129,1.506225,32.30888
府片,2016-07-27,35.185567,48.751187,52.224722
府片,2017-08-18,36.704969,1.503179,1.620097
府片,2022-09-16,35.19129,1.503998,70.213466
府片,2023-04-23,35.192227,1.503179,73.124289
府片,2025-08-05,35.187875,1.506705,68.783622
府片,2023-05-14,67.474564,32.713445,8.3321
府片,2027-10-01,35.191841,1.503179,81.849215
府片,2027-04-25,35.343521,1.503179,66.334238
府片,2015-07-18,35.187982,61.655513,27.504678
府片,2021-08-16,189.887388,41.472663,1.620097
府片,2014-11-29,35.190794,8.140301,6.547431
府片,2012-09-05,39.153714,61.425583,1.620097
府片,2015-08-14,35.185778,1.503179,70.101914
府片,2019-12-09,36.688335,13.21743,75.811116
府片,2023-06-18,35.188664,1.503179,12.608888
府片,2020-10-23,34.385807,1.503179,8.326722
府片,2023-06-04,35.192766,70.859641,1.620097
府片,2023-08-10,35.185818,30.099595,5.479865
府片,2015-09-24,107.090319,2.545763,7.325304
府片,2022-08-05,42.927068,1.504863,76.925482
府片,2014-04-03,35.190742,63.088813,32.627801
府片,2020-08-13,40.141152,45.931535,12.405644
府片,2027-10-01,35.192235,51.397407,61.073699
府片,2024-10-08,35.190445,1.503179,1.620097
府片,2027-10-01,150.390967,14.784883,76.258568
府片,2023-01-18,35.190845,1.503179,11.610887
府片,2022-08-27,35.187571,1.503179,63.415749
府片,2009-09-08,116.46927,60.311284,10.105034
府片,2025-09-27,31.005819,4.224209,1.620097
府片,2011-05-20,132.366791,62.120504,43.438419
府片,2017-09-24,350.746008,1.503179,7.090739
府片,2019-03-08,57.580316,68.497549,8.652973
府片,2018-12-28,35.186366,31.592711,1.620097
府片,2021-07-13,68.7007,1.503179,32.133729
府片,2019-04-12,142.736808,31.241355,45.03423
府片,2027-10-01,35.188933,40.520056,76.011203
府片,2026-10-25,113.851325,70.131218,73.870372
府片,2022-01-25,108.407819,75.903636,12.355244
府片,2026-10-16,35.190359,1.503179,1.620097
府片,2024-03-14,39.523048,1.505409,81.849215
府片,2027-10-01,36.721604,2.299293,73.081763
府片,2024-07-09,81.954317,1.504158,1.620097
府片,2008-01-01,45.13636,1.503179,4.595943
府片,2016-07-12,35.187318,66.494299,1.620097
府片,2015-04-05,35.19189,49.144635,4.621509
府片,2024-02-09,149.365389,1.503179,44.093061
府片,2013-12-07,35.192022,4.199108,66.302051
府片,2018-11-10,35.189591,1.503179,54.694768
府片,2023-08-16,35.190506,1.506941,1.620097
府片,2023-07-02,35.186453,1.503179,81.849215
府片,2010-09-29,35.191498,1.503179,76.195297
府片,2019-11-14,35.185379,1.503179,4.903772
府片,2025-05-01,298.406562,69.954752,1.620097
府片,2021-11-09,35.191566,1.506127,1.620097
府片,2021-10-06,483.212761,1.503179,12.548637
府片,2008-01-01,35.186982,1.503179,53.381505
府片,2019-10-28,44.71421,71.26735,34.884663
府片,2024-05-21,35.190906,1.503179,34.649001
府片,2020-02-24,35.191026,1.503179,30.225305
府片,2019-08-02,35.192424,1.503179,6.391709
府片,2016-10-30,507.623088,1.503179,12.398565
府片,2016-11-24,127.628141,1.50382,8.416346
府片,2021-01-19,111.233557,74.120331,13.248814
府片,2020-03-15,35.093095,1.503179,8.918514
府片,2027-10-01,38.933615,1.503179,1.620097
府片,2027-04-23,38.951621,74.537189,66.310097
府片,2025-04-02,35.191676,73.151302,35.20194
府片,2010-04-13,387.929118,3.38384,1.620097
府片,2021-06-27,35.1721,11.682716,76.198919
府片,2008-11-03,35.188695,1.503179,39.513231
府片,2024-04-25,35.19144,73.869891,79.11737
府片,2022-06-02,35.192689,72.34965,78.005615
府片,2027-10-01,35.186716,21.736529,1.620097
府片,2014-03-06,118.662832,1.503179,35.185444
府片,2016-06-06,35.190565,1.505717,66.725248
府片,2019-01-08,67.299487,46.812791,8.348018
府片,2008-01-01,35.190328,40.886611,1.620097
府片,2015-06-30,38.901797,30.626372,9.041465
府片,2024-08-31,35.188277,1.503179,47.967397
府片,2021-05-21,40.807824,74.328984,4.858919
府片,2019-02-03,35.185712,67.85568,81.849215
府片,2023-05-10,129.118028,1.503179,6.310502
府片,2021-05-01,35.186821,9.746272,67.389783
府片,2027-10-01,237.150595,75.810409,1.620097
府片,2008-10-18,35.188213,1.503179,66.675228
府片,2021-02-12,127.305775,7.756389,67.046712
府片,2021-01-22,38.221596,67.682673,75.549258
府片,2020-06-02,77.205405,69.960805,52.207578
府片,2021-05-01,97.654374,67.483075,68.110696
府片,2018-11-02,116.995221,1.505999,1.620097
府片,2025-04-13,35.1912,48.943397,1.620097
府片,2026-09-02,35.192191,8.450963,71.753766
府片,2018-10-30,35.192337,2.463621,11.857308
府片,2018-07-22,35.192729,41.752383,52.50313
府片,2014-08-03,35.191289,1.503179,5.891985
府片,2015-07-26,111.287338,1.503179,28.903897
府片,2020-08-13,72.514751,1.503179,44.060233
府片,2011-04-09,35.832562,1.504335,52.6078
府片,2024-06-18,261.02644,71.734365,1.620097
府片,2027-10-01,35.191009,1.504648,34.400481
府片,2009-02-10,35.188451,29.718032,1.620097
府片,2012-06-04,92.201305,48.435213,45.984319
府片,2027-10-01,35.185871,1.505747,1.620097
府片,2025-04-06,35.186323,3.84971,75.828982
府片,2019-01-28,73.9854,1.964024,67.501053
府片,2013-07-07,35.189309,68.027713,7.35366
府片,2010-07-14,35.187234,1.503179,1.620097
府片,2024-10-18,35.189034,70.654737,59.428075
府片,2012-11-25,34.888786,1.503179,9.309843
府片,2019-01-25,99.93356,69.863113,75.445034
府片,2011-12-08,35.188345,7.174772,68.096955
府片,2027-04-06,35.186295,46.366389,10.761632
府片,2017-06-19,35.188486,70.646832,81.849215
府片,2023-07-16,105.560593,1.503179,52.764292
府片,2011-10-22,35.190514,1.503179,5.473446
府片,2026-06-21,35.185258,10.466733,54.74037
府片,2022-09-20,35.189594,1.503179,1.620097
府片,2008-01-01,71.671036,8.222544,66.398903
府片,2008-01-01,35.192558,68.290347,1.620097
府片,2014-11-29,35.190981,48.41248,80.039277
府片,2020-12-17,507.623088,1.503179,75.601607
府片,2020-11-26,35.187858,1.503179,79.894939
府片,2023-05-13,35.192444,29.028182,44.126167
府片,2025-12-15,35.190756,13.854633,33.953151
府片,2027-10-01,99.518252,5.076922,1.620097
府片,2020-10-28,36.503885,1.503179,14.98121
府片,2027-10-01,31.08719,1.506378,6.53145
府片,2025-01-13,247.246395,26.43796,73.678092
府片,2024-12-01,35.190692,46.642334,1.620097
府片,2010-12-14,35.187826,30.044184,72.326308
府片,2016-10-16,38.847717,75.372801,76.869609
府片,2016-08-18,35.190938,1.504382,12.405767
府片,2011-07-11,35.191242,43.205033,4.764285
府片,2018-12-11,35.189946,46.726248,1.620097
府片,2023-09-17,35.187051,14.35552,62.151843
府片,2021-01-09,103.311098,1.503179,44.235656
府片,2025-01-25,39.859735,1.506515,1.620097
府片,2020-12-21,64.573239,28.436844,43.302263
府片,2014-11-26,45.699194,2.011715,76.200102
府片,2019-05-07,35.187282,1.503179,27.731214
府片,2026-08-19,35.19121,3.115843,24.457522
府片,2014-03-14,35.138244,1.504939,1.620097
府片,2019-01-03,35.187876,1.503473,1.620097
府片,2022-04-16,132.646912,66.519999,10.857311
府片,2019-04-02,35.18573,1.503179,63.240592
府片,2021-11-26,57.559821,1.503179,76.33564
府片,2018-09-16,35.190501,9.174289,1.620097
府片,2021-06-23,35.185587,1.503179,55.574885
府片,2008-01-01,130.068895,1.503179,5.562314
府片,2023-07-31,35.190981,75.142961,5.941544
府片,2023-01-26,35.189747,69.799917,12.688882
府片,2016-04-08,108.156383,43.857885,66.281001
府片,2020-10-14,35.186964,2.866932,73.256867
府片,2015-12-15,35.188369,68.447105,1.620097
府片,2014-10-05,35.185817,8.030636,4.797927
府片,2023-07-06,35.347187,42.813151,1.620097
府片,2024-08-04,107.995461,41.337352,1.620097
府片,2022-09-06,35.190142,32.377321,1.620097
