광종,나라,년도,단위,수입량
니켈,일본,2015,톤,1764.8
니켈,필리핀,2015,톤,108130.2
니켈,뉴칼레도니아,2015,톤,2683234
니켈,베네수엘라,2015,톤,96
니켈,인도네시아,2015,톤,146
니켈,태국,2015,톤,681
니켈,미국,2016,톤,1.7
니켈,태국,2016,톤,208.5
니켈,일본,2016,톤,604.8
니켈,러시아,2016,톤,65.2
니켈,필리핀,2016,톤,365
니켈,뉴칼레도니아,2016,톤,3298290
니켈,캐나다,2016,톤,1.5
니켈,태국,2017,톤,97.7
니켈,미국,2017,톤,1.8
니켈,일본,2017,톤,109.3
니켈,핀란드,2017,톤,1066.8
니켈,뉴칼레도니아,2017,톤,3373943
니켈,베트남,2018,톤,98
니켈,핀란드,2018,톤,441.7
니켈,중국,2018,톤,20.1
니켈,뉴칼레도니아,2018,톤,3337363
니켈,남아프리카공화국,2018,톤,12.7
니켈,필리핀,2018,톤,12000
니켈,루마니아,2018,톤,66.7
니켈,미국,2019,톤,9
니켈,뉴칼레도니아,2019,톤,3158991
니켈,중국,2019,톤,43
니켈,남아프리카공화국,2019,톤,37
니켈,뉴칼레도니아,2020,톤,2932121
니켈,중국,2020,톤,22
동,루마니아,2015,톤,5728.8
동,베트남,2015,톤,15119.9
동,캐나다,2015,톤,197119.8
동,보스와나,2015,톤,10192
동,에리트레아,2015,톤,11101.6
동,멕시코,2015,톤,39154.7
동,인도네시아,2015,톤,210712.2
동,중국,2015,톤,1.8
동,브라질,2015,톤,94346.6
동,미국,2015,톤,24910.1
동,페루,2015,톤,141441.7
동,칠레,2015,톤,700571.3
동,탄자니아,2015,톤,5288.9
동,파푸아뉴기니,2015,톤,45444
동,호주,2015,톤,191770.3
동,대만,2015,톤,9941.6
동,필리핀,2015,톤,66637.1
동,멕시코,2016,톤,104666.3
동,브라질,2016,톤,97720.4
동,칠레,2016,톤,447348.6
동,호주,2016,톤,165802.2
동,에콰도르,2016,톤,102.1
동,중국,2016,톤,37.4
동,미국,2016,톤,101.3
동,터키,2016,톤,185.4
동,페루,2016,톤,169124.2
동,인도네시아,2016,톤,245994.7
동,파푸아뉴기니,2016,톤,29389.5
동,태국,2016,톤,41.8
동,필리핀,2016,톤,30056.8
동,캐나다,2016,톤,268026.6
동,터키,2017,톤,375.8
동,인도네시아,2017,톤,164702.5
동,브라질,2017,톤,72993.9
동,불가리아,2017,톤,10085.9
동,캐나다,2017,톤,192799.6
동,중국,2017,톤,1.2
동,프랑스,2017,톤,725.4
동,미국,2017,톤,30826.5
동,호주,2017,톤,163276.1
동,멕시코,2017,톤,60574
동,파푸아뉴기니,2017,톤,59205.1
동,페루,2017,톤,305808
동,필리핀,2017,톤,29504.4
동,말레이시아,2017,톤,81.2
동,태국,2017,톤,18
동,칠레,2017,톤,559696.4
동,칠레,2018,톤,710341.7
동,페루,2018,톤,271409.8
동,터키,2018,톤,73.5
동,인도,2018,톤,226.8
동,몽골,2018,톤,3217.4
동,브라질,2018,톤,97885.2
