광종,기간,수급안정화지수
동,2018-01-01,41.98
동,2018-02-01,41.82
동,2018-03-01,44.65
동,2018-04-01,49.03
동,2018-05-01,48.09
동,2018-06-01,49.09
동,2018-07-01,45.87
동,2018-08-01,64.04
동,2018-09-01,68.92
동,2018-10-01,68.98
동,2018-11-01,65.74
동,2018-12-01,67.61
동,2019-01-01,70.35
동,2019-02-01,72.87
동,2019-03-01,64.82
동,2019-04-01,60.89
동,2019-05-01,61.3
동,2019-06-01,72.29
동,2019-07-01,75.66
동,2019-08-01,74.69
동,2019-09-01,76.56
동,2019-10-01,75.37
동,2019-11-01,74.57
동,2019-12-01,71.46
동,2020-01-01,64.04
동,2020-02-01,78.66
동,2020-03-01,84.92
동,2020-04-01,91.52
동,2020-05-01,92.2
동,2020-06-01,89.4
동,2020-07-01,81.49
동,2020-08-01,66.16
동,2020-09-01,61.33
동,2020-10-01,55.97
동,2020-11-01,55.86
동,2020-12-01,43.37
동,2021-01-01,29.49
동,2021-02-01,20.26
동,2021-03-01,13.47
동,2021-04-01,12.09
동,2021-05-01,9.29
동,2021-06-01,7.68
동,2021-07-01,8.75
동,2021-08-01,8.55
동,2021-09-01,9.19
동,2021-10-01,9.11
동,2021-11-01,7.41
동,2021-12-01,10.23
동,2022-01-01,9.39
동,2022-02-01,9.05
동,2022-03-01,7.74
동,2022-04-01,8.16
동,2022-05-01,10.32
동,2022-06-01,14.89
동,2022-07-01,19.95
동,2022-08-01,50.38
동,2022-09-01,41.21
동,2022-10-01,40.61
동,2022-11-01,42.31
동,2022-12-01,32.5
동,2023-01-01,30.5
동,2023-02-01,23.9
동,2023-03-01,28.95
동,2023-04-01,30.02
동,2023-05-01,30.24
동,2023-06-01,46.41
동,2023-07-01,42.49
동,2023-08-01,38.18
동,2023-09-01,41.28
동,2023-10-01,42.18
동,2023-11-01,52.21
동,2023-12-01,45.44
동,2024-01-01,40.85
동,2024-02-01,59.94
동,2024-03-01,60.7
동,2024-04-01,52.86
동,2024-05-01,40.25
동,2024-06-01,27.49
동,2024-07-01,36.73
동,2024-08-01,40.76
동,2024-09-01,48.06
동,2024-10-01,42.03
동,2024-11-01,37.17
동,2024-12-01,47.75
동,2025-01-01,52.43
동,2025-02-01,27.33
동,2025-03-01,21.15
