±¤Á¾,±â°£,¼ö±Þ¾ÈÁ¤È­Áö¼ö
¸ô¸®ºêµ§,2018-01-01,55.74
¸ô¸®ºêµ§,2018-02-01,30.38
¸ô¸®ºêµ§,2018-03-01,20.57
¸ô¸®ºêµ§,2018-04-01,15.63
¸ô¸®ºêµ§,2018-05-01,19.75
¸ô¸®ºêµ§,2018-06-01,26.08
¸ô¸®ºêµ§,2018-07-01,30.65
¸ô¸®ºêµ§,2018-08-01,32.18
¸ô¸®ºêµ§,2018-09-01,23.98
¸ô¸®ºêµ§,2018-10-01,23.23
¸ô¸®ºêµ§,2018-11-01,24.69
¸ô¸®ºêµ§,2018-12-01,25.67
¸ô¸®ºêµ§,2019-01-01,24.97
¸ô¸®ºêµ§,2019-02-01,42.99
¸ô¸®ºêµ§,2019-03-01,38.67
¸ô¸®ºêµ§,2019-04-01,31.14
¸ô¸®ºêµ§,2019-05-01,33.86
¸ô¸®ºêµ§,2019-06-01,35.3
¸ô¸®ºêµ§,2019-07-01,33.86
¸ô¸®ºêµ§,2019-08-01,35.73
¸ô¸®ºêµ§,2019-09-01,42.21
¸ô¸®ºêµ§,2019-10-01,42.72
¸ô¸®ºêµ§,2019-11-01,52.01
¸ô¸®ºêµ§,2019-12-01,72.68
¸ô¸®ºêµ§,2020-01-01,68.93
¸ô¸®ºêµ§,2020-02-01,66.13
¸ô¸®ºêµ§,2020-03-01,53.76
¸ô¸®ºêµ§,2020-04-01,65.28
¸ô¸®ºêµ§,2020-05-01,78.83
¸ô¸®ºêµ§,2020-06-01,76.88
¸ô¸®ºêµ§,2020-07-01,80.97
¸ô¸®ºêµ§,2020-08-01,84.87
¸ô¸®ºêµ§,2020-09-01,82.06
¸ô¸®ºêµ§,2020-10-01,76.12
¸ô¸®ºêµ§,2020-11-01,74.6
¸ô¸®ºêµ§,2020-12-01,67.41
¸ô¸®ºêµ§,2021-01-01,63.72
¸ô¸®ºêµ§,2021-02-01,46.35
¸ô¸®ºêµ§,2021-03-01,28.87
¸ô¸®ºêµ§,2021-04-01,24.64
¸ô¸®ºêµ§,2021-05-01,30.5
¸ô¸®ºêµ§,2021-06-01,10.77
¸ô¸®ºêµ§,2021-07-01,2.1
¸ô¸®ºêµ§,2021-08-01,1.94
¸ô¸®ºêµ§,2021-09-01,1.99
¸ô¸®ºêµ§,2021-10-01,1.98
¸ô¸®ºêµ§,2021-11-01,1.77
¸ô¸®ºêµ§,2021-12-01,3
¸ô¸®ºêµ§,2022-01-01,3.32
¸ô¸®ºêµ§,2022-02-01,3.1
¸ô¸®ºêµ§,2022-03-01,3.08
¸ô¸®ºêµ§,2022-04-01,2.14
¸ô¸®ºêµ§,2022-05-01,2.27
¸ô¸®ºêµ§,2022-06-01,2.62
¸ô¸®ºêµ§,2022-07-01,3.51
¸ô¸®ºêµ§,2022-08-01,6.23
¸ô¸®ºêµ§,2022-09-01,13.38
¸ô¸®ºêµ§,2022-10-01,6.84
¸ô¸®ºêµ§,2022-11-01,4.16
¸ô¸®ºêµ§,2022-12-01,4.14
¸ô¸®ºêµ§,2023-01-01,2.5
¸ô¸®ºêµ§,2023-02-01,2.13
¸ô¸®ºêµ§,2023-03-01,2.59
¸ô¸®ºêµ§,2023-04-01,2.5
¸ô¸®ºêµ§,2023-05-01,8.2
¸ô¸®ºêµ§,2023-06-01,9.65
¸ô¸®ºêµ§,2023-07-01,15.74
¸ô¸®ºêµ§,2023-08-01,15.49
¸ô¸®ºêµ§,2023-09-01,10.26
¸ô¸®ºêµ§,2023-10-01,11.16
¸ô¸®ºêµ§,2023-11-01,19.7
¸ô¸®ºêµ§,2023-12-01,30.22
¸ô¸®ºêµ§,2024-01-01,28.63
¸ô¸®ºêµ§,2024-02-01,34.4
¸ô¸®ºêµ§,2024-03-01,36.56
¸ô¸®ºêµ§,2024-04-01,31.97
¸ô¸®ºêµ§,2024-05-01,35.22
¸ô¸®ºêµ§,2024-06-01,29.45
¸ô¸®ºêµ§,2024-07-01,26.75
¸ô¸®ºêµ§,2024-08-01,27.61
¸ô¸®ºêµ§,2024-09-01,30.12
¸ô¸®ºêµ§,2024-10-01,29.76
¸ô¸®ºêµ§,2024-11-01,32.81
¸ô¸®ºêµ§,2024-12-01,34.42
¸ô¸®ºêµ§,2025-01-01,35.68
¸ô¸®ºêµ§,2025-02-01,23.22
¸ô¸®ºêµ§,2025-03-01,23.27
