±§¡æ,±‚∞£,ºˆ±ﬁæ»¡§»≠¡ˆºˆ
≈÷Ω∫≈Ÿ,2018-01-01,33.05
≈÷Ω∫≈Ÿ,2018-02-01,29.46
≈÷Ω∫≈Ÿ,2018-03-01,26.58
≈÷Ω∫≈Ÿ,2018-04-01,24.79
≈÷Ω∫≈Ÿ,2018-05-01,28.12
≈÷Ω∫≈Ÿ,2018-06-01,24.46
≈÷Ω∫≈Ÿ,2018-07-01,17.6
≈÷Ω∫≈Ÿ,2018-08-01,27.26
≈÷Ω∫≈Ÿ,2018-09-01,43.97
≈÷Ω∫≈Ÿ,2018-10-01,48.84
≈÷Ω∫≈Ÿ,2018-11-01,47.74
≈÷Ω∫≈Ÿ,2018-12-01,50.25
≈÷Ω∫≈Ÿ,2019-01-01,54.5
≈÷Ω∫≈Ÿ,2019-02-01,66.4
≈÷Ω∫≈Ÿ,2019-03-01,66.57
≈÷Ω∫≈Ÿ,2019-04-01,63.5
≈÷Ω∫≈Ÿ,2019-05-01,63.06
≈÷Ω∫≈Ÿ,2019-06-01,65.95
≈÷Ω∫≈Ÿ,2019-07-01,75.05
≈÷Ω∫≈Ÿ,2019-08-01,84.82
≈÷Ω∫≈Ÿ,2019-09-01,86.49
≈÷Ω∫≈Ÿ,2019-10-01,85.55
≈÷Ω∫≈Ÿ,2019-11-01,77.69
≈÷Ω∫≈Ÿ,2019-12-01,79.96
≈÷Ω∫≈Ÿ,2020-01-01,77.62
≈÷Ω∫≈Ÿ,2020-02-01,76.51
≈÷Ω∫≈Ÿ,2020-03-01,74.19
≈÷Ω∫≈Ÿ,2020-04-01,76.82
≈÷Ω∫≈Ÿ,2020-05-01,84.33
≈÷Ω∫≈Ÿ,2020-06-01,84.33
≈÷Ω∫≈Ÿ,2020-07-01,84.1
≈÷Ω∫≈Ÿ,2020-08-01,84
≈÷Ω∫≈Ÿ,2020-09-01,81.73
≈÷Ω∫≈Ÿ,2020-10-01,80.07
≈÷Ω∫≈Ÿ,2020-11-01,80.47
≈÷Ω∫≈Ÿ,2020-12-01,80.21
≈÷Ω∫≈Ÿ,2021-01-01,76.98
≈÷Ω∫≈Ÿ,2021-02-01,67.91
≈÷Ω∫≈Ÿ,2021-03-01,62.58
≈÷Ω∫≈Ÿ,2021-04-01,55.81
≈÷Ω∫≈Ÿ,2021-05-01,52.04
≈÷Ω∫≈Ÿ,2021-06-01,49.02
≈÷Ω∫≈Ÿ,2021-07-01,45.67
≈÷Ω∫≈Ÿ,2021-08-01,36.97
≈÷Ω∫≈Ÿ,2021-09-01,26.68
≈÷Ω∫≈Ÿ,2021-10-01,26.9
≈÷Ω∫≈Ÿ,2021-11-01,23.14
≈÷Ω∫≈Ÿ,2021-12-01,28.99
≈÷Ω∫≈Ÿ,2022-01-01,28.93
≈÷Ω∫≈Ÿ,2022-02-01,25.51
≈÷Ω∫≈Ÿ,2022-03-01,20.99
≈÷Ω∫≈Ÿ,2022-04-01,12.78
≈÷Ω∫≈Ÿ,2022-05-01,11.9
≈÷Ω∫≈Ÿ,2022-06-01,14.83
≈÷Ω∫≈Ÿ,2022-07-01,16.81
≈÷Ω∫≈Ÿ,2022-08-01,16.92
≈÷Ω∫≈Ÿ,2022-09-01,16.26
≈÷Ω∫≈Ÿ,2022-10-01,17.45
≈÷Ω∫≈Ÿ,2022-11-01,22.29
≈÷Ω∫≈Ÿ,2022-12-01,24.11
≈÷Ω∫≈Ÿ,2023-01-01,13.32
≈÷Ω∫≈Ÿ,2023-02-01,19.8
≈÷Ω∫≈Ÿ,2023-03-01,19.33
≈÷Ω∫≈Ÿ,2023-04-01,20.64
≈÷Ω∫≈Ÿ,2023-05-01,21.3
≈÷Ω∫≈Ÿ,2023-06-01,20.58
≈÷Ω∫≈Ÿ,2023-07-01,20.51
≈÷Ω∫≈Ÿ,2023-08-01,22.91
≈÷Ω∫≈Ÿ,2023-09-01,25.31
≈÷Ω∫≈Ÿ,2023-10-01,26.22
≈÷Ω∫≈Ÿ,2023-11-01,30.38
≈÷Ω∫≈Ÿ,2023-12-01,34.92
≈÷Ω∫≈Ÿ,2024-01-01,32.89
≈÷Ω∫≈Ÿ,2024-02-01,47.58
≈÷Ω∫≈Ÿ,2024-03-01,45.26
≈÷Ω∫≈Ÿ,2024-04-01,42.49
≈÷Ω∫≈Ÿ,2024-05-01,34.5
≈÷Ω∫≈Ÿ,2024-06-01,15.87
≈÷Ω∫≈Ÿ,2024-07-01,15.06
≈÷Ω∫≈Ÿ,2024-08-01,26.9
≈÷Ω∫≈Ÿ,2024-09-01,26.21
≈÷Ω∫≈Ÿ,2024-10-01,21.07
≈÷Ω∫≈Ÿ,2024-11-01,22.02
≈÷Ω∫≈Ÿ,2024-12-01,22.13
≈÷Ω∫≈Ÿ,2025-01-01,12.52
≈÷Ω∫≈Ÿ,2025-02-01,17.17
≈÷Ω∫≈Ÿ,2025-03-01,15.73
