입고연도,구분,사업명,시공연도,분류,광산명,광종,소재지,광구,번호,광업권자,시추공,시추공 좌표기준,시추공 좌표(X),시추공 좌표(Y), 심추공 심도 ,심추공 규격,암추 보고서,암추 주상도,암추 도면,암추 분석결과,암추 이미지스캔,암추 다기능스캔,암추 물성시험,암추 현미경사진,암추 보관형태
2024,국고보조,탐광시추,2024,금속,가사도,금·은,전남 진도,지산,123,심재열,2024001,GRS80,112007,207894,160,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,가사도,금·은,전남 진도,지산,123,심재열,2024002,GRS80,112007,207894,150,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,가사도,금·은,전남 진도,지산,123,심재열,2024003,GRS80,112007,207894,170,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,가사도,금·은,전남 진도,지산,123,심재열,2024004,GRS80,112312,207939,140,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,대남,금·은,충남 청양,청양,138,"강승모, 유승준",2024001,GRS80,179447,420279,250,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,대남,금·은,충남 청양,청양,138,"강승모, 유승준",2024002,GRS80,179423,420337,240,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,은산,금·은,전남 해남,우수영,76,썬시멘트㈜,2024001,GRS80,143031,219789,180,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,은산,금·은,전남 해남,우수영,76,썬시멘트㈜,2024002,GRS80,143031,219789,180,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,천봉,금·은,경북 상주,상주,53,㈜루체,2024001,GRS80,124184,429085,120,NQ,○,○,○,○,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,천봉,금·은,경북 상주,상주,53,㈜루체,2024002,GRS80,124179,429049,150,NQ,○,○,○,○,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,천봉,금·은,경북 상주,상주,53,㈜루체,2024003,GRS80,124184,429011,100,NQ,○,○,○,○,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,성보,금·은,경남 사천,사천,70,윤덕규,2024001,GRS80,122063,269620,200,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,성보,금·은,경남 사천,사천,70,윤덕규,2024002,GRS80,122063,269620,220,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,금성,몰리브덴,충북 제천,제천,26,삼양리소스㈜,2024001,GRS80,130024,497406,80,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,금성,몰리브덴,충북 제천,제천,26,삼양리소스㈜,2024002,GRS80,130024,497406,80,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,금성,몰리브덴,충북 제천,제천,26,삼양리소스㈜,2024003,GRS80,130086,497377,100,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,금성,몰리브덴,충북 제천,제천,26,삼양리소스㈜,2024004,GRS80,130187,497302,70,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,금성,몰리브덴,충북 제천,제천,26,삼양리소스㈜,2024005,GRS80,130206,497299,150,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,금성,몰리브덴,충북 제천,제천,26,삼양리소스㈜,2024006,GRS80,130206,497299,150,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,신예미,철,강원 정선,예미,49,한덕철광산업㈜,2024001,GRS80,170500,510911,300,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2024,금속,신예미,철,강원 정선,예미,59,한덕철광산업㈜,2024002,GRS80,170090,510779,300,NQ,×,×,×,×,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2023,금속,신예미,철,강원 정선,예미,49,한덕철광산업㈜,2023001,GRS80,170509,509239,300,NQ,○,○,○,○,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2023,금속,신예미,철,강원 정선,예미,49,한덕철광산업㈜,2023002,GRS80,170547,510657,250,NQ,○,○,○,○,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2023,금속,신예미,철,강원 정선,예미,49,한덕철광산업㈜,2023003,GRS80,170582,510827,150,NQ,○,○,○,○,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2023,금속,신예미,철,강원 정선,예미,59,한덕철광산업㈜,2023004,GRS80,170426,510916,150,NQ,○,○,○,○,×,×,×,×,Whole Core
2024,국고보조,탐광시추,2023,금속,신예미,철,강원 정선,예미,59,한덕철광산업㈜,2023005,GRS80,140322,510936,130,NQ,○,○,○,○,×,×,×,×,Whole Core
