¿î¿µ»óÅÂ,±âÁØÀÏ,±Ý¼Ó±¤»ê,ºñ±Ý¼Ó±¤»ê,¼®Åº±¤»ê
°¡Çà±¤,2015-12-31,56,531,6
Æó±¤,2015-12-31,2089,2198,394
ÈÞÁö±¤,2015-12-31,21,101,0
°¡Çà±¤,2017-12-31,78,617,6
Æó±¤,2017-12-31,2084,2199,394
ÈÞÁö±¤,2017-12-31,21,144,0
°¡Çà±¤,2018-12-31,78,617,6
Æó±¤,2018-12-31,2084,2199,394
ÈÞÁö±¤,2018-12-31,22,144,0
°¡Çà±¤,2021-12-31,25,295,5
Æó±¤,2021-12-31,2224,2452,439
ÈÞÁö±¤,2021-12-31,46,314,0
°¡Çà±¤,2022-12-31,25,306,5
Æó±¤,2022-12-31,2224,2457,438
ÈÞÁö±¤,2022-12-31,46,307,0
°¡Çà±¤,2023-12-31,25,310,5
Æó±¤,2023-12-31,2225,2473,439
ÈÞÁö±¤,2023-12-31,45,291,0
°¡Çà±¤,2024-12-31,27,309,4
Æó±¤,2024-12-31,2227,2481,439
ÈÞÁö±¤,2024-12-31,46,285,0
