작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
2024,"24_충주지구(백운석,규석) 정밀조사보고서",충주지구,"규석,백운석",충청북도 충주시 살미면 ,"충주_025,충주_035",24정-007
2024,24_장성Ⅲ지구(석회석) 정밀조사보고서,장성Ⅲ지구,석회석,강원도 태백시 철암동 ,장성_104,24정-006
2024,24_임계Ⅱ지구(석회석) 정밀조사보고서,임계Ⅱ지구,규석,강원도 정선군 임계면 ,"임계_073,임계_083",24정-005
2024,24_임계Ｉ지구(석회석) 정밀조사보고서,임계Ⅰ지구,석회석,강원도 정선군 임계면 ,"임계_105,임계_106,임계_115,임계_116",24정-004
2024,"24_영월지구(석회석,백운석) 정밀조사보고서",영월지구,"백운석,석회석",강원도 영월군 한반도면 ,"영월_119,영월_120",24정-003
2024,24_산청지구(고령토) 정밀조사보고서,산청지구,고령토,"경상남도 산청군 금서면 ,경상남도 산청군 생초면 ","산청_093,산청_094,산청_103,산청_104",24정-002
2024,24_고사리지구(석회석) 정밀조사보고서,고사리지구,석회석,강원도 삼척시 도계읍 ,"고사리_100,고사리_109",24정-001
2023,해남Ⅰ지구(규석) 정밀조사보고서,해남Ⅰ지구,규석,"전라남도 강진군 도암면 ,전라남도 해남군 옥천면 ","해남_028,해남_029",23정-009
2023,설천지구(운모) 정밀조사보고서,설천지구,운모,충청북도 영동군 양강면 ,"설천_132,설천_133,설천_143,설천_144",23정-008
2023,해남Ⅱ지구(규석) 정밀조사보고서,해남Ⅱ지구,규석,전라남도 강진군 도암면 ,"해남_006,해남_016,해남_017",23정-007
2023,임계지구(석회석) 정밀조사보고서,임계지구,석회석,"강원도 정선군 임계면 ,강원도 정선군 화암면 ","임계_109,임계_117,임계_118,임계_119",23정-006
2023,문산지구(규석) 정밀조사보고서,문산지구,규석,경기도 파주시 적성면 ,"문산_002,문산_012,문산_022",23정-003
2023,청평지구(백운석) 정밀조사보고서,청평지구,백운석,경기도 가평군 청평면 ,"청평_033,청평_034",23정-002
2023,석병산Ⅱ지구(석회석) 정밀조사보고서,석병산Ⅱ지구,석회석,강원도 강릉시 옥계면 ,"석병산_003,석병산_014,석병산_015",23정-005
2023,석병산Ⅰ지구(석회석) 정밀조사보고서,석병산Ⅰ지구,석회석,강원도 정선군 임계면 ,"석병산_050,석병산_060",23정-004
2023,장성Ⅱ지구(티탄철) 정밀조사보고서,장성Ⅱ지구,티탄철,"강원도 삼척시 가곡면 ,강원도 태백시 동점동 ,경상북도 봉화군 석포면 ","장성_085,장성_095",23정-001
2022,2022_정선2지구(석회석) 정밀조사보고서,정선2지구,석회석,"강원도 정선군 정선읍 광하리,강원도 정선군 정선읍 용탄리,강원도 평창군 미탄면 평안리","정선_118,정선_119",22정-009
