±§¡æ,ø¨µµ,øπ√¯∞°∞›,∞°∞›¥‹¿ß
≈÷Ω∫≈Ÿ,2008-01-01,245.1,USD/mtu
≈÷Ω∫≈Ÿ,2008-04-01,250.65,USD/mtu
≈÷Ω∫≈Ÿ,2008-07-01,247.5,USD/mtu
≈÷Ω∫≈Ÿ,2008-10-01,238.88,USD/mtu
≈÷Ω∫≈Ÿ,2009-01-01,209.52,USD/mtu
≈÷Ω∫≈Ÿ,2009-04-01,186.83,USD/mtu
≈÷Ω∫≈Ÿ,2009-07-01,186.35,USD/mtu
≈÷Ω∫≈Ÿ,2009-10-01,189.8,USD/mtu
≈÷Ω∫≈Ÿ,2010-01-01,202.5,USD/mtu
≈÷Ω∫≈Ÿ,2010-04-01,225.08,USD/mtu
≈÷Ω∫≈Ÿ,2010-07-01,243.46,USD/mtu
≈÷Ω∫≈Ÿ,2010-10-01,300.68,USD/mtu
≈÷Ω∫≈Ÿ,2011-01-01,362.71,USD/mtu
≈÷Ω∫≈Ÿ,2011-04-01,442.29,USD/mtu
≈÷Ω∫≈Ÿ,2011-07-01,462.79,USD/mtu
≈÷Ω∫≈Ÿ,2011-10-01,433.81,USD/mtu
≈÷Ω∫≈Ÿ,2012-01-01,405.27,USD/mtu
≈÷Ω∫≈Ÿ,2012-04-01,388.27,USD/mtu
≈÷Ω∫≈Ÿ,2012-07-01,367.46,USD/mtu
≈÷Ω∫≈Ÿ,2012-10-01,345.96,USD/mtu
≈÷Ω∫≈Ÿ,2013-01-01,348.79,USD/mtu
≈÷Ω∫≈Ÿ,2013-04-01,365.56,USD/mtu
≈÷Ω∫≈Ÿ,2013-07-01,416.15,USD/mtu
≈÷Ω∫≈Ÿ,2013-10-01,385.04,USD/mtu
≈÷Ω∫≈Ÿ,2014-01-01,358.8,USD/mtu
≈÷Ω∫≈Ÿ,2014-04-01,365.54,USD/mtu
≈÷Ω∫≈Ÿ,2014-07-01,352.7,USD/mtu
≈÷Ω∫≈Ÿ,2014-10-01,314.23,USD/mtu
≈÷Ω∫≈Ÿ,2015-01-01,274.23,USD/mtu
≈÷Ω∫≈Ÿ,2015-04-01,239.58,USD/mtu
≈÷Ω∫≈Ÿ,2015-07-01,195.58,USD/mtu
≈÷Ω∫≈Ÿ,2015-10-01,167.33,USD/mtu
≈÷Ω∫≈Ÿ,2016-01-01,174.62,USD/mtu
≈÷Ω∫≈Ÿ,2016-04-01,198.02,USD/mtu
≈÷Ω∫≈Ÿ,2016-07-01,180.73,USD/mtu
≈÷Ω∫≈Ÿ,2016-10-01,188.06,USD/mtu
≈÷Ω∫≈Ÿ,2017-01-01,194.69,USD/mtu
≈÷Ω∫≈Ÿ,2017-04-01,210.42,USD/mtu
≈÷Ω∫≈Ÿ,2017-07-01,262.42,USD/mtu
≈÷Ω∫≈Ÿ,2017-10-01,287.96,USD/mtu
≈÷Ω∫≈Ÿ,2018-01-01,313.92,USD/mtu
≈÷Ω∫≈Ÿ,2018-04-01,323.12,USD/mtu
≈÷Ω∫≈Ÿ,2018-07-01,288.85,USD/mtu
≈÷Ω∫≈Ÿ,2018-10-01,268.52,USD/mtu
≈÷Ω∫≈Ÿ,2019-01-01,257.4,USD/mtu
≈÷Ω∫≈Ÿ,2019-04-01,251.73,USD/mtu
≈÷Ω∫≈Ÿ,2019-07-01,197.79,USD/mtu
≈÷Ω∫≈Ÿ,2019-10-01,223.94,USD/mtu
≈÷Ω∫≈Ÿ,2020-01-01,232.15,USD/mtu
≈÷Ω∫≈Ÿ,2020-04-01,204.33,USD/mtu
≈÷Ω∫≈Ÿ,2020-07-01,210.38,USD/mtu
≈÷Ω∫≈Ÿ,2020-10-01,219.19,USD/mtu
≈÷Ω∫≈Ÿ,2021-01-01,248.54,USD/mtu
≈÷Ω∫≈Ÿ,2021-04-01,268.96,USD/mtu
≈÷Ω∫≈Ÿ,2021-07-01,298,USD/mtu
≈÷Ω∫≈Ÿ,2021-10-01,309.38,USD/mtu
≈÷Ω∫≈Ÿ,2022-01-01,328.9,USD/mtu
≈÷Ω∫≈Ÿ,2022-04-01,333,USD/mtu
≈÷Ω∫≈Ÿ,2022-07-01,325.02,USD/mtu
