기준일,광물종합지수(2016년1월 1000인지수),등락가,등락율(퍼센트),이동평균(10),이동평균(20),이동평균(60),이동평균(120),이동평균(200),볼린저밴드(하한선),볼린저밴드(중심선),볼린저밴드(상한선),표준편차(20),하한이격률,상한이격률,투자심리선,상대강도지수(RSI),이동평균 수렴확산(MACD),시그널,이격도(10),이격도(20),이격도(60),이격도(120),이격도(200)
2012-01-03,1795.932294,13.10482433,0.007350585,1781.222775,1804.227723,1829.339082,1964.701548,2054.319233,1745.904363,1804.227723,1862.551083,29.16168005,0.028654451,0.035767496,0.6,0.369054612,-0.081678475,-0.091140617,0.008258102,-0.004597772,-0.018261671,-0.085900708,-0.125777403
2012-01-04,1806.285557,10.35326292,0.00576484,1785.036471,1803.39312,1827.568772,1961.610862,2052.422849,1745.725446,1803.39312,1861.060793,28.83383689,0.034690513,0.029432266,0.7,0.415505705,-0.080657049,-0.090152371,0.011904007,0.001603886,-0.011645643,-0.079182527,-0.119925235
2012-01-05,1817.891401,11.6058435,0.006425254,1789.111725,1801.780408,1825.853662,1958.582204,2050.547787,1747.940884,1801.780408,1855.619932,26.91976211,0.040018812,0.020332036,0.7,0.501218442,-0.080058828,-0.089208316,0.016086014,0.008941707,-0.004360843,-0.071832983,-0.113460602
2012-01-06,1807.588478,-10.30292322,-0.005667513,1793.463897,1799.940984,1823.872705,1955.500742,2048.593349,1749.845504,1799.940984,1850.036463,25.04773961,0.032998898,0.022944405,0.7,0.500980087,-0.079549833,-0.088318333,0.007875587,0.004248747,-0.00892838,-0.075639074,-0.117644076
2012-01-09,1813.566696,5.978218929,0.00330729,1797.947235,1798.633471,1822.197482,1952.40831,2046.623617,1751.64022,1798.633471,1845.626722,23.49662562,0.035353422,0.017370807,0.7,0.631731782,-0.078761619,-0.087454686,0.008687386,0.008302539,-0.004736471,-0.071113001,-0.113873855
2012-01-10,1820.35213,6.785433217,0.003741485,1802.161179,1797.557303,1820.375334,1949.263718,2044.65649,1753.863628,1797.557303,1841.250978,21.84683741,0.037909733,0.011350353,0.7,0.697817993,-0.077827548,-0.086622586,0.010093964,1.27E-02,-1.27469E-05,-0.066133477,-0.109702711
2012-01-11,1847.583627,27.23149702,0.014959467,1807.871281,1798.104903,1819.335425,1946.3094,2042.666472,1752.134123,1798.104903,1844.075683,22.98538991,0.05447614,-0.001902278,0.7,0.734519411,-0.076146422,-0.085797758,0.021966357,0.027517151,0.015526659,-0.050724604,-0.095504013
2012-01-12,1847.414911,-0.168715439,-9.13E-05,1812.680285,1798.78454,1818.31324,1943.487665,2040.675373,1750.259451,1798.78454,1847.309629,24.26254451,5.55E-02,-5.69923E-05,0.6,0.803556085,-0.074455387,-0.08496816,0.019162026,0.027035129,0.016004762,-0.049433169,-0.094704167
2012-01-13,1868.485078,21.07016713,0.011405217,1820.792764,1801.333504,1817.602309,1940.668316,2038.893409,1744.09442,1801.333504,1858.572589,28.6195422,0.071321058,-0.005333389,0.7,0.824522918,-0.071797334,-0.084036935,0.026193159,0.037278813,0.027994446,-0.037195041,-0.083578832
2012-01-16,1860.7019,-7.783178243,-0.004165502,1828.580207,1804.004692,1817.454622,1937.798728,2037.144616,1740.910696,1804.004692,1867.098687,31.5469979,0.068809506,0.003426057,0.7,0.771357406,-0.069044341,-0.082989776,0.017566466,0.031428526,0.02379552,-0.039785777,-0.086612759
2012-01-17,1861.056217,0.354316916,0.000190421,1835.0926,1808.157687,1817.454727,1934.773449,2035.43362,1741.441412,1808.157687,1874.873962,33.35813743,0.06868724,0.007369959,0.7,0.751908152,-0.065442164,-0.081746351,0.014148396,0.029255485,0.023990413,-0.038101222,-0.085670886
2012-01-18,1881.002741,19.94652423,0.010717852,1842.564318,1813.800395,1818.570411,1931.92105,2033.807197,1742.40614,1813.800395,1885.194649,35.69712717,0.079543224,0.002223594,0.7,0.770130348,-0.061141554,-0.080264679,0.020861374,0.037050575,0.034330445,-0.026356309,-0.075132223
2012-01-19,1885.159602,4.156860826,0.002209917,1849.291138,1819.201432,1819.632525,1929.124479,2032.117956,1743.2845,1819.201432,1895.118363,37.95846567,0.081383791,0.005254955,0.7,0.841062273,-0.056980796,-0.078557795,0.019395791,0.036256661,0.03601116,-0.022790068,-0.072317827
2012-01-20,1902.124017,16.96441453,0.008998927,1858.744692,1826.104294,1820.552132,1926.536754,2030.510872,1746.289522,1826.104294,1905.919067,39.90738622,0.089237491,0.001991192,0.8,0.882836375,-0.052131089,-0.076599782,0.023337968,0.041629453,0.044806124,-0.012671825,-0.063228844
2012-01-23,1900.04217,-2.081846766,-0.001094485,1867.392239,1832.669737,1821.374219,1923.849334,2028.805831,1751.141351,1832.669737,1914.198124,40.76419328,0.085030725,0.00739524,0.7,0.859537134,-0.047394354,-0.074401752,0.017484238,0.036761906,0.043191536,-0.012374755,-0.06346771
2012-01-24,1914.403573,14.3614028,0.007558465,1876.797384,1839.479281,1822.651928,1921.496232,2027.242459,1754.428063,1839.479281,1924.5305,42.52560915,0.091183852,0.005262025,0.7,0.863320921,-0.042683899,-0.072018139,0.020037426,0.04073125,0.050339642,-0.003691217,-0.055661268
2012-01-25,1917.058171,2.654598007,0.001386645,1883.744838,1845.80806,1823.755278,1919.244789,2025.546287,1757.339377,1845.80806,1934.276743,44.23434141,0.09088671,0.008901814,0.7,0.854572014,-0.038263347,-0.069485315,0.017684631,0.03860104,0.051159765,-0.001139312,-0.053559929
2012-01-26,1918.795285,1.737113939,0.000906135,1890.882875,1851.78158,1825.179477,1917.1602,2023.71625,1760.441092,1851.78158,1943.122068,45.67024383,0.089951429,0.012519431,0.8,0.923566598,-0.034101803,-0.066850891,0.014761575,0.036188774,0.051291289,0.000852868,-0.05184569
2012-01-27,1947.118269,28.32298472,0.014760816,1898.746194,1859.769479,1827.239763,1915.572583,2021.963083,1764.301102,1859.769479,1955.237856,47.73418854,0.103620163,0.004152736,0.8,0.934684271,-0.029131291,-0.064045562,0.025475798,0.046967536,0.065606336,0.01646802,-0.037015915
2012-01-30,1954.613617,7.495347323,0.003849457,1908.137366,1868.358787,1829.883285,1914.227925,2020.260007,1771.142462,1868.358787,1965.575112,48.60816258,0.103589157,0.005576737,0.9,0.934984724,-0.023962214,-0.061060467,0.024356868,0.046166095,0.068162999,0.02109764,-0.03249403
2012-01-31,1935.575621,-19.03799607,-0.00974003,1915.589306,1875.340953,1831.97342,1912.888308,2018.543383,1779.985873,1875.340953,1970.696033,47.67754021,0.087410665,0.017821324,0.8,0.801063102,-0.019628618,-0.057957975,0.010433507,0.032119315,0.05655224,0.011860239,-0.041102789
2012-02-01,1952.54905,16.97342898,0.008769189,1922.743937,1882.654128,1834.295649,1911.609806,2016.970359,1787.163592,1882.654128,1978.144663,47.74526761,0.092540749,0.012939202,0.8,0.822615754,-0.015147274,-0.054682486,0.015501342,0.037125737,0.064468015,0.021416109,-0.031939641
2012-02-02,1935.808352,-16.74069804,-0.008573766,1927.808812,1888.549975,1835.990431,1910.325541,2015.423801,1795.362511,1888.549975,1981.737439,46.593732,0.07822701,0.023176172,0.7,0.712228016,-0.011398877,-0.051249488,0.00414955,0.02502363,0.054367343,0.013339512,-0.039503081
2012-02-03,1933.392971,-2.415380196,-0.001247737,1930.935708,1894.8402,1837.788956,1908.9284,2013.814553,1807.887904,1894.8402,1981.792495,43.47614776,0.069420823,0.024422095,0.6,0.737175963,-0.007380162,-0.047641005,0.001272577,0.020346186,0.052021215,0.012815866,-0.039934949
2012-02-06,1926.407315,-6.98565621,-0.003613159,1933.572222,1900.482231,1839.408747,1907.553489,2012.204032,1821.451546,1900.482231,1979.512915,39.51534226,0.057622048,0.02682761,0.6,0.70438281,-0.003706977,-0.043888273,-0.003705529,0.013641319,0.047297029,0.009883773,-0.042638179
2012-02-07,1943.138153,16.73083775,0.008684995,1936.44568,1906.621532,1841.408461,1906.335258,2010.778746,1835.078159,1906.621532,1978.164905,35.77168641,0.058885772,0.01770669,0.6,0.698314759,0.00015017,-0.039989387,0.00345606,0.019152527,0.055245587,0.019305573,-0.033639003
2012-02-08,1936.570097,-6.568056076,-0.003380128,1938.396873,1911.070855,1843.539376,1904.974517,2009.212221,1844.06234,1911.070855,1978.07937,33.50425748,0.0501652,0.020984635,0.5,0.661597321,0.003200221,-0.036022055,-0.000942416,0.013342907,0.050463105,0.016585828,-0.03615453
2012-02-09,1952.727297,16.15720058,0.008343205,1941.790074,1916.336475,1845.835266,1903.740757,2007.649466,1854.00153,1916.336475,1978.671419,31.16747217,0.0532501,0.01311189,0.5,0.659871307,0.006616299,-0.03196847,0.005632547,0.018989788,0.057909843,0.025731728,-0.027356453
2012-02-10,1938.037821,-14.68947647,-0.007522544,1940.882029,1919.814112,1847.468377,1902.49456,2006.116054,1861.061951,1919.814112,1978.566273,29.37608068,0.041361262,0.020483748,0.4,0.611182805,0.009103601,-0.027923424,-0.001465421,0.009492434,0.049023542,0.018682451,-0.033935341
2012-02-13,1940.379239,2.341417622,0.001208138,1939.458591,1923.797979,1849.181078,1901.266411,2004.579049,1871.468305,1923.797979,1976.127653,26.16483694,0.036821855,0.018090134,0.4,0.581761519,0.011850821,-0.023878665,0.000474693,0.008619023,0.049318134,0.020571987,-0.03202658
2012-02-14,1929.960499,-10.41873911,-0.005369434,1938.897079,1927.243193,1850.617183,1899.923922,2002.933851,1884.026644,1927.243193,1970.459742,21.60827466,0.024380683,0.020553195,0.4,0.538719144,0.01437914,-0.0198876,-0.004609105,0.001409945,0.042873976,0.015809358,-0.036433231
2012-02-15,1905.231185,-24.72931398,-0.012813378,1934.165293,1928.454615,1851.648619,1898.370988,2001.227698,1889.552765,1928.454615,1967.356466,19.45092526,0.008297424,0.03157805,0.3,0.464230929,0.015847075,-0.016038169,-0.01495948,-0.012042508,0.028937762,0.003613729,-0.047968811
2012-02-16,1905.432631,0.201445329,0.000105733,1931.127721,1929.468267,1852.60314,1896.730848,1999.522491,1894.454179,1929.468267,1964.482355,17.507044,0.005795048,0.030058668,0.4,0.370930303,0.017259918,-0.012326133,-0.013305743,-0.012457129,0.028516356,0.00458778,-0.047056165
2012-02-17,1876.398419,-29.03421133,-0.015237595,1925.428266,1928.181987,1853.363224,1894.747508,1997.895816,1887.506,1928.181987,1968.857974,20.33799342,-0.005884792,0.046961008,0.4,0.286325132,0.017645875,-0.008837285,-0.025464385,-0.026856162,0.012428862,-0.009684187,-0.060812679
