기준일,철 가격변동률,동 가격변동률,알루미늄 가격변동률,연 가격변동률,니켈 가격변동률,아연 가격변동률,주석 가격변동률,메이저금속지수
2012-01-03,0.000886391,0.006858295,-0.000720758,0.001238139,0.001150838,0.001048885,0.000170294,1740.076539
2012-01-04,0,0.003934929,0.004665151,0.000503876,0.000521712,-3.4389E-05,0.000343045,1757.363025
2012-01-05,-0.000754503,-0.000326353,0.005938007,0.001673127,0.000948688,0.000602138,0.000150402,1771.828769
2012-01-06,0.00287931,-0.006571034,-0.006120377,-0.000926159,-0.000390892,-0.000306733,-0.00017181,1751.261922
2012-01-09,0.001259322,0.001636078,0.002132595,-0.001365521,0.000307808,-0.000273988,0.000224336,1758.12797
2012-01-10,0.00054484,-0.000443591,0.005319986,-0.001149365,0.000595631,0.000945958,0.000230405,1768.753857
2012-01-11,0.001286707,0.005109451,0.009609303,0.002001283,0.001922049,0.001948589,-1.61709E-05,1807.420958
2012-01-12,0.000252443,0.001763281,-0.00042391,-0.001049804,-0.000212749,-8.21741E-05,0.00014572,1808.130924
2012-01-13,0.001188912,0.009266578,0.002790265,0.001101023,0.000706072,0.001151943,0.000512371,1838.357745
2012-01-16,-0.001416487,0.000681736,-0.005701073,0.00013761,0.000178639,-6.46408E-05,-6.16181E-06,1826.977618
2012-01-17,-0.000847427,0.001935575,0.00134997,-0.000515009,-0.001165999,0.000161768,-0.00011713,1828.442393
2012-01-18,-0.000687439,0.005679962,0.006165446,0.001971792,0.000692873,0.001678073,0.000435454,1857.580747
2012-01-19,-0.001124642,-0.000984259,0.000417371,0.001546939,-6.52765E-05,-7.8579E-05,0,1857.044934
2012-01-20,-0.000455494,0.006624796,0.000714341,0.001299142,0.00071878,0.000440593,0.000240767,1874.840857
2012-01-23,-0.000273785,-0.003992077,0.000356188,-3.22802E-05,0.001534563,-0.00050003,-8.86461E-05,1869.223707
2012-01-24,0,0.003459615,0.00112638,0.001534028,0.001466852,0.000630049,5.05776E-05,1884.677516
2012-01-25,0,-0.002200253,-0.000354158,0.001200458,-0.001002099,0.001154025,-4.44544E-05,1882.328299
2012-01-26,-0.001151134,0.000134413,-0.000531965,-0.000620985,0.000673543,0.001316987,8.624E-05,1882.15343
2012-01-27,0,0.009706663,0.005449058,0.002537896,0.002603933,0.002489928,0.000782862,1926.516426
2012-01-30,0,0.001622656,0.001102156,0.000332392,0.000952946,0,0.000546138,1935.294189
2012-01-31,0.000789257,-0.006807841,-0.003581267,-0.00150361,-0.000880194,-0.002395063,-0.000139053,1907.198033
