±âÁØÀÏ,¿¬·áÅº °¡°Ýº¯µ¿·ü,¿ø·áÅº °¡°Ýº¯µ¿·ü,¿ì¶ó´½ °¡°Ýº¯µ¿·ü,¿¡³ÊÁö±¤¹°Áö¼ö
2012-01-03,0,0,0,2173.145366
2012-01-04,-0.003678732,-0.000556485,0,2163.941625
2012-01-05,0.002846107,0,0,2170.100435
2012-01-06,0.009067334,0,0,2189.777459
2012-01-09,0.001117627,0.001115505,-0.000542342,2193.479913
2012-01-10,-0.001673526,0,0,2189.809068
2012-01-11,0,-0.000555223,0,2188.593235
2012-01-12,-0.001398251,0,0,2185.533033
2012-01-13,0,-0.000556485,0,2184.316817
2012-01-16,0,-0.000557753,0,2183.098508
2012-01-17,-0.001401304,0,0,2180.039324
2012-01-18,-0.001685244,0.000559026,0,2177.584123
2012-01-19,0.008730019,0.000557753,0,2197.809027
2012-01-20,0.009168531,0,0,2217.959709
2012-01-23,0.000273921,-0.001669455,0.001634848,2218.490497
2012-01-24,0.007118911,0,0,2234.283734
2012-01-25,0.008665616,0,0,2253.645179
2012-01-26,0.0037407,0,0,2262.075389
2012-01-27,-0.005312891,-0.000560305,0,2248.789777
2012-01-30,0.000803586,0.001123181,-0.000537201,2251.914617
2012-01-31,0,0.001118052,0,2254.432375
2012-02-01,-0.002140216,-0.00111297,0,2247.098288
2012-02-02,-0.001610533,-0.001677078,0,2239.710704
2012-02-03,0.00403646,-0.002251525,0,2243.708443
2012-02-06,0.00534831,-0.001704316,-0.000539759,2250.673441
2012-02-07,0.002652055,0,0,2256.64235
2012-02-08,0.002641141,0,0,2262.60246
2012-02-09,-0.026303164,0.000572087,0,2204.383262
2012-02-10,-0.00713108,-0.001141508,0,2186.147309
2012-02-13,0.003605602,0,-0.000542342,2192.844047
2012-02-14,-0.001103218,-0.000573427,0,2189.167426
2012-02-15,0.000276279,0.002299093,0,2194.805346
2012-02-16,0,0.002847132,0,2201.054247
2012-02-17,0.004418569,0,0,2210.779758
2012-02-20,-0.004388357,0,0,2201.078067
2012-02-21,0,-0.002814406,0,2194.883339
2012-02-22,0,0,0,2194.883339
2012-02-23,0,0,0,2194.883339
2012-02-24,0,-0.001138853,0,2192.38369
2012-02-27,-0.003313927,0,0,2185.11829
2012-02-28,-0.004163909,-0.001144175,0,2173.519499
2012-02-29,-0.002794067,-0.001149546,0,2164.947979
2012-03-01,-0.005612568,-0.000577484,0,2151.546836
2012-03-02,-0.001415521,0,0,2148.501277
