±âÁØÀÏ,Å©·Ò °¡°Ýº¯µ¿·ü,¸Á°£ °¡°Ýº¯µ¿·ü,ÄÚ¹ßÆ® °¡°Ýº¯µ¿·ü,¸ô¸®ºêµ§ °¡°Ýº¯µ¿·ü,¸®Æ¬ °¡°Ýº¯µ¿·ü,ÈñÅä·ù °¡°Ýº¯µ¿·ü,Èñ¼Ò±Ý¼ÓÁö¼ö
2012-01-03,0,0,0,0.000102226,0,0,1444.094362
2012-01-04,0,0,0,0,0,0,1444.094362
2012-01-05,0,0,0,0,0,0,1444.094362
2012-01-06,0,0,0,0,0,0,1444.094362
2012-01-09,0,0,0,0.003218148,0,0,1448.741672
2012-01-10,0,0,0,0,0,0,1448.741672
2012-01-11,0,0,0,0,0,0,1448.741672
2012-01-12,0,0,0,0,0,0,1448.741672
2012-01-13,0,0,0,0,0,0,1448.741672
2012-01-16,0,0,0,0.004259677,0.000888447,0,1456.199973
2012-01-17,0,0,0,0,0,0,1456.199973
2012-01-18,0,0,0,0,0,0,1456.199973
2012-01-19,0,0,0,0,0,0,1456.199973
2012-01-20,0,0,0,0,0,0,1456.199973
2012-01-23,0.013214879,0,0.004558756,0.000244323,0.000350511,0,1482.948138
2012-01-24,0,0,0,0,0,0,1482.948138
2012-01-25,0,0,0,0,0,0,1482.948138
2012-01-26,0,0,0,0,0,0,1482.948138
2012-01-27,0,0,0,0,0,0,1482.948138
2012-01-30,0,0,0.005850159,0.000487931,0.000522901,0,1493.122632
2012-01-31,0,0,0,0,0,0,1493.122632
2012-02-01,0,0,0,0,0,0,1493.122632
2012-02-02,0,0,0,0,0,0,1493.122632
2012-02-03,0,0,0,0,0,0,1493.122632
2012-02-06,0.006373548,0,0.00135983,0.001118965,0,-0.001899539,1503.504021
2012-02-07,0,0,0,0,0,0,1503.504021
2012-02-08,0,0,0,0,0,0,1503.504021
2012-02-09,0,0,0,0,0,0,1503.504021
2012-02-10,0,0,0,0,0,0,1503.504021
2012-02-13,0,0,0,0.004929267,0,-0.002018261,1507.88073
2012-02-14,0,0,0,0,0,0,1507.88073
2012-02-15,0,0,0,0,0,0,1507.88073
2012-02-16,0,0,0,0,0,0,1507.88073
2012-02-17,0,0,0,0,0,0,1507.88073
2012-02-20,0,0,-0.006298282,0.003895822,0,-0.002583374,1500.362689
2012-02-21,0,0,0,0,0,0,1500.362689
2012-02-22,0,0,0,0,0,0,1500.362689
2012-02-23,0,0,0,0,0,0,1500.362689
2012-02-24,0,0,0,0,0,0,1500.362689
2012-02-27,0.003131352,0,-0.001748228,0.000321057,0,-0.002340012,1499.408711
2012-02-28,0,0,0,0,0,0,1499.408711
2012-02-29,0,0,0,0,0,0,1499.408711
