조사년도,광해유형,건수,운영상태,비고
2015,수질오염,112,폐광,중복가능
2015,"산림, 폐석",2103,폐광,중복가능
2015,광물찌꺼기,238,폐광,중복가능
2015,토양오염,942,폐광,중복가능
2015,폐시설물,934,폐광,중복가능
2015,지반침하,613,폐광,중복가능
2016,수질오염,112,폐광,중복가능
2016,산림_폐석,2103,폐광,중복가능
2016,광물찌꺼기,238,폐광,중복가능
2016,토양오염,942,폐광,중복가능
2016,폐시설물,934,폐광,중복가능
2016,지반침하,613,폐광,중복가능
2017,수질오염,530,폐광,중복가능
2017,"산림, 폐석",2015,폐광,중복가능
2017,광물찌꺼기,241,폐광,중복가능
2017,토양오염,931,폐광,중복가능
2017,폐시설물,873,폐광,중복가능
2017,지반침하,702,폐광,중복가능
2018,수질오염,475,폐광,중복가능
2018,"산림, 폐석",1880,폐광,중복가능
2018,광물찌꺼기,230,폐광,중복가능
2018,토양오염,918,폐광,중복가능
2018,폐시설물,855,폐광,중복가능
2018,지반침하,690,폐광,중복가능
2021,지반침하,1539,폐광,중복가능
2021,산림 및 폐석유실,2308,폐광,중복가능
2021,수질오염,661,폐광,중복가능
2021,폐시설물,1081,폐광,중복가능
2021,토양오염,1244,폐광,중복가능
2021,광물찌꺼기,312,폐광,중복가능
2022,지반침하,1539,폐광,중복가능
2022,산림 및 폐석유실,2308,폐광,중복가능
2022,수질오염,661,폐광,중복가능
2022,폐시설물,1081,폐광,중복가능
2022,토양오염,1244,폐광,중복가능
2022,광물찌꺼기,312,폐광,중복가능
2023,지반침하,1539,폐광,중복가능
2023,산림 및 폐석유실,2229,폐광,중복가능
2023,수질오염,576,폐광,중복가능
2023,폐시설물,1034,폐광,중복가능
2023,토양오염,1225,폐광,중복가능
2023,광물찌꺼기,310,폐광,중복가능
2024,지반침하,1140,폐광,중복가능
2024,산림 및 폐석유실,2188,폐광,중복가능
2024,수질오염,599,폐광,중복가능
2024,폐시설물,1056,폐광,중복가능
2024,토양오염,1075,폐광,중복가능
2024,광물찌꺼기,273,폐광,중복가능
