분 류,광물,무역수지(2012 / 천달러),무역수지(2013 / 천달러),무역수지(2014 / 천달러)
A,광물,-2108078,-1821287,-2029217
A01,규산질 원료,-66460,-66281,-84773
A0101,규사,-51331,-44929,-54767
A0102,규조토,-15128,-21351,-30006
A02,규산알루미늄 원료,-81865,-79645,-90370
A0201,실리마나이트족 광물,-4800,-6524,-5410
A0202,카올린족 광물,-48361,-47388,-50049
A0203,엽납석,4881,5643,6090
A0204,점토,-33584,-31376,-41000
A03,알루미나 원료,6008,8634,11515
A0301,강옥,6008,8634,11515
A0302,보크사이트,0,0,0
A0303,다이아스포어,0,0,0
A04,석회원료,-219664,-159792,-169832
A0401,석회석,-38549,-40146,-42744
A0402,형석,-26714,-18139,-21185
A0403,규회석,-6255,-6625,-7237
A0404,석고,-17916,-16584,-25992
A0405,인산석회,-130231,-78297,-72675
A05,마그네시아 원료,-64362,-69359,-67816
A0501,마그네사이트,149,-321,-145
A0502,돌로마이트,-1126,-2031,-2768
A0503,해수마그네시아,-63385,-67007,-64902
A0504,마그네슘규산염,0,0,0
A06,장석질 원료,993,1660,1965
A0601,정장석,993,1660,1965
A0602,미사장석,0,0,0
A0603,소다장석,0,0,0
A0604,석회장석,0,0,0
A0605,사장석,0,0,0
A07,붕소 원료,-50642,-42348,-36230
A0701,붕사,0,0,0
A0702,붕산,-50642,-42348,-36230
A08,바륨 원료,-10302,-9849,-9832
A0801,중정석,-10141,-9714,-9732
A0802,독중석,-161,-135,-100
A09,아연 원료,-1379731,-1236709,-1421618
A0901,아연 원료,-1379731,-1236709,-1421618
A10,리튬 원료,0,0,0
A1001,리튬 원료,0,0,0
A11,티타니아 원료,-96761,-51900,-28075
A1101,금홍석,-69549,-37491,-32986
A1102,티탄철광,-27212,-14409,4911
A12,지르코늄 원료,-27662,-9796,-5554
A1201,바델라이트석,-27662,-9796,-5554
A1202,지르콘,0,0,0
A13,인 원료,0,0,0
A1301,인 원료,0,0,0
A14,기타 비금속광물,-117631,-105903,-128598
A1401,기타 비금속광물,-117631,-105903,-128598
B,분말원료,-774728,-757147,-328280
B01,수산화물,-123994,-121792,-134970
B0101,수산화알루미늄,-94676,-95658,-106950
B0102,수산화마그네늄,-20687,-17560,-20838
B0103,수산화칼슘,-1998,-1569,-1601
B0104,기타 수산화물,-6633,-7005,-5582
B02,산화물,58155,60827,483929
B0201,산화알루미늄,-69145,-66102,-64002
B0202,이산화규소,130222,100322,524341
B0203,이산화지르코늄,-27124,-19611,-15967
B0204,산화보론,0,0,0
B0205,산화인,-1145,-1070,-1345
B0206,산화납,-4644,-5914,-4357
B0207,산화바륨,0,0,0
B0208,산화리튬,-704,-2157,-5230
B0209,산화아연,27923,36532,42572
B0210,이산화티타늄,58937,52172,38704
B0211,산화철,8141,10537,8096
B0212,희토류 산화물,-64306,-43883,-38882
B03,복합산화물,6786,24084,12395
B0301,티탄산바륨,7478,24648,12843
B0302,티탄산칼슘,0,0,0
B0303,티탄산스트론튬,-692,-563,-448
B0304,티탄산마그네슘,0,0,0
B0305,고온초전도산화물,0,0,0
B0306,안정화지르코늄산화물,0,0,0
B0307,알루미네이트계 복합산화물,0,0,0
B0308,페라이트계 복합산화물,0,0,0
B0309,기타 복합산화물,0,0,0
B04,비산화물,-412587,-424793,-386326
B0401,탄화물,-89113,-67434,-62601
B0402,질화물,-12496,-11832,-5878
B0403,붕화물,0,0,0
B0404,카본소재,-300409,-335967,-314818
B0405,기타 비산화물,-10569,-9561,-3029
B05,탄산염 및 기타염,-303089,-295474,-303309
B0501,탄산칼슘,-3446,-4477,-2450
B0502,탄산마그네늄,529,1123,1246
B0503,탄산바륨,-11201,-9048,-9371
B0504,탄산리튬,-66106,-68174,-74926
B0505,기타 탄산염,-92900,-73906,-87400
B0506,질산염,0,0,0
B0507,인산염,-17677,-17007,-15694
B0508,황산염,-37881,-33079,-40474
B0509,염화물,-27674,-47686,-30615
B0510,브롬화물,-1617,-2266,-1519
