분 류,광물,무역수지(2012 / 천달러),무역수지(2013 / 천달러),무역수지(2014 / 천달러)
A,광물,-208671,-167412,-193830
A01,규산질 원료,-10623,-10755,-10241
A0101,규사,-4913,-2589,-1443
A0102,규조토,-5709,-8166,-8798
A02,규산알루미늄 원료,-37458,-36080,-42618
A0201,실리마나이트족 광물,-3,0,-9
A0202,카올린족 광물,-10607,-11016,-13133
A0203,엽납석,78,85,49
A0204,점토,-26927,-25149,-29524
A03,알루미나 원료,6457,7305,10136
A0301,강옥,6457,7305,10136
A0302,보크사이트,0,0,0
A0303,다이아스포어,0,0,0
A04,석회원료,-78541,-48263,-57678
A0401,석회석,-1515,-6354,-6807
A0402,형석,-7944,-5065,-7009
A0403,규회석,-4899,-5200,-5595
A0404,석고,-3551,-3432,-5051
A0405,인산석회,-60632,-28212,-33215
A05,마그네시아 원료,-61749,-64033,-61316
A0501,마그네사이트,-25,-772,-196
A0502,돌로마이트,-386,-396,-378
A0503,해수마그네시아,-61338,-62864,-60742
A0504,마그네슘규산염,0,0,0
A06,장석질 원료,-485,-446,-222
A0601,정장석,-485,-446,-222
A0602,미사장석,0,0,0
A0603,소다장석,0,0,0
A0604,석회장석,0,0,0
A0605,사장석,0,0,0
A07,붕소 원료,-12,827,1246
A0701,붕사,0,0,0
A0702,붕산,-12,827,1246
A08,바륨 원료,-9117,-9152,-9670
A0801,중정석,-8956,-9018,-9570
A0802,독중석,-161,-134,-100
A09,아연 원료,4610,7539,3266
A0901,아연 원료,4610,7539,3266
A10,리튬 원료,0,0,0
A1001,리튬 원료,0,0,0
A11,티타니아 원료,8713,11899,11436
A1101,금홍석,-797,-612,-516
A1102,티탄철광,9510,12511,11952
A12,지르코늄 원료,54,161,61
A1201,바델라이트석,54,161,61
A1202,지르콘,0,0,0
A13,인 원료,0,0,0
A1301,인 원료,0,0,0
A14,기타 비금속광물,-30521,-26415,-38230
A1401,기타 비금속광물,-30521,-26415,-38230
B,분말원료,-219794,-306414,-134646
B01,수산화물,-63875,-76118,-82635
B0101,수산화알루미늄,-55443,-67385,-72478
B0102,수산화마그네늄,-5047,-4691,-6479
B0103,수산화칼슘,-54,-105,-249
B0104,기타 수산화물,-3247,-3678,-3231
B02,산화물,184150,103407,291004
B0201,산화알루미늄,-4594,-2895,-4669
B0202,이산화규소,226365,120693,306523
B0203,이산화지르코늄,-8051,-4875,-2363
B0204,산화보론,0,0,0
B0205,산화인,-344,-44,-415
B0206,산화납,0,0,0
B0207,산화바륨,0,0,-3239
B0208,산화리튬,-399,-961,-1855
B0209,산화아연,7704,13150,14565
B0210,이산화티타늄,-5230,-6365,-7981
B0211,산화철,11867,12896,12545
B0212,희토류 산화물,-43167,-28191,-22108
B03,복합산화물,10135,18749,13955
B0301,티탄산바륨,10135,18842,14129
B0302,티탄산칼슘,0,0,0
B0303,티탄산스트론튬,0,-93,-173
B0304,티탄산마그네슘,0,0,0
B0305,고온초전도산화물,0,0,0
B0306,안정화지르코늄산화물,0,0,0
B0307,알루미네이트계 복합산화물,0,0,0
B0308,페라이트계 복합산화물,0,0,0
B0309,기타 복합산화물,0,0,0
B04,비산화물,-221192,-215728,-224645
B0401,탄화물,-81374,-70823,-64304
B0402,질화물,-7764,-9347,-9183
B0403,붕화물,0,0,0
B0404,카본소재,-132181,-135891,-151638
B0405,기타 비산화물,128,333,479
B05,탄산염 및 기타염,-129012,-136724,-132325
B0501,탄산칼슘,1618,585,333
B0502,탄산마그네늄,2835,2419,2325
B0503,탄산바륨,-6325,-4623,-3794
B0504,탄산리튬,-601,-756,-921
B0505,기타 탄산염,-75158,-65918,-78736
B0506,질산염,0,0,0
B0507,인산염,-13863,-12646,-11454
B0508,황산염,-14007,-13479,-13806
B0509,염화물,-18940,-37520,-23802
B0510,브롬화물,-257,-423,-230
B0511,요오드화물,758,1155,533
B0512,플루오르화물,-1151,-1445,1031
B0513,황화물,-3921,-4072,-3805
B06,기타,0,0,0
B0601,세라믹 전구체 화합물,0,0,0
B0602,기타,0,0,0
C,세라믹 1차제품,-2159958,-2482213,-2337646
C01,세라믹섬유,-64907,-108493,-143103
C0101,유리섬유,-80935,-129784,-165757
C0102,비산화물 섬유,16028,21291,22654
C0103,기타섬유,0,0,0
C02,유리,-754218,-1050495,-707530
C0201,기판유리,-35366,-8287,-42216
C0202,안전유리,-596526,-889152,-471839
C0203,판유리,-1115,-24688,-70373
C0204,일반유리(용도를 가진 것),-113664,-119480,-116044
C0205,광학용 유리,-7546,-8888,-7058
C03,도자기,-160975,-173116,-214653
C0301,가정/일반용 도자기,-164879,-178386,-222636
C0302,전기용 도자기,7316,9043,9467
C0303,기타 도자기,-3411,-3773,-1484
C04,생체소재 및 제품,96,113,150
C0401,생체용 소재,26,36,52
C0402,생체용 제품,70,77,97
C05,내화재료,-256881,-249063,-287687
C0501,정형내화물(내화도가니 제외),-222318,-215256,-251689
C0502,내화도가니,-2045,-1759,-1578
C0503,비정형내화물,-32518,-32049,-34419
C0504,단열소재,0,0,0
C06,건축토목용 제품,-900110,-878156,-964500
C0601,점토질제품,-179495,-196170,-225356
C0602,시멘트/석회/플라스터,-9231,-10999,-10023
C0603,콘크리트/플라스터의 제품,-6731,-9601,-14125
C0604,석제품,-703667,-655573,-709724
C0605,암면제품,-986,-5812,-5272
C07,기타 비금속광물 제품,-22963,-23004,-20323
C0701,기타 비금속광물 분쇄물,-22963,-23004,-20323
C08,세라믹 코팅제,0,0,0
C0801,세라믹 코팅제,0,0,0
D,전기 전자부품,1042730,883559,795795
D01,반도체 / 통신 및 디스플레이 부품,139423,210154,225123
D0101,전자집적회로 / 다이오드 / 트랜지스터 및 유사반도체 부분품,30602,40002,45367
D0102,통신용 부품 Module,87417,131463,151534
D0103,기타 반도체 개별소자,3768,10712,14289
D0104,디스플레이용 세라믹 부품,17635,27977,13934
D02,회로기판 및 세라믹 패키지,52120,86496,88976
D0201,회로용 세라믹 기판,1868,2016,16867
D0202,세라믹 패키지,0,0,0
D0203,LED 패키지,50252,84480,72110
D0204,방열소재,0,0,0
D03,콘덴서(캐패시터),109926,152348,115498
D0301,세라믹 유전체의 고정콘덴서,104062,149372,114302
D0302,탄탈륨 콘덴서,8616,7373,6326
D0303,슈퍼콘덴서,-2,-2,1
D0304,가변식콘덴서,-1281,-1984,-1599
D0305,기타 콘덴서,-1469,-2412,-3532
D04,저항기,184346,222665,305856
D0401,고정저항기,211336,241932,317632
D0402,가변저항기,-15070,-15543,-13164
D0403,서미스터,-12012,-6457,1222
D0404,바리스터,-4001,-1890,388
D0405,저항기부품,4093,4623,-223
D05,세라믹센서 및 액츄에이터,2950,-23691,-65459
D0501,화학센서,150,188,0
D0502,물리센서,4312,-22380,-62056
D0503,기타 센서,0,0,0
D0504,압전소자,-1512,-1500,-3403
D06,전지용 부품,794276,558245,509453
D0601,이차전지용,575322,271525,273229
D0602,태양전지용,217663,286122,236272
D0603,일차전지용,1292,598,-48
D0604,연료전지용,0,0,0
D0605,기타,0,0,0
D07,자성부품,-172921,-130368,-131883
D0701,페라이트자석 및 코아,-177649,-123200,-119526
D0702,초전도부품,0,0,0
D0703,영구자석 제품,-23,-79,94
D0704,자기기록용 매체,-3920,-6285,-11871
D0705,전자유도 코일 및 쵸크,-1319,448,542
D0706,페라이트를 이용한 전자파 흡수체,0,0,0
D0707,인덕터,9989,-1252,-1122
D0708,페라이트 시트,0,0,0
D0709,기타 자성부품,0,0,0
D08,광학,-37646,-160333,-263889
D0801,광학렌즈,-295086,-375302,-500368
D0802,투명세라믹,0,0,0
D0803,광학요소부품,257439,214969,236480
D0804,기타 광학부품,0,0,0
D09,기타,-29744,-31956,12119
D0901,카본부러쉬,3626,4966,6128
D0902,기타 전기용 탄소제품,-1090,-4546,32767
D0903,전극,-32280,-32376,-26775
E,기계 및 기타 산업용부품,50950,57424,102203
E01,수송기계류 부품,18008,21151,22597
E0101,자동차용 부품,13613,16004,16644
E0102,우주항공용 부품,5,19,19
E0103,기타 부품,4391,5128,5934
E02,원자력/발전용 부품,26523,1144,1803
E0201,원자력용 부품,26513,1135,1709
E0202,발전용 부품(세라믹재에한함),10,9,94
E03,반도체 / 디스플레이 및 LED 제조장비용 부품,8472,33884,25601
