분 류,광물,무역수지(2012 / 천달러),무역수지(2013 / 천달러),무역수지(2014 / 천달러)
A,광물,26746,36648,33837
A01,규산질 원료,631,588,892
A0101,규사,359,285,398
A0102,규조토,272,303,495
A02,규산알루미늄 원료,1381,1674,1289
A0201,실리마나이트족 광물,0,0,0
A0202,카올린족 광물,636,705,749
A0203,엽납석,103,122,95
A0204,점토,642,847,445
A03,알루미나 원료,6622,7545,10256
A0301,강옥,6622,7545,10256
A0302,보크사이트,0,0,0
A0303,다이아스포어,0,0,0
A04,석회원료,27,60,81
A0401,석회석,3,32,34
A0402,형석,0,0,0
A0403,규회석,3,15,32
A0404,석고,21,13,14
A0405,인산석회,0,0,0
A05,마그네시아 원료,271,109,84
A0501,마그네사이트,0,0,0
A0502,돌로마이트,50,56,2
A0503,해수마그네시아,221,53,82
A0504,마그네슘규산염,0,0,0
A06,장석질 원료,2,14,31
A0601,정장석,2,14,31
A0602,미사장석,0,0,0
A0603,소다장석,0,0,0
A0604,석회장석,0,0,0
A0605,사장석,0,0,0
A07,붕소 원료,1041,2053,2534
A0701,붕사,0,0,0
A0702,붕산,1041,2053,2534
A08,바륨 원료,73,98,107
A0801,중정석,73,98,107
A0802,독중석,0,0,0
A09,아연 원료,5026,8803,3267
A0901,아연 원료,5026,8803,3267
A10,리튬 원료,0,0,0
A1001,리튬 원료,0,0,0
A11,티타니아 원료,9591,12824,12810
A1101,금홍석,58,0,531
A1102,티탄철광,9533,12824,12280
A12,지르코늄 원료,63,173,62
A1201,바델라이트석,63,173,62
A1202,지르콘,0,0,0
A13,인 원료,0,0,0
A1301,인 원료,0,0,0
A14,기타 비금속광물,2019,2709,2424
A1401,기타 비금속광물,2019,2709,2424
B,분말원료,533654,437895,764776
B01,수산화물,1116,927,1715
B0101,수산화알루미늄,847,863,1655
B0102,수산화마그네늄,155,60,44
B0103,수산화칼슘,1,4,8
B0104,기타 수산화물,113,0,8
B02,산화물,477678,370529,709425
B0201,산화알루미늄,2302,3952,2348
B0202,이산화규소,439520,327884,665272
B0203,이산화지르코늄,1283,1829,2286
B0204,산화보론,0,0,0
B0205,산화인,0,0,0
B0206,산화납,0,0,0
B0207,산화바륨,0,0,0
B0208,산화리튬,76,0,0
B0209,산화아연,8720,13606,15149
B0210,이산화티타늄,1107,403,482
B0211,산화철,23690,22366,23658
B0212,희토류 산화물,979,490,231
B03,복합산화물,30350,40815,27239
B0301,티탄산바륨,30350,40815,27234
B0302,티탄산칼슘,0,0,0
B0303,티탄산스트론튬,0,0,4
B0304,티탄산마그네슘,0,0,0
B0305,고온초전도산화물,0,0,0
B0306,안정화지르코늄산화물,0,0,0
B0307,알루미네이트계 복합산화물,0,0,0
B0308,페라이트계 복합산화물,0,0,0
B0309,기타 복합산화물,0,0,0
B04,비산화물,12857,15212,14348
B0401,탄화물,2138,2227,771
B0402,질화물,167,159,468
B0403,붕화물,0,0,0
B0404,카본소재,10424,12475,12564
B0405,기타 비산화물,128,351,545
B05,탄산염 및 기타염,11652,10412,12049
B0501,탄산칼슘,1744,819,596
B0502,탄산마그네늄,3220,3208,2892
B0503,탄산바륨,2,5,0
B0504,탄산리튬,1136,715,755
B0505,기타 탄산염,1780,743,508
B0506,질산염,0,0,0
B0507,인산염,164,429,207
B0508,황산염,580,854,874
B0509,염화물,476,606,751
B0510,브롬화물,0,84,75
B0511,요오드화물,1089,1407,803
B0512,플루오르화물,1061,1169,4145
B0513,황화물,401,374,443
B06,기타,0,0,0
B0601,세라믹 전구체 화합물,0,0,0
B0602,기타,0,0,0
C,세라믹 1차제품,331188,358037,356128
C01,세라믹섬유,77508,63781,51117
C0101,유리섬유,57853,38531,20407
C0102,비산화물 섬유,19655,25250,30711
C0103,기타섬유,0,0,0
C02,유리,196050,234351,234110
C0201,기판유리,21502,46403,18782
C0202,안전유리,43899,52747,79232
C0203,판유리,73625,65337,59643
C0204,일반유리(용도를 가진 것),50872,65560,73651
C0205,광학용 유리,6152,4304,2802
C03,도자기,32230,36155,43108
