분 류,광물,매출액(2012 / 억원),매출액(2013 / 억원),증감율(%)
A,광물,7730,8066,4.3
A01,규산질 원료,1177,1369,16.3
A0101,규사,921,1118,21.4
A0102,규조토,256,251,-2
A02,규산알루미늄 원료,388,471,21.4
A0201,실리마나이트족 광물,38,64,68.4
A0202,카올린족 광물,76,128,68.4
A0203,엽납석,237,215,-9.3
A0204,점토,38,64,68.4
A03,알루미나 원료,51,63,23.5
A0301,강옥,26,32,23.1
A0302,보크사이트,0,0,0
A0303,다이아스포어,26,32,23.1
A04,석회원료,2803,2649,-5.5
A0401,석회석,2803,2612,-6.8
A0402,형석,0,12,0
A0403,규회석,0,12,0
A0404,석고,0,0,0
A0405,인산석회,0,12,0
A05,마그네시아 원료,2605,2443,-6.2
A0501,마그네사이트,26,32,23.1
A0502,돌로마이트,2554,2379,-6.9
A0503,해수마그네시아,0,0,0
A0504,마그네슘규산염,26,32,23.1
A06,장석질 원료,43,50,16.3
A0601,정장석,9,10,11.1
A0602,미사장석,9,10,11.1
A0603,소다장석,9,10,11.1
A0604,석회장석,9,10,11.1
A0605,사장석,9,10,11.1
A07,붕소 원료,0,12,0
A0701,붕사,0,12,0
A0702,붕산,0,0,0
A08,바륨 원료,0,25,0
A0801,중정석,0,12,0
A0802,독중석,0,12,0
A09,아연 원료,0,0,0
A0901,아연 원료,0,0,0
A10,리튬 원료,0,0,0
A1001,리튬 원료,0,0,0
A11,티타니아 원료,0,0,0
A1101,금홍석,0,0,0
A1102,티탄철광,0,0,0
A12,지르코늄 원료,0,0,0
A1201,바델라이트석,0,0,0
A1202,지르콘,0,0,0
A13,인 원료,0,12,0
A1301,인 원료,0,12,0
A14,기타 비금속광물,663,972,46.6
A1401,기타 비금속광물,663,972,46.6
B,분말원료,59038,58477,-1
B01,수산화물,838,1248,48.9
B0101,수산화알루미늄,682,1092,60.1
B0102,수산화마그네늄,139,139,0
B0103,수산화칼슘,0,0,0
B0104,기타 수산화물,17,17,0
B02,산화물,9719,9848,1.3
B0201,산화알루미늄,2293,2453,7
B0202,이산화규소,1538,1724,12.1
B0203,이산화지르코늄,88,83,-5.7
B0204,산화보론,0,0,0
B0205,산화인,0,0,0
B0206,산화납,0,0,0
B0207,산화바륨,14,14,0
B0208,산화리튬,0,0,0
B0209,산화아연,3213,2002,-37.7
B0210,이산화티타늄,643,1690,162.8
B0211,산화철,1568,1425,-9.1
B0212,희토류 산화물,363,457,25.9
B03,복합산화물,40,44,10
B0301,티탄산바륨,0,0,0
B0302,티탄산칼슘,0,0,0
B0303,티탄산스트론튬,0,0,0
B0304,티탄산마그네슘,0,0,0
B0305,고온초전도산화물,0,0,0
B0306,안정화지르코늄산화물,4,4,0
B0307,알루미네이트계 복합산화물,4,4,0
B0308,페라이트계 복합산화물,12,16,32.3
B0309,기타 복합산화물,19,19,0
B04,비산화물,44365,43181,-2.7
B0401,탄화물,497,497,0
B0402,질화물,1872,1741,-7
B0403,붕화물,0,0,0
B0404,카본소재,13267,12213,-7.9
B0405,기타 비산화물,28730,28730,0
B05,탄산염 및 기타염,3645,3663,0.5
B0501,탄산칼슘,2089,2106,0.8
B0502,탄산마그네늄,0,0,0
B0503,탄산바륨,0,0,0
B0504,탄산리튬,0,0,0
B0505,기타 탄산염,0,0,0
B0506,질산염,0,0,0
B0507,인산염,0,0,0
B0508,황산염,0,0,0
B0509,염화물,1510,1510,0
B0510,브롬화물,0,0,0
B0511,요오드화물,0,0,0
B0512,플루오르화물,45,46,2.2
B0513,황화물,0,0,0
B06,기타,431,492,14.2
B0601,세라믹 전구체 화합물,389,389,0
B0602,기타,42,103,145.2
C,세라믹 1차제품,229052,270200,18
C01,세라믹섬유,9045,8425,-6.9
C0101,유리섬유,5692,6860,20.5
C0102,비산화물 섬유,3345,1557,-53.5
C0103,기타섬유,8,8,0
C02,유리,38120,57093,49.8
C0201,기판유리,11533,19297,67.3
C0202,안전유리,12098,13459,11.2
C0203,판유리,6337,8439,33.2
C0204,일반유리(용도를 가진 것),8094,15841,95.7
C0205,광학용 유리,57,57,0
C03,도자기,6080,6471,6.4
C0301,가정/일반용 도자기,3387,3659,8
C0302,전기용 도자기,2648,2762,4.3
