"¿¬µµ","¼öÃâ(Åæ-Å°·Î)","¼öÀÔ(Åæ-Å°·Î)","¼®È¸¼®(Åæ-Å°·Î)","¹é¿î¼®(Åæ-Å°·Î)","Ã¶±¤¼®(Åæ-Å°·Î)"
"1996","1010425423.00","36527180.10","","",""
"1997","872943886.40","28393301.60","","",""
"1998","744182162.10","24272666.30","","",""
"1999","713766582.10","22600627.00","","",""
"2000","668534436.80","27494273.90","","",""
"2001","603729131.40","30650942.80","","",""
"2002","584707159.90","16112538.60","","",""
"2003","565506865.60","13435988.40","","",""
"2004","577125940.60","12329984.80","","",""
"2005","485716825.40","26060131.80","","",""
"2006","443460551.60","27035780.20","","",""
"2007","471265071.20","37843128.60","","",""
"2008","478630563.00","12021404.60","","",""
"2009","469365186.30","10997514.00","","",""
"2010","418886625.50","7797473.50","","",""
"2011","426125415.20","","","",""
"2012","446489606.90","","","",""
"2013","420028907.00","","","",""
"2014","490126937.40","","","",""
"2015","","","251511321.40","78359107.20","141108264.00"
"2016","","","244488546.40","29680678.90","118147430.40"
"2017","","","244560861.90","11964710.40","100632993.60"
"2018","","","198697634.50","21282632.10","125623527.40"
