"¿¬µµ","¼öÃâ(Åæ)","¼®È¸¼®(Åæ)","¹é¿î¼®(Åæ)","Ã¶±¤¼®(Åæ)"
"1996","234153","","",""
"1997","184920","","",""
"1998","156038","","",""
"1999","150370","","",""
"2000","180899","","",""
"2001","143253","","",""
"2002","54256","","",""
"2003","47536","","",""
"2004","43448","","",""
"2005","88391","","",""
"2006","94102","","",""
"2007","141771","","",""
"2008","42371","","",""
"2009","74610","","",""
"2010","52909","","",""
"2011","","","",""
"2012","","","",""
"2013","","","",""
"2014","","","",""
"2015","","903654","214216","939626"
"2016","","875883","89397","745208"
"2017","","882255","81282","696038"
"2018","","729037","144502","782673"
