광물명,화학조성,종류,미량성분,색,벽개,비중,투명도,단구,경도,발광성,광택,자성,조흔색,정계,단위포 크기
금박(金箔),원소 광물,Au,Au 100%,"Ag, Cu, Pd, Hg, Bi",노란색(rich yellow),없음(none),16 - 19.3(평균 = 17.64),불투명(opaque),침상(hackly),2.5 - 3,비형광(non-fluorescent),금속광택(metallic),비자성(nonmagnetic),노란색(shining yellow),등축정계(4/m32/m)
노감석(爐甘石),탄산염 광물,ZnCO₃,"ZnO 64.90%, CO₂ 35.10%","Fe, Co, Cu, Mn, Ca, Cd, Mg, In","흰색(white), 회백색(grayish white), 초록색(green), 노란색(yellow)",{1011} 완전(perfect),4.4 - 4.5(평균 = 4.45),반투명(translucent),불평탄(uneven),4.5,"형광(fluorescent), 장파장=담황색",유리광택(vitreous),-,흰색(white),삼방정계(32/m)
녹반(綠礬),황산염 광물,FeSO₄·7H₂O,"FeO 25.84%, H₂O 45.36%, SO₃ 28.80%","Cu, Mg","초록색(green), 무색(colorless), 흰색(white)",{001} 완전(perfect),1.89 - 1.9(평균 = 1.89),반투명(translucent),패각상(conchoidal),2.0,비형광(non-fluorescent),유리광택(vitreous),-,흰색(white),단사정계(2/m)
대자석(代?石),산화 광물,Fe₂O₃,"Fe₂O₃ 100%, CO₂ 35.10%","Ti, Al, Mn, H₂O","적회색(reddish gray), 검은색(black), 적흑색(blackish red)",없음(none),5.3,불투명(opaque),불평탄(uneven),5 - 6,비형광(non-fluorescent),"금속광택(metallic), 토상광택(earthy)",열처리 후 자성,적갈색(reddish brown),삼방정계(32/m)
망초(芒硝),황산염 광물,Na₂SO₄·10H₂O,"Na₂O 19.24%, H₂O 55.91%, SO₃ 24.85%",-,"무색(colorless), 흰색(white), 황백색(yellowish white)",{100} 완전(perfect),1.49,반투명(translucent),패각상(conchoidal),1.5 - 2,비형광(non-fluorescent),유리광택(vitreous),-,흰색(white),단사정계(2/m)
밀타승(密陀僧),산화 광물,PbO,"Pb 92.83%, O 7.17%",-,붉은색(red),{110} 명료(distinct),9.14 - 9.35(평균 = 9.24),투명(transparent),불평탄(uneven),2.0,비형광(non-fluorescent),지방광택(greasy),-,붉은색(red),정방정계(4/m2/m2/m)
백반(白礬),황산염 광물,KAl₃(SO₄)₂(OH)6,"K₂O 11.37%, Al₂O₃ 36.92%, H₂O 12.05%, SO₃ 38.66%","Na, Fe","흰색(white), 회황색(yellowish gray), 회색(gray), 회적색(reddish gray)",{0001} 양호(good),2.59 - 2.9(평균 = 2.74),"투명(transparent), 반투명(translucent)",불평탄(uneven),3.5 - 4,비형광(non-fluorescent),"유리광택(vitreous), 진주광택(pearly)",-,흰색(white),삼사정계(3m)
석고(石膏),황산염 광물,CaSO₄·2H₂O,"CaO 32.57%, H₂O 20.93%, SO₃ 46.50%",-,"흰색(white), 무색(colorless), 연두색(greenish white), 갈색(brown)","{010} 완전(perfect), {100} 명료(distinct), {011} 명료(distinct)",2.3,"투명(transparent), 반투명(translucent)",섬유상(fibrous),2.0,"형광(fluorescent), 인광(phosphorescent), 장퍄 UV, 단파 UV = 주황색","유리광택(vitreous), 진주광택(pearly)",-,흰색(white),단사정계(2/m)
석유황(石硫黃),원소 광물,S8,S 100%,"Se, Te","노란색(yellow), 적황색(brownish yellow), 주황색(orange), 흰색(white)","{001}, {110}, {111} 불완전(imperfect)",2.05 - 2.09(평균 = 2.06),"투명(transparent), 반투명(translucent)",불평탄(uneven),1.5 - 2.5,비형광(non-fluorescent),수지광택(resinous),-,흰색(white),사방정계(2/m2/m2/m)
석종유(石鐘乳),탄산염 광물 방해석의 종유상 집합체,CaCO₃,"CaO 56.03%, CO₃ 43.97%","Mn, Fe, Zn, Co, Ba, Sr, Pb, Mg, Cu, Al, Ni, V, Cr, Mo","흰색(white), 무색(colorless), 노란색(yellow), 갈색(brown)",{1011} 완전(perfect),2.71,"투명(transparent), 반투명(translucent)",패각상(conchoidal),3.0,"형광(fluorescent), 인광(phosphorescent), 장파 UV, 단파 UV = 노란색, 파란색, 적녹색","유리광택(vitreous), 수지광택(resinous)",-,흰색(white),삼방정계(32/m)
금(gold),Au 100%,원소 광물,"Ag, Cu, Pd, Hg, Bi",노란색(rich yellow),없음(none),16 - 19.3(평균 = 17.64),불투명(opaque),침상(hackly),2.5 - 3,비형광(non-fluorescent),금속광택(metallic),비자성(nonmagnetic),노란색(shining yellow),등축정계(4/m32/m),"a = 4.0789 A, Z = 4; V = 67.85 A?ø"
능아연석(smithsonite),"ZnO 64.90%, CO₂ 35.10%",탄산염 광물,"Fe, Co, Cu, Mn, Ca, Cd, Mg, In","흰색(white), 회백색(grayish white), 초록색(green), 노란색(yellow)",{1011} 완전(perfect),4.4 - 4.5(평균 = 4.45),반투명(translucent),불평탄(uneven),4.5,"형광(fluorescent), 장파장=담황색",유리광택(vitreous),-,흰색(white),삼방정계(32/m),"a = 4.65 A, c = 15.03 A, Z = 6; V = 281.77 A?ø"
