구분(배출계수(ug-TEQ_ton)_배출량(g-TEQ_yr)),2011 배출계수,2011 배출량,2012 배출계수,2012 배출량,2013  배출계수,2013 배출량,2014 배출계수,2014 배출량,2015 배출계수,2015배출량,2016 배출계수,2016 배출량,2017 배출계수,2017 배출량,2018 배출계수,2018 배출량,2019 배출계수,2019 배출량,2020 배출계수,2020 배출량,2021 배출계수,2021 배출량,2022 배출계수,2022 배출량
철강-일관제철-소결로,0.221,11.61,0.221,13.3,0.221,14.71,0.225,15.65,0.27,15.72,0.287,16.26,0.287,14.37,0.3,17.27,0.29,17.12,0.505,24.99,0.321,15.94,0.294,14.71
철강-일관제철-코크스로,0.005,0.08,0.005,0.08,0.005,0.1,0.006,0.1,0.006,0.1,0.005,0.09,0.005,0.09,0.005,0.09,0.005,0.08,0.005,0.06,0.005,0.08,0.005,0.07
철강-일관제철-전기로제강,0.58,2.53,0.326,0.97,0.321,1.8,0.405,2.24,0.371,2.31,0.353,1.55,0.328,1.01,0.33,1,0.343,0.91,0.46,1.04,0.413,1.48,0.445,1.2
철강-제철제강-전기로제강,1.854,28.24,1.876,25.2,1.943,22.27,1.891,21.54,1.924,22.59,1.746,22.25,1.682,24.14,1.611,23.5,1.613,23.06,0.773,15.77,0.982,19.67,0.948,18.33
철강-합금철-전기로제강,1.327,1.68,1.2,1.67,0.961,1.22,1.191,1.46,0.674,1.45,0.68,1.01,0.617,1.75,0.541,0.63,0.423,0.53,0.238,0.15,0.227,0.18,0.149,0.17
철강-철강주조-선철주물주조,0.275,0.28,0.209,0.26,0.22,0.36,0.282,0.65,0.26,0.77,0.24,0.75,0.186,0.32,0.169,0.28,0.242,0.48,0.242,0.06,0.242,0.28,0.242,0.28
철강-철강주조-강주물주조,0.141,0.04,0.145,0.03,0.126,0.15,0.204,0.23,0.264,0.13,0.28,0.14,0.23,0.12,0.198,0.11,0.171,0.07,0.089,0.01,0.023,0.01,0.463,0.83
비철-제련정련합금-전기동,0.026,0.01,0.016,0.01,0.016,0.01,0.003,0,0.002,0,0.002,0,0.002,0,0.003,0,0.008,0.01,0.008,0.01,0.008,0,0.008,0
비철-제련정련합금-동,3.951,1.77,3.788,1.2,0.896,0.42,0.681,0.22,0.542,0.32,0.49,0.32,0.727,0.35,0.584,0.34,0.597,0.37,0.557,0.33,0.657,0.41,0.231,0.14
비철-제련정련합금-알루미늄,6.461,5.58,4.088,3.6,1.657,2.58,1.734,2.79,1.805,3.08,2.276,3.75,2.919,4.92,2.924,3.97,2.663,3.34,2.798,5.1,1.961,4.37,1.409,2.33
비철-제련정련합금-연,0.178,0.07,0.093,0.03,1.548,0.94,1.063,0.8,1.066,0.44,0.873,0.24,0.687,0.21,0.032,0.02,0.043,0.04,0.042,0.02,0.041,0.02,0.044,0.02
비철-제련정련합금-아연,0.52,0.14,0.023,0.02,0.073,0.03,0.049,0.02,0.044,0,0.052,0.01,0.046,0.01,0.028,0,0.048,0.05,0.048,0.05,0.048,0.09,0.048,0.06
비철-제련정련합금-니켈,0.827,0.09,0.827,0.09,0.827,0.01,0.001,0,0,0,0.121,0.05,0.091,0.05,0.129,0.06,0.52,0.1,0.52,0.1,0.52,0.09,0.52,0.08
비철-제련정련합금-기타,,,3.58,0.11,1.407,0.07,0.48,0.06,0.32,0.02,0.541,0.16,0.637,0.19,0.514,0.02,2.322,0.02,2.454,0.11,2.27,0.02,2.03,0.01
비철-압연압출연신-동,1.131,1.54,1.262,1.62,1.599,1.54,1.791,1.08,4.851,2.41,4.295,2.45,4.019,2.86,4.008,2.34,3.407,2.29,0.675,0.16,0.604,0.12,0.534,0.14
비철-압연압출연신-알루미늄,1.975,2.42,2.797,2.95,2.204,1.65,1.032,1.43,1.784,1.82,1.899,1.55,2.243,1.93,2.364,1.64,1.203,1.17,1.855,1.98,1.383,1.39,1.038,1.37
비철-압연압출연신-기타,0.226,0.01,0.001,0,0.001,0,0.001,0,0,0,0.007,0,0.006,0,0.004,0,0.002,0,0.002,0,0.002,0,0.002,0
비철-비철주조-동,0.999,0.25,0.878,0.14,0.878,0.19,0.715,0.05,0.227,0.06,0.175,0.06,0.421,0.03,0.361,0.02,0.214,0.02,0.269,0.02,0.337,0.01,13.025,0.29
비철-비철주조-알루미늄,2.167,0.28,0.294,0.09,0.386,0.1,0.287,0.07,0.224,0.06,0.201,0.07,0.349,0.14,0.399,0.17,0.278,0.12,0.278,0.13,0.278,0.1,0.278,0.1
비금속-유리-1차유리,0.044,0.01,0.066,0.09,0.171,0.32,0.1,0.1,0.073,0.01,0.567,0.04,0.49,0.04,0.459,0.03,0.195,0.31,0.195,0.14,0.195,0.25,0.195,0.25
비금속-유리-산업유리,0.15,0.08,0.165,0.13,0.001,0,0.001,0.01,0.006,0.01,0.007,0.01,0.005,0.01,0.005,0.01,0.037,0.04,0.037,0.03,0.037,0.04,0.037,0.04
비금속-요업-내화,0.114,0.02,0.132,0.06,0.102,0.09,0.102,0.09,0.314,0.37,0.288,0.26,0.239,0.22,0.441,0.21,0.963,0.39,0.782,0.69,0.643,0.7,0.632,0.68
비금속-요업-비내화,0.277,0.33,0.274,0.61,0.173,0.58,0.155,0.48,0.095,0.28,0.026,0.07,0.024,0.04,0.077,0.17,0.145,0.21,0.145,0.18,0.145,0.17,0.145,0.16
비금속-시멘트석회-시멘트,0.113,4.06,0.07,3.17,0.095,2.42,0.118,3.58,0.038,1.36,0.041,1.57,0.039,1.55,0.037,1.17,0.006,0.24,0.007,0.2,0.006,0.19,0.005,0.29
비금속-시멘트석회-석회,1.097,2.02,0.519,1.22,0.308,1.91,0.269,2.6,1.008,2.86,1.051,3.45,0.604,3.05,0.428,0.88,0.318,1.19,0.103,0.38,0.086,0.31,0.015,0.07
비금속-기타-아스팔트,0.007,0.21,0.006,0.18,0.001,0.03,0.001,0.02,0,0.02,0.001,0.02,0,0.02,0,0.01,0.002,0.08,0.002,0.12,0.002,0.06,0.002,0.04
"화학-유기화학-EDC,VCM,PVC",0.258,0.22,0.28,0.12,0.822,1.35,0.617,0.95,0.739,0.92,0.704,1.72,0.889,1.75,0.309,0.74,0.214,1.27,0.13,1.34,0.038,0.32,0.024,0.2
화학-무기화학-염산/가성소다,2.428,0.43,2.702,1.34,2.567,0.47,1.794,0.14,1.507,0.14,0.824,0.43,1.082,0.61,1.086,0.54,1.5,1.85,1.962,3.58,2.245,3.25,1.759,5.57
화학-타이어-타이어,0.031,0.06,0.013,0.02,0.007,0.01,0.004,0,0.004,0,0.008,0.01,0.007,0.01,0.006,0.01,0.007,0.01,0.007,0.01,0.007,0.01,0.007,0.01
화학-펄프제지-펄프,0.099,0.04,0.112,0.07,0.112,0.07,0.094,0.06,0.022,0.01,0.008,0.01,0.007,0.02,0.006,0.01,0.07,0.01,0.07,0.01,0.07,0.15,0.07,0.15
에너지-공공발전-고체연료,0.013,3.47,0.01,1.99,0.009,1.95,0.009,1.43,0.008,1.62,0.007,1.06,0.01,2.31,0.013,2.74,0.027,3.04,0.018,1.28,0.016,2.68,0.012,0.58
에너지-공공발전-액체연료,0.075,0.34,0.004,0.05,0.004,0.06,0.004,0.04,0.004,0.04,0.003,0.06,0.001,0.02,0.005,0.18,0.004,0.16,0.004,0.13,0.004,0.1,0.004,0.09
에너지-공공발전-LNG,0.06,7.64,0.123,8.6,0.082,8.44,0.079,7.3,0.083,4.86,0.085,1.45,0.095,1.54,0.107,3.35,0.008,0.47,0.002,0.14,0.002,0.17,0.002,0.17
에너지-지역난방-고체연료,0.061,0.37,0.127,0.44,0.117,0.88,0.104,0.91,0.1,0.8,0.103,0.5,0.026,0.26,0.084,1.31,0.11,2.27,0.11,3.56,0.11,4.95,0.11,4.99
에너지-지역난방-액체연료,0.12,0.14,0.04,0.25,0.029,0.2,0.029,0.32,0.025,0.28,0.024,0.2,0.001,0.01,0.001,0,0.029,0.32,0.029,0.47,0.029,0.48,0.029,0.55
에너지-지역난방-LNG,0.031,0.2,0.007,0.05,0.018,0.11,0.021,0.15,0.011,0.25,0.022,0.54,0.021,0.56,0.022,0.57,0.018,0.37,0.02,0.61,0.006,0.18,0.005,0.14
에너지-기타발전-기타발전,,,0.179,0.83,0.134,1.72,0.107,2.19,0.089,2.07,0.077,2.64,0,0.01,0,0,0.014,0.8,0.017,0.91,0.021,1.02,0.023,1.05
기타-화장장-화장장,9.882,1.86,10.857,1.92,10.278,2.49,7.206,1.23,9.349,1.8,8.351,1.9,10.818,2.2,5.41,1.56,5.016,1.53,5.36,1.52,4.096,1.1,2.608,0.92
생활폐기물-생활폐기물-2ton/hr 이상,0.06,0.22,0.174,0.7,0.105,0.41,0.114,0.45,0.121,0.51,0.118,0.5,0.084,0.35,0.173,0.7,0.15,0.62,0.058,0.26,0.067,0.27,0.061,0.26
생활폐기물-생활폐기물-0.2～2ton/hr,6.275,1.99,4.694,1.47,3.563,1.14,2.103,0.73,1.861,0.67,2.127,0.81,1.618,0.61,3.407,1.65,3.33,1.3,2.499,1.03,2.324,0.92,3.252,1.22
생활폐기물-생활폐기물-0.2ton/hr 미만,137.238,0.41,89.77,0.41,111.682,0.37,71.798,0.24,89.795,0.82,63.656,0.15,74.718,0.18,77.976,0.44,85.409,0.15,23.912,0.04,81.319,0.17,68.307,0.14
사업장폐기물-사업장일반-4ton/hr 이상,2.504,3.68,1.644,2.94,1.105,4.32,0.634,1.9,0.41,0.8,0.322,0.78,0.311,0.64,0.459,0.74,0.459,0.98,0.336,0.67,0.189,0.38,0.114,0.29
사업장폐기물-사업장일반-2～4ton/hr,17.293,15.72,16.111,17.72,15.395,17.74,11.441,14.34,7.404,11.44,5.711,7.24,5.099,8.66,3.894,7.99,3.211,4,1.798,2.18,1.158,1.39,0.662,0.78
사업장폐기물-사업장일반-0.2～2ton/hr,55.705,17.27,45.076,11.71,38.559,10.96,35,8.82,16.962,6.2,14.276,3.54,13.657,4.1,11.031,4.45,10.676,2.17,8.631,1.07,8.812,0.8,4.32,0.35
사업장폐기물-사업장일반-0.025～0.2ton/hr,108.584,1.19,98.358,0.84,120.606,2.11,81.6,0.9,77.062,0.54,77.693,0.33,64.052,0.28,89.784,0.95,104.248,2.3,69.044,0.37,101.193,0.2,81.072,0.12
사업장폐기물-사업장지정-4ton/hr 이상,2.589,0.62,3.576,0.8,3.606,0.59,2.551,0.43,2.107,0.35,2.149,0.39,2.155,0.39,0.93,0.15,0.886,0.21,0.847,0.13,0.748,0.14,0.489,0.09
사업장폐기물-사업장지정-2～4ton/hr,10.796,0.65,7.024,0.99,7.757,1.07,5.58,0.76,4.648,0.61,4.322,1.3,3.93,1.2,2.807,0.91,2.638,0.83,2.424,0.85,1.358,0.43,1.127,0.19
사업장폐기물-사업장지정-2ton/hr 미만,13.723,0.26,12.52,0.46,39.745,0.24,38.346,0.22,31.985,0.64,28.313,2.1,24.782,1.66,8.568,0.5,7.937,0.79,7.686,1.27,3.795,0.36,10.247,0.68
의료폐기물-의료폐기물-1ton/hr 이상,8.919,0.75,7.201,0.84,11.657,1.22,10.456,1.24,9.969,1.2,8.362,0.85,7.299,1.42,3.534,0.76,2.043,0.46,1.622,0.3,0.852,0.16,0.08,0.02
의료폐기물-의료폐기물-0.2～1ton/hr,4.324,0.06,5.987,0.11,5.923,0.11,6.487,0.26,7.484,0.43,9.034,1.13,8.854,0.15,6.768,0.12,6.235,0.07,5.662,0.03,5.186,0.05,6.161,0.08
