대분류,분류명,분류설명,중분류,분류명,분류설명,소분류,분류명,분류설명,세분류,분류명,분류설명,최초등록일,수정일
10,산동식물및동식물성생산품,"생명이 있는 야생과 재배성의 식물과 동물,생명이 있는 식물들과 그들의 씨앗,생명이 있는 식물과 동물의 보호,수용,사육에 필요한 재료와 설비",1017,비료및식물영양제,"비료는 토양의 생산력을 유지 또는 증진시키고, 작물을 잘 생장시키기 위하여 토양 또는 식물에 투입하는 영양물질.",101716,무기질비료및식물영양제,비료 성분을 무기화합물의 형태로 함유하고 있는 화학비료로 과인산석회 ·황산암모늄 ·염화칼륨 등의 화학비료,10171613,,"토양에 수분공급, 유지, 지속, 각종 미생물 등 식물 생장에 필요한 여러 가지 조건을 변경하여 식물 생장이 유리하도록 토양을 개량하는 것을 말한다",2006-08-08 오후 3:02:00,2011-04-01 오후 9:04:00
11,"광물,직물및비식용동식물자원","암석,토양,광석,정제 금속 또는 귀금속,비식용 식물,삼림,동물제품,천연섬유,인조섬유,재봉사,직물,동물가죽,찌거기,배설물과 같은 비 가공물질",1110,"광물,광석및금속","천연산 무기물로서 균질(均質)의 고체이며, 일정한 범위 내의 화학조성과 규칙적인 원자배열을 가지고 있는 물질로 광상(鑛床)에서 채굴되는 유용한 광물 또는 광물의 집합체 및 지구상에 존재하는 100여 종의 원소 중에서 고체가 되었을 때 금속광택이 나고, 전기 및 열을 잘 전달하며, 얇은 판(板)으로 펼 수도 있고, 가는 실로 뽑을 수 있는 성질, 즉 전성(展性) 및 연성(延性)을 가진 홑원소물질",111015,광물,"천연산 무기물로서 균질(均質)의 고체이며, 일정한 범위 내의 화학조성과 규칙적인 원자배열을 가지고 있는 물질",11101527,광물성혼화재,"각 공장의 굴뚝 등에서 부산물로 회수되는 분말로서 전기로 제강더스트, 플라시애시, 회수 더스트, 주물더스트, 포틀랜드 시멘트,석회석분 등의 분말을 말하며 아스팔트 콘크리트 등을 시공하거나 벽돌류 등의 건설 자재를 생산 할 때 제품의 부식과 노화성 등을 방지하기 위하여 채움재 등으로 사용됨.석회석분은 석분으로 취급함",2006-08-08 오후 3:02:00,2007-09-14 오전 11:44:00
11,"광물,직물및비식용동식물자원","암석,토양,광석,정제 금속 또는 귀금속,비식용 식물,삼림,동물제품,천연섬유,인조섬유,재봉사,직물,동물가죽,찌거기,배설물과 같은 비 가공물질",1110,"광물,광석및금속","천연산 무기물로서 균질(均質)의 고체이며, 일정한 범위 내의 화학조성과 규칙적인 원자배열을 가지고 있는 물질로 광상(鑛床)에서 채굴되는 유용한 광물 또는 광물의 집합체 및 지구상에 존재하는 100여 종의 원소 중에서 고체가 되었을 때 금속광택이 나고, 전기 및 열을 잘 전달하며, 얇은 판(板)으로 펼 수도 있고, 가는 실로 뽑을 수 있는 성질, 즉 전성(展性) 및 연성(延性)을 가진 홑원소물질",111017,비금속,"물질을 금속과 비금속으로 분류할 때 금속에 대응하는 말. 즉, 금속의 성질을 갖지 않은 물질을 말함. 금속은 금속 원소 및 합금을 포함하나, 비금속은 비금속원소 및 합금 이외의 모든 화합물을 포함. 비금속은 금속의 어떤 특성도 갖지 않은 것이며, 비금속 원소의 산화물의 수용액은 대개 산이고, 수소 및 희유기체 원소를 제외하면 어느 것이나 음이온이 되기 쉬우며, 그러나 금속과 비금속의 분류는 반드시 엄밀한 것은 아님. 예를 들면 금속과 비금속의 성질을 아울러 가지고 있기 때문에 반금속(준금속이라고도 한다)이라 불리는 중간적인 것도 존재. 비금속 원소는 장주기형(長週期型) 주기율표에서 일반적으로 오른쪽 위에 모여 있는데, 수소·붕소·탄소·규소·질소·인·비소·산소·황·셀렌·텔루르·플루오르·염소·브롬·요오드·헬륨·네온·아르곤·크립톤·크세논·라돈 등이 그 경향이 강함. 금속원소 상호간의 혼합물이나 화합물은 합금 기타로 알려져 있어 일반적으로 금속인데, 비금속 상호간의 화합물, 또는 금속원소와 비금속원소와의 화합물은 대개 비금속임. 일반적으로 비금속원소의 산화물 또는 수산화물은 산성임. 한편, 비소·안티몬·비스무트 등은 반금속으로 취급되는 일도 있고, 또 경우에 따라서는 규소나 게르마늄 등을 포함시키는 일도 있음",11101701,슬래그및재,"슬래그란 광석으로부터 금속을 빼내고 남은 찌꺼기를 말하며 재란 물질이 연소했을 때 뒤에 남는 가루이다. 슬래그와 재는 시멘트 클링커와 소량의 석고와 혼합하여 첨가제로 사용된다. 또 용광로에서 나온 슬래그를 서랭시키면 치밀한 덩어리 모양이 되는데, 이것은 골재 또는 슬래그 블록으로 이용된다. ",2006-08-08 오후 3:02:00,
11,"광물,직물및비식용동식물자원","암석,토양,광석,정제 금속 또는 귀금속,비식용 식물,삼림,동물제품,천연섬유,인조섬유,재봉사,직물,동물가죽,찌거기,배설물과 같은 비 가공물질",1116,직물및피혁재료,"경사(날실)와 위사(씨실)가 서로 아래위로 교차하여 짜여져 어떤 넓이의 평면체가 된 직물,부직포 특수기능을 가진 특수직물과 가죽 그리고 솜이 포함됨",111621,특수직또는기타직물,특수한 재료로 짜여진 직물을 의미한다.,11162112,코팅처리직물,"직물위에 액상 또는 반액상의 물질이 코팅된 직물. 코팅물질로는 고무, 폴리염화비닐, 폴리우레탄 수지가 주로 사용된다. 강도가 크고 견고하며 실내장식재료, 핸드백, 가죽대용으로 주로 이용된다.",2006-08-08 오후 3:02:00,2009-04-03 오후 1:45:00
11,"광물,직물및비식용동식물자원","암석,토양,광석,정제 금속 또는 귀금속,비식용 식물,삼림,동물제품,천연섬유,인조섬유,재봉사,직물,동물가죽,찌거기,배설물과 같은 비 가공물질",1116,직물및피혁재료,"경사(날실)와 위사(씨실)가 서로 아래위로 교차하여 짜여져 어떤 넓이의 평면체가 된 직물,부직포 특수기능을 가진 특수직물과 가죽 그리고 솜이 포함됨",111622,부직포섬유,"섬유를 직포공정을 거치지 않고, 평행 또는 부정방향(不定方向)으로 배열하고 합성수지 접착제로 결합하여 펠트 모양으로 만든 것으로 원료 섬유로는 처음에는 솜 ·비스코스레이온이 주로 사용되었으나 1950년대 중반부터는 나일론 등의 합성섬유도 사용되고 있음",11162201,건부직포섬유,"유리,금속,각종 화학섬유 및 천연섬유를 방향성 없이 배열된 시트모양의 웨브(Web)를 기계적 또는 물리적 방법으로 결합 시킨 것으로, 종류에는 장섬유와 단섬유가 있으며,결합방식은 단섬유는 케미칼본딩,서멀본딩,니들 및 스테치본딩 방식,장섬유는 스폰본드 방식이 있다.용도는 의류용, 농업용(보온), 생활용품 및 일회용,토목건축에 널리 사용되며 단 법면매트(30122105:법면매트에서 분류함),거푸집(30191701:거푸집에서 분류함)은 여기서 제외함",2006-08-08 오후 3:02:00,2007-01-22 오후 4:43:00
12,화학제품,"각종 산업분야에서 사용되는 생산 원료, 부원료 또는 완제품으로서의 고체, 액체, 기체 상태의 유기 및 무기 화학 제품과 각종 생화학 물질",1216,첨가제,"제품의 원료, 부자재 또는 완제품의 특정 성질 및 성능의 개선과 개량을 목적으로 제조 및 운영 공정중에 미량으로 투입하는 화학물질의 총칭. 첨가제의 첨가 목적에 따라 매우 다양한 종류가 존재하나 그 대표적인 것으로 촉매제, 가소제, 계면활성제, 경화제, 방염제, 산화방지제, 방부제 등의 예가 있으며 특히 첨가제는 첨가 대상물질과의 상용성이 좋아야 하는 제한을 가지고 있음",121648,개질제,"물질의 특정한 물리화학적 물성을 향상시키기 위해 사용되는 첨가제로 건설/토목/건축 재료에 사용되는 개질제의 종류로는 마찰계수를 줄이는 개질제, 내마모성을 향상시키는 개질제, 내스크래치성을 향상시키는 개질제, 접착성을 지닌 물질과의 이형성을 향상시키는 개질제, 물 흡수를 감소시키는 소수성 부여 개질제 등이 있음",12164801,아스팔트개질제,"아스팔트의 물성을 향상시키기 위해 혼화하여 사용되는 첨가제로서 아스팔트개질제에는 아스팔트 도료, 아스팔트 전기절연 컴파운드, 아스팔트계 하도제 등이 포함됨. 대표적 아스팔트개질제로서 캠크리트는 아스팔트의 중합반응을 촉진시켜 아스콘의 작업성 향상, 안정도 및 강도 증가, 소성 변화 감소 등의 물성을 개선시키는 촉매제로 유기망간화합물을 주성분으로 한 암갈색 액체로서 비상활주로 공사, 고속도로 덧씌우기 공사 등에 사용됨",2006-08-08 오후 3:02:00,
12,화학제품,"각종 산업분야에서 사용되는 생산 원료, 부원료 또는 완제품으로서의 고체, 액체, 기체 상태의 유기 및 무기 화학 제품과 각종 생화학 물질",1216,첨가제,"제품의 원료, 부자재 또는 완제품의 특정 성질 및 성능의 개선과 개량을 목적으로 제조 및 운영 공정중에 미량으로 투입하는 화학물질의 총칭. 첨가제의 첨가 목적에 따라 매우 다양한 종류가 존재하나 그 대표적인 것으로 촉매제, 가소제, 계면활성제, 경화제, 방염제, 산화방지제, 방부제 등의 예가 있으며 특히 첨가제는 첨가 대상물질과의 상용성이 좋아야 하는 제한을 가지고 있음",121649,방수제,"물질이 물에 대한 방수성을 갖게 하기 위하여 사용되는 화학제품. 콘크리트와 몰타르 구조물의 표면이나 종이 또는 천과 같은 섬유제품의 표면에 발라서 방수 대상물질의 미세한 공극부에 소수성피막을 생성시켜 방수성을 갖게 하는 것과 대상물질과 혼합하여 방수성을 증대시키는 혼합방수제가 있는데 후자의 경우가 더 방수성이 우수함. 콘크리트와 몰타르 구조물의 표면에 주로 사용되는 방수제는 주성분별로 무기질계, 유기질계, 폴리머계의 3가지 종류가 있고, 표면에 발라서 방수막을 형성하는 도막방수재의 종류로는 에폭시계도막방수재, 우레탄계도막방수재, 아크릴에멀젼도막방수재 등이 있음. 이외에도 방수제의 종류는 용도별 분류방법에 따라 강력접착방수제, 침투성접착방수제, 다목적혼합용방수제, 고농축완결방수제, 고침투방수제, 침투성도막방수제, 수용성고무방수제, 균열보수제 등의 다양한 종류의 방수제가 있음. 그 밖에도 열이나 좁은 죠인트 틈새가 있는 곳에 깊이 밀어 넣어 철근구조 또는 볼트주위의 물 진로를 차단하는 수팽창지수제가 있음",12164906,아스팔트도막방수재,"건축구조물의 방수에 사용되는 주재료가 아스팔트인 도막방수재로 방수공사용 아스팔트, 지붕용 도막방수재인 고무 아스팔트, 콘크리트와 방수층이 밀착되도록 하는 아스팔트프라이머 등으로 방수공사용 아스팔트로는 주로 블론 아스팔트와 아스팔트 컴파운드가 사용됨. 단, 아스팔트 방수시트 등의 구체적 성형물은 제외",2006-08-08 오후 3:02:00,2006-09-19 오후 7:50:00
13,플라스틱및고무,"천연에서 생산되거나 합성 가공된 수지, 로진, 고무 및 엘라스토머, 발포, 필름 등의 재료",1310,고무및플라스틱,상온에서 고무상 탄성을 나타내는 사슬 모양의 고분자물질이나 그 원료가 되는 고분자물질 및 탄성중합체,131016,가공고무,천연고무와 유사한 성상을 지니는 합성고무상 물질 또는 고무상 탄성체가 될 수 있는 가소성 물질,13101608,재생고무,"쓰고 버린 가황고무를 기계적 또는 화학적으로 처리하여 미가황 고무원료로 한 후, 다시 배합약품을 혼합하여 사용할 수 있도록 한 것으로 불순물이 없어야함. 강도는 새고무가황제에 비하여 많이(50%) 떨어지며 두께는 10mm당 시이트의 겹침수가 20매 이상이어야 하며, 재생고무의 종류는 원료가 되는 가황고무의 종류에 따라 분류되며 보통 타이어 재생고무, 튜브재생고무, 일반(잡)재생고무 등으로 나누어짐",2006-08-08 오후 3:02:00,2009-10-07 오후 3:45:00
14,종이원료및종이제품,"상업적 프린터,용지,봉투,복사,메모,그리고 특별한 요구사항에 의해 만들어진 특수표면처리,색상,화학처리,섬유 성분을 사용한 가공종이 등",1412,산업용지,"산업용도에 따라 개발된 특수지,가공지 등",141216,박엽지,"얇은 종이로서 가정용 박엽지와 일반 박엽지로 나뉘는데 가정용 박엽지로는 두루마리 화장지와 평판 화장지의 원단이 있으며 일반 박엽지로는 궐련용지 ·글라신페이퍼 ·사전용지(인디언지) ·콘덴서지 ·한지 등이 있음 KS에서는 사용된 원료에 따라 박엽지를 4등급으로 나누고 있는데,마닐라삼 또는 인피섬유를 주성분으로 한 것을 특급 마닐라삼 또는 인피섬유에 화학펄프를 배합한 것을 1급 화학펄프에 마닐라삼 또는 인피섬유를 배합한 것을 2급 화학펄프만을 주성분으로 한 것을 3급으로 하고 있음",14121605,방습지,"습기가 투과되지 않도록 가공한 종이를 말하며, 용도는 방수 및 방습포장, 식료품, 기호품, 기계류포장, 대형지대 및 내포장용으로 사용되며, 폴리에틸렌가공지와 파라핀지(왁스지)도 포함",2006-08-08 오후 3:02:00,2007-08-22 오후 4:26:00
20,광산기계,지구 표면 층 아래를 탐색하거나 자연물을 얻는데 필요한 장비와 부속물 등을 포함함,2010,광업용기계및장비,"광산,탄광,유전 등에서 사용되는 기계류 등을 포함함",201021,착암기,"암석을 폭파하기 위한 폭약을 장전(裝塡)하는 구멍(발파구멍)을 뚫는 기계로서,용도에 따라 레그드릴, 싱커, 드리프터 등으로 나누어지는데,능률 향상과 진동 방해를 위하여 드리프터가 많이 쓰이며 그 중에서도 압축공기로 작동하는 타격식(해머식)이 가장 널리 쓰임",20102102,유압식착암기,유압을 이용하여 회전과 충격을 동시에 가하여 암석을 폭파하기 위한 폭약을 장전(裝塡)하는 구멍(발파구멍)을 만드는 기계.,2006-08-08 오후 3:02:00,2009-05-25 오후 4:26:00
