공간정보일련번호,광물자원광업권개정일자,위치명,지적도명,광물자원명,광물자원부존면적,연안관리정보번호,이용기간내용,항목번호
86,2008-06-24,충남 태안군 남면,안면도,규사,9,124,2015-06-25~2022-06-24,안면도124
1,1983-01-25,"전남 신안군 임자면, 전남 신안군 지도면",임자도,"납석, 고령토",281,66,2008-01-01~2027-12-31,임자도66
2,1983-01-02,전남 신안군 임자면,임자도,납석,202,76,2008-01-01~2027-12-31,임자도76
3,1983-01-25,전남 신안군 임자면,임자도,납석,281,75,2008-01-01~2027-12-31,임자도75
4,1978-10-11,"전남 신안군 안좌면, 전남 해남군 화원면",목포,규사,282,147,2016-10-01~2026-09-30,목포147
5,1978-01-12,전남 신안군 지도면,망운,"고령토, 납석",281,150,2003-01-13~2023-01-12,망운150
6,1976-12-27,전남 신안군 압해면,무안,고령토,282,126,2001-12-28~2021-12-27,무안126
7,1976-12-27,전남 신안군 압해면,무안,고령토,282,118,2001-12-28~2021-12-27,무안118
8,1976-12-27,전남 신안군 압해면,무안,고령토,282,117,2001-12-28~2021-12-27,무안117
9,1976-12-27,"전남 신안군 압해면, 전남 무안군 망원면",무안,고령토,282,106,2001-12-28~2021-12-27,무안106
10,1976-09-20,전남 신안군 압해면,무안,고령토,282,107,2001-09-21~2021-09-20,무안107
11,1970-05-20,전남 신안군 지도면,임자도,"납석, 고령토",281,47,2015-05-21~2035-05-20,임자도47
12,1970-11-28,전남 완도군 노화면,노화도,"납석, 고령토",284,118,2015-11-01~2035-10-31,노화도118
13,1969-04-25,전남 완도군 노화면,노화도,"고령토, 납석",284,129,2014-04-01~2034-03-31,노화도129
14,1986-11-17,전남 완도군 노화읍,노화도,고령토,284,107,2011-11-01~2031-10-31,노화도107
15,2004-10-28,전남 완도군 군외면,노화도,석회석,88,114,2004-10-29~2024-10-28,노화도114
16,1964-10-12,전남 완도군 노화면,노화도,납석,284,99,2009-10-01~2029-09-30,노화도99
17,1964-10-12,전남 완도군 노화면,노화도,납석,284,89,2009-10-01~2029-09-30,노화도89
18,2008-10-01,"전남 진도군 조도면, 전남 진도군 지산면",지산,"금, 은",283,113,2008-10-02~2028-10-01,지산113
36,2011-03-24,전라남도 무안군 해제면,망운,고령토,140,113,2011-03-25~2031-03-24,망운113
19,1980-04-30,전남 진도군 조도면,하의도,규사,240,80,2013-05-01~2018-04-30,하의도80
20,1980-04-30,"전남 진도군 조도면, 전남 진도군 지산면",지산,규사,208,81,2013-05-01~2018-04-30,지산81
21,1980-04-30,"전남 진도군 조도면, 전남 진도군 지산면",하의도,규사,283,70,2013-05-01~2018-04-30,하의도70
22,1980-04-30,전남 진도군 조도면,하의도,규사,283,69,2013-05-01~2018-04-30,하의도69
23,1997-03-20,전남 강진군 강진읍,강진,고령토,71,133,1997-03-21~2017-02-28,강진133
24,2011-07-04,인천광역시 중구,김포,고령토,68,150,2011-07-05~2031-07-04,김포150
25,2004-01-09,"전남 함평군 손불면, 전남 무안군 현경면",망운,규사,57,64,2016-01-10~2026-01-09,망운64
