공간정보일련번호,지적도명,채굴단위구역등록일자,면적내용,탐사권기간설명내용,광물유형명
227,가음도,2015-01-30,240 ha,2015-06-15 ~ 2022-06-14 만 7개년,규사
508,임원진,2017-08-30,136 ha,2010-09-02 ~ 2030-09-01 만 20개년,장석
334,포항,2012-07-03,278 ha,2011-10-08 ~ 2031-10-07 만 20개년,규조토
380,안면도,2012-02-07,276 ha,2012-06-01 ~ 2019-05-31 만 7개년,규사
441,이곡,2011-07-11,137 ha,2011-12-01 ~ 2018-11-30 만 7개년,규사
171,진교,2014-12-26,64 ha,2014-12-27 ~ 2034-12-26 만 20개년,고령토
172,진교,2014-12-26,278 ha,2014-12-27 ~ 2034-12-26 만 20개년,고령토
174,임자도,2014-12-31,281 ha,2015-05-21 ~ 2035-05-20 만 20개년,"고령토, 납석"
361,대천,2014-12-10,86 ha,2014-12-11 ~ 2034-12-10 만 20개년,고령토
493,풍도,2014-12-19,274 ha,2014-12-20 ~ 2021-12-19 만 7개년,규사
497,풍도,2014-12-19,274 ha,2014-12-20 ~ 2021-12-19 만 7개년,규사
1,지산,2014-08-18,39 ha,2000-07-01 ~ 2020-06-30 만 20개년,"금광, 은광"
30,안면도,2014-08-06,90 ha,2014-12-29 ~ 2021-12-28 만 7개년,규사
104,지산,2014-08-18,235 ha,2010-10-09 ~ 2030-10-08 만 20개년,"금광, 은광"
105,지산,2014-08-18,283 ha,2008-10-02 ~ 2028-10-01 만 20개년,"금광, 은광"
108,지산,2014-08-18,138 ha,2000-04-30 ~ 2020-04-29 만 20개년,"금광, 은광, 규석"
109,지산,2014-08-18,227 ha,2010-10-09 ~ 2030-10-08 만 20개년,"금광, 은광"
208,망운,2014-04-04,281 ha,2014-06-28 ~ 2019-06-27 만 5개년,규사
215,망운,2014-04-04,281 ha,2014-06-28 ~ 2019-06-27 만 5개년,규사
308,구룡포,2016-05-17,90 ha,2007-03-23 ~ 2027-03-22 만 20개년,불석
378,안면도,2016-05-20,276 ha,2015-09-01 ~ 2022-08-31 만 7개년,규사
608,묵호,2016-05-04,51 ha,2016-05-05 ~ 2036-05-04 만 20개년,규석
32,평해,2018-02-26,52 ha,2018-10-01 ~ 2038-09-30 만 20개년,규사
112,지산,2018-02-07,208 ha,2018-05-01 ~ 2028-04-30 만 10개년,규사
117,하의도,2018-02-07,240 ha,2018-05-01 ~ 2018-04-30 만 10개년,규사
118,하의도,2018-02-07,283 ha,2018-05-01 ~ 2028-04-30 만 10개년,규사
119,하의도,2018-02-07,283 ha,2018-05-01 ~ 2028-04-30 만 10개년,규사
411,평해,2018-02-28,116 ha,2018-11-01 ~ 2038-10-31 만 20개년,규사
416,평해,2018-02-26,275 ha,2018-12-01 ~ 2038-11-30 만 20개년,규사
483,당진,2018-02-07,247 ha,2012-12-01 ~ 2032-11-30 만 20개년,"고령토, 장석"
126,우수영,2015-05-18,265 ha,2011-02-26 ~ 2031-02-25 만 20개년,"금광, 은광, 고령토"
127,우수영,2015-05-18,259 ha,1999-06-26 ~ 2019-06-25 만 20개년,"고령토, 납석"
486,풍도,2015-05-27,40 ha,2015-05-28 ~ 2035-05-27 만 20개년,규석
202,망운,2011-03-29,70 ha,2008-12-12 ~ 2028-12-11 만 20개년,고령토
232,법성포,2011-03-04,140 ha,2009-10-08 ~ 2029-10-07 만 20개년,고령토
162,무안,2017-05-18,65 ha,2017-05-19 ~ 2037-05-18 만 20개년,고령토
166,망운,2017-05-18,23 ha,2017-05-19 ~ 2037-05-18 만 20개년,고령토
222,송이도,2017-05-17,140 ha,2017-05-18 ~ 2037-05-17 만 20개년,규사
600,대연평도,2017-05-24,255 ha,2017-05-25 ~ 2037-05-24 만 20개년,티탄철광
482,대산,2016-02-18,274 ha,2013-06-18 ~ 2018-06-17 만 개년,규석
485,풍도,2016-02-18,8 ha,2009-02-04 ~ 2029-02-03 만 20개년,규석
505,영흥도,2016-02-03,136 ha,2016-02-04 ~ 2036-02-03 만 20개년,규석
132,강진,2016-12-16,71 ha,2017-03-01 ~ 2037-02-28 만 20개년,고령토
167,망운,2015-03-10,70 ha,2005-06-16 ~ 2025-06-15 만 20개년,고령토
176,망운,2015-03-30,133 ha,2015-03-31 ~ 2035-03-30 만 20개년,고령토
182,망운,2015-03-30,137 ha,2015-03-31 ~ 2035-03-30 만 20개년,고령토
561,삼척,2015-03-17,68 ha,2013-10-01 ~ 2033-09-30 만 20개년,규석
562,삼척,2015-03-17,56 ha,2013-10-01 ~ 2033-09-30 만 20개년,규석
599,묵호,2015-03-17,221 ha,2012-11-01 ~ 2032-10-31 만 20개년,고령토
602,묵호,2015-03-17,13 ha,2011-07-01 ~ 2031-06-30 만 20개년,고령토
606,묵호,2015-03-16,118 ha,2015-09-01 ~ 2035-08-31 만 20개년,규석
459,대산,2012-01-20,137 ha,2009-12-24 ~ 2029-12-23 만 20개년,운모
466,대산,2012-01-20,171 ha,2010-04-15 ~ 2030-04-14 만 20개년,운모
479,대산,2012-01-20,137 ha,2009-12-24 ~ 2029-12-23 만 20개년,운모
448,아산,2011-02-11,102 ha,2009-09-26 ~ 2029-09-25 만 20개년,고령토
223,가음도,2012-08-16,118 ha,2012-11-08 ~ 2019-11-07 만 7개년,규사
224,가음도,2012-08-16,210 ha,2012-11-08 ~ 2019-11-07 만 7개년,규사
374,원산도,2011-04-19,69 ha,2011-09-14 ~ 2018-09-13 만 7개년,규사
605,묵호,2012-08-03,51 ha,1994-05-11 ~ 2019-04-30 만 25개년,고령토
607,묵호,2012-08-03,68 ha,1994-07-20 ~ 2019-06-30 만 25개년,"규석, 고령토"
39,대산,2011-11-08,68 ha,2011-07-13 ~ 2031-07-12 만 20개년,고령토
344,서천,2011-11-01,82 ha,2012-04-01 ~ 2019-03-31 만 7개년,규사
345,서천,2011-11-01,186 ha,2012-04-01 ~ 2019-03-31 만 7개년,규사
419,평해,2011-11-07,275 ha,2012-04-01 ~ 2019-03-31 만 7개년,규사
431,이곡,2011-11-07,275 ha,2012-04-01 ~ 2019-03-31 만 7개년,규사
478,대산,2011-11-08,137 ha,2010-12-28 ~ 2030-12-27 만 20개년,고령토
553,삼척,2011-11-11,253 ha,2012-03-01 ~ 2032-02-29 만 20개년,석회석
24,구룡포,2016-03-28,46 ha,2016-03-29 ~ 2036-03-28 만 20개년,불석
359,남포,2016-03-23,277 ha,2012-06-14 ~ 2019-06-13 만 7개년,규사
71,포항,2015-01-22,37 ha,2015-04-07 ~ 2022-04-06 만 7개년,규사
80,포항,2015-01-22,12 ha,2015-04-07 ~ 2022-04-06 만 7개년,규사
135,강진,2015-01-05,136 ha,2015-01-06 ~ 2035-01-05 만 20개년,고령토
226,가음도,2015-01-30,214 ha,2015-06-15 ~ 2022-06-14 만 7개년,규사
228,가음도,2015-01-30,65 ha,2015-06-15 ~ 2022-06-14 만 7개년,규사
410,평해,2015-01-20,275 ha,2013-08-01 ~ 2020-07-31 만 7개년,규사
96,노화도,2015-08-21,284 ha,2015-11-01 ~ 2035-10-31 만 20개년,"고령토, 납석"
412,평해,2017-03-15,124 ha,2017-12-03 ~ 2037-12-02 만 20개년,규사
